OID,FID_,X,Y,BCE_Manuka
405,405,1747206.071083126,5908087.635134871,-0.627303159
406,406,1754001.795711992,5907959.38488386,0.739068967
407,407,1747178.677163611,5908064.145644399,-0.432496117
408,408,1754274.944003259,5907926.275861711,1.891803226
409,409,1747164.256244065,5908036.181467458,-0.401917519
410,410,1753971.782579122,5907914.941403616,0.665740738
411,411,1747149.770176438,5908021.787975391,-0.292389832
412,412,1754458.881454189,5907899.434784296,1.224462805
413,413,1746254.24882327,5908461.000384392,0.853758786
414,414,1747141.572054044,5908012.332181616,-0.116515623
415,415,1747148.778703451,5908002.843744791,-0.280375008
416,416,1754037.025764127,5907866.011515172,0.601362677
417,417,1754502.097086836,5907878.263481107,1.396413447
418,418,1746249.728153312,5907987.811356028,0.704444433
419,419,1754090.279257658,5907849.645961214,1.865374989
420,420,1746361.046266723,5907990.405824405,0.27301925
421,421,1754073.921570679,5907830.003572898,0.550500013
422,422,1746233.635961481,5907967.047019464,0.764617735
423,423,1754081.050344062,5907810.285057139,1.635789476
424,424,1747143.926730258,5907921.777335423,-0.424928122
425,425,1746234.223976721,5907889.061831697,0.427000013
426,426,1747080.092642398,5907879.044544641,-0.449048032
427,427,1747050.984751117,5907815.315420653,-0.842261569
428,428,1746219.693613745,5907830.070914616,0.577985498
429,429,1746925.232910275,5907749.715784437,-0.786728265
430,430,1743892.478634646,5907749.674395861,0.3248125
431,431,1743863.266033793,5907743.043763683,0.653967679
432,432,1746289.88739757,5907666.315361605,0.235184901
433,433,1743935.449129583,5907689.129761003,0.959874994
434,434,1746244.067389335,5907640.054753759,0.512787559
435,435,1743966.943086342,5907659.414344129,0.821272705
436,436,1746194.70517883,5907618.92421179,0.819999963
437,437,1754499.44408669,5907473.317565688,1.367624968
438,438,1743834.225562705,5907686.375228558,0.245771916
439,439,1746183.650867242,5907608.272297463,0.869360018
440,440,1754507.259896055,5907463.205315441,1.564625041
441,441,1744013.01206408,5907656.736653098,0.770538325
442,442,1746177.431018004,5907597.042631948,0.844000002
443,443,1744111.131371029,5907636.603698011,1.530768311
444,444,1754314.777890848,5907436.80110268,1.220249999
445,445,1744010.501141226,5907608.685736709,0.787981638
446,446,1754322.412477975,5907416.722506408,1.920750037
447,447,1754314.609918741,5907653.282163902,0.773791316
448,448,1754473.325232923,5907364.023081739,1.43820516
449,449,1744054.199739203,5907565.203765812,1.345478813
450,450,1746251.923897179,5907489.98224832,0.569000009
451,451,1746267.746268622,5907479.740094689,0.626341669
452,452,1746371.709654692,5907477.946025601,0.206450001
453,453,1746343.414426208,5907472.439305801,0.467000001
454,454,1743939.566330587,5907469.938048713,0.693090909
455,455,1754415.464417885,5907351.369398978,0.89746973
456,456,1744003.193372433,5907438.748759034,0.781500006
457,457,1754526.711014131,5907213.604937254,0.030625
458,458,1744048.58001222,5907399.373791035,0.880312501
459,459,1744074.150970345,5907377.727892557,0.952625007
460,460,1754575.839673051,5907211.46713501,0.719879808
461,461,1746433.074101241,5907305.174165185,-0.198893621
462,462,1754613.589439045,5907152.201984603,0.868000005
463,463,1744105.461494943,5907337.318829956,1.094374965
464,464,1746412.424315118,5907287.824838853,-0.396000006
465,465,1754757.355715721,5907139.60910946,0.325875
466,466,1746400.256580918,5907278.065808208,-0.424299979
467,467,1754789.317248542,5907136.235141628,0.641827976
468,468,1754677.507693413,5907164.817157371,0.593050883
469,469,1746143.493890733,5907232.64860438,-0.527012502
470,470,1746127.229138227,5907222.060295341,-0.563098584
471,471,1746113.926737972,5907209.687949881,-0.603444437
472,472,1755083.596640646,5907043.918743522,0.309125
473,473,1744567.417535986,5907219.79263037,1.035749984
474,474,1744583.411314097,5907219.519894793,1.077088602
475,475,1755067.262579491,5907034.44901796,0.272363636
476,476,1746094.756046057,5907183.477844166,-0.72024418
477,477,1755156.343382113,5907030.078575338,0.747888195
478,478,1744592.583793989,5907205.442024738,1.071727236
479,479,1746080.495626261,5907170.694264516,-0.841428569
480,480,1755140.849531025,5907017.381804144,0.279026546
481,481,1755187.010794888,5907012.116911166,0.979124992
482,482,1744654.703131022,5907178.426720481,1.065624963
483,483,1746060.853514668,5907152.772663146,-0.774662646
484,484,1754970.727280736,5906996.133252222,0.017375
485,485,1755018.709197141,5906995.256259171,0.08075
486,486,1755044.114810347,5907009.003771981,0.207658801
487,487,1746044.838885882,5907142.936725997,-0.745746483
488,488,1754938.557241998,5906986.751441319,-0.106499998
489,489,1744678.353535399,5907158.084608353,1.14200002
490,490,1746020.03030056,5907124.409964673,-0.855797295
491,491,1745992.073824083,5907107.71554694,-0.678797876
492,492,1743844.644314529,5907424.663698368,0.729852424
493,493,1743929.296407738,5907091.080343312,-0.48612503
494,494,1744748.793574937,5907067.158724938,1.130749971
495,495,1745772.160353587,5907029.499062697,-0.707526315
496,496,1745756.061592339,5907019.689276601,-0.686653336
497,497,1745727.368418714,5906990.577849715,-0.818367095
498,498,1745711.20359002,5906980.88662974,-0.789174996
499,499,1745676.634062596,5906965.65564722,-0.714065893
500,500,1745640.101150167,5906951.284524944,-0.573709672
501,501,1755317.066508348,5906806.284284989,0.72816382
502,502,1755297.191860628,5906767.498685403,0.384666666
503,503,1755286.225361921,5906751.082850314,0.228374996
504,504,1755278.046136388,5906741.263042716,0.245124996
505,505,1745587.236044605,5906913.052428073,-0.336770789
506,506,1744073.351996987,5906869.511272378,0.588928562
507,507,1745520.525567594,5906857.049046937,0.041525163
508,508,1745498.222851526,5906833.993688975,0.002339484
509,509,1745491.01961183,5906822.950891687,-0.025523806
510,510,1744307.028889806,5907158.793806287,0.755114458
511,511,1745479.046937986,5906781.994127505,-0.159321692
512,512,1745463.243998806,5906743.995285732,-0.323995236
513,513,1744083.305174251,5906844.227561207,0.789806842
514,514,1745448.763392813,5906716.454985047,-0.333461537
515,515,1744790.147459002,5906687.820860648,0.290545453
516,516,1745431.989351081,5906674.51332726,-0.236105255
517,517,1744797.67517303,5906663.383182249,4.763529469
518,518,1744241.006876912,5906653.116937691,-0.075974999
519,519,1744181.562683937,5906638.177435581,0.139999999
520,520,1744197.555342641,5906637.905394981,0.088625
521,521,1744213.54800174,5906637.633324183,0.0065
522,522,1744776.18812521,5906634.189446351,0.765961005
523,523,1744159.276108304,5906621.110108394,0.131835443
524,524,1745407.940109555,5906587.956102106,-0.414571417
525,525,1744764.358983992,5906592.936475113,0.400925927
526,526,1744130.185048249,5906595.850944012,0.128833333
527,527,1744106.048526875,5906577.776844675,0.132211689
