FID,X,Y,BCE_Kaipara_Harbour_System_Seagrass
193,1727714.008272968232632,5999366.031043061055243,0.712599991000000
194,1711188.961313497973606,5999576.256932199932635,-0.993999958000000
195,1727093.057087553897873,5999364.779265671968460,0.245354839000000
196,1724537.306098567787558,5999358.343048385344446,-0.883837505000000
197,1727695.667041549226269,5999338.029230936430395,-0.458287369000000
198,1706424.671573681058362,5999587.741362098604441,1.186887537000000
199,1709390.266568989958614,5999551.120704492554069,
200,1709534.072607656707987,5999559.646348967216909,1.397442486000000
201,1711079.889635179657489,5999530.007498214952648,
202,1724700.961222863756120,5999379.437267289496958,0.414180003000000
203,1727244.782133466564119,5999309.369576160795987,-0.755974984000000
204,1706537.701167087536305,5999576.398307248950005,1.107024992000000
205,1711136.338855138048530,5999519.323568429797888,
206,1711175.605096187442541,5999539.580526002682745,
207,1727713.491949504707009,5999297.548206918872893,-0.431680988000000
208,1710644.127104250714183,5999518.455452739261091,0.668520482000000
209,1724721.168749139178544,5999324.530473025515676,0.077216217000000
210,1727721.828162184683606,5999278.056996719911695,-0.362238526000000
211,1727737.215051590232179,5999272.485231181606650,0.536163632000000
212,1692393.550987782189623,5999707.420210884884000,0.767239991000000
213,1706477.399203217355534,5999557.922415198758245,0.813472263000000
214,1710594.390727340010926,5999497.978682276792824,0.835868855000000
215,1724735.447859390173107,5999292.027421807870269,0.937965375000000
216,1727792.757395385531709,5999230.141668992117047,0.893384618000000
217,1711154.703439519042149,5999461.574741531163454,
218,1724714.983860960463062,5999283.742034343071282,-0.700714023000000
219,1724750.848250013543293,5999263.104183580726385,0.344944440000000
220,1727739.516989851370454,5999232.680129523389041,0.055000975000000
221,1692439.400440980680287,5999644.111205356195569,0.260904771000000
222,1709281.616944384993985,5999488.301051155664027,
223,1724737.802260050782934,5999245.848538598977029,-0.875575017000000
224,1724768.238238109508529,5999244.448700488545001,0.618121944000000
225,1710682.630305336788297,5999425.219219425693154,
226,1724774.845606243005022,5999232.265659008175135,0.363250002000000
227,1710674.421925220638514,5999415.357014848850667,
228,1724751.863115099025890,5999220.735981826670468,-0.855480455000000
229,1692473.848446385469288,5999606.828246747143567,0.580666675000000
230,1711137.174663151847199,5999396.766421018168330,
231,1724777.484500900842249,5999205.615928538143635,-0.588285724000000
232,1711126.579662651987746,5999374.736776678822935,
233,1727610.390489693498239,5999149.472420680336654,-0.795834031000000
234,1710641.336242833873257,5999355.978973616845906,
235,1726861.517888104077429,5999153.750617216341197,0.218691986000000
236,1726822.513613674556836,5999123.905612319707870,-0.179069758000000
237,1705795.755177624290809,5999407.415577696636319,1.361833332000000
238,1724592.276116842171177,5999175.797947562299669,-0.879108200000000
239,1727623.366462447680533,5999114.970028861425817,-0.799915075000000
240,1724801.854110574582592,5999160.468956827186048,-0.754647958000000
241,1711114.109009662875906,5999320.704374602064490,-0.909482724000000
242,1727588.821055671665817,5999075.314655262045562,-0.805035721000000
243,1727605.072972459951416,5999069.892703244462609,-0.805737498000000
244,1709566.513745709089562,5999408.495321794413030,1.284952497000000
245,1724615.255829215515405,5999118.298969366587698,-0.897809582000000
246,1726734.584344697883353,5999062.134316928684711,-0.779893524000000
247,1727609.184996514581144,5999045.499308224767447,-0.807763668000000
248,1725058.635095886420459,5999070.514296048320830,0.483750003000000
249,1725074.775837426073849,5999070.077051943168044,0.459907406000000
250,1711116.976917612599209,5999255.264584571123123,
251,1724614.079824700718746,5999073.195024740882218,-0.910275015000000
252,1725114.957873882027343,5999051.082823566161096,0.632750004000000
253,1710615.639236783608794,5999241.693339316174388,
