OID,FID_,X,Y,BCE_Ruatan
466,466,1572056.694078354,5498268.614110261,0.366792462
467,467,1572079.472354154,5498268.699721965,0.261634615
468,468,1572128.635656612,5498273.97384021,0.32999512
469,469,1572188.020017117,5498298.889800812,0.022968234
470,470,1572220.132134417,5498259.050927334,-0.35074665
471,471,1572094.135376238,5498251.500761926,0.120494639
472,472,1572088.004686161,5498212.143691268,0.680632189
473,473,1572292.605593672,5498209.259887933,-0.285863634
474,474,1572368.219620777,5498209.950402063,-0.195481478
475,475,1571952.185936554,5498283.378391145,0.445962393
476,476,1572033.636559181,5498248.644089185,0.413239459
477,477,1572163.291496331,5498189.242774381,-0.291730765
478,478,1572516.90320273,5498190.935835257,-0.252843134
479,479,1572171.23446269,5498178.892115478,-0.262754719
480,480,1572190.452199709,5498185.888786826,-0.262147728
481,481,1572216.61534787,5498184.252115061,-0.223256343
482,482,1572153.838416181,5498223.473405578,0.101602103
483,483,1571920.592584524,5498158.93965438,0.697061225
484,484,1571886.447289187,5498153.096109956,0.374615555
485,485,1572000.074099299,5498172.603245656,0.370842322
486,486,1572076.263323156,5498153.811802144,0.445266665
487,487,1572171.615701377,5498153.647697496,0.053624998
488,488,1572198.930926082,5498152.55908984,-0.006868204
489,489,1572289.151315213,5498178.815365953,0.189669426
490,490,1572305.64102091,5498152.241167284,0.004728068
491,491,1572412.251905389,5498183.238700579,-0.199104522
492,492,1572531.442079719,5498141.216481056,-0.220803918
493,493,1571840.9670065,5498132.981080443,0.378743331
494,494,1571938.466051775,5498130.424180076,0.333393616
495,495,1572055.459430978,5498135.360400245,0.371277935
496,496,1572183.049354868,5498129.865145096,-0.18907034
497,497,1572304.135459311,5498129.735971669,0.287616666
498,498,1572347.100698509,5498130.631177771,0.204552631
499,499,1572479.161378693,5498130.967644913,-0.215284309
500,500,1572520.370043465,5498130.334227898,-0.162653843
501,501,1572573.518347749,5498130.530568817,-0.701333324
502,502,1571791.671742968,5498117.836995772,1.449171449
503,503,1572543.183218134,5498120.856115544,-0.298035743
504,504,1571822.061071143,5498112.966576309,0.684150001
505,505,1571896.80012553,5498107.528670675,0.470953944
506,506,1572021.365970157,5498112.149962968,0.313733143
507,507,1572163.590299115,5498109.47250462,-9999.0
508,508,1572220.405887485,5498120.072223485,0.356021894
509,509,1572330.786578955,5498109.163713146,0.440244902
510,510,1572482.479299434,5498110.66016286,-0.037301889
511,511,1572323.228407247,5498099.892851999,0.569937491
512,512,1572340.499560515,5498099.957150927,0.543823534
513,513,1572453.118203097,5498108.940742626,-0.377106453
514,514,1572304.284107066,5498089.850835308,0.669526666
515,515,1572277.747293399,5498079.780471116,0.623673918
516,516,1572334.165829932,5498084.162635306,0.486353847
517,517,1572516.680917077,5498088.231027644,-0.299095811
518,518,1572411.269585526,5498091.016487464,-0.101197456
519,519,1572543.367424775,5498070.999696085,-0.252288464
520,520,1571936.157191436,5498058.555473366,1.344125014
521,521,1572524.975135633,5498061.337225571,-0.04172549
522,522,1572099.415617245,5498054.184510282,0.318886664
523,523,1572182.557905945,5498074.788894885,0.518410289
524,524,1572505.5153313,5498040.945482064,-0.034000001
525,525,1572051.928498101,5498084.903298627,-0.018042135
526,526,1572095.712954021,5498029.242041976,0.129102563
527,527,1572482.774683451,5498030.889887753,-0.02992157
528,528,1571890.752794583,5498018.498134993,-0.007782256
