OID,FID_,X,Y,BCE_Port_F
506,506,1810594.680994827,5991056.33291982,-9999.0
507,507,1810550.013348453,5991047.439762148,0.265855256
508,508,1810566.150991086,5991046.322931901,-0.626529436
509,509,1810582.083164457,5991036.692622785,-0.632303052
510,510,1810597.997519278,5991026.335761758,-0.303636377
511,511,1810605.834152653,5991016.174367181,0.040600004
512,512,1809620.130642315,5991029.963262725,0.234075005
513,513,1810621.748635717,5991005.817295283,-0.25585001
514,514,1810629.585317264,5990995.65571733,-0.266722909
515,515,1811257.206238893,5990991.16344477,-9999.0
516,516,1810637.421925121,5990985.49409094,-0.09179014
517,517,1811306.771702163,5990986.61333487,-0.937333326
518,518,1811315.937086499,5990969.070499928,-0.968400025
519,519,1810644.776027791,5991011.448628502,-0.349858331
520,520,1810669.491384483,5990974.746585242,-0.633660367
521,521,1811349.122330904,5990969.244398041,-0.244193562
522,522,1811380.315963248,5990957.5368439,-9999.0
523,523,1810685.405586606,5990964.389534158,-0.341776141
524,524,1810709.657553575,5990972.252286082,-9999.0
