OID,FID_,X,Y,BCE_Mahura
454,454,1751798.651029022,5966964.758250972,1.238286937
455,455,1752221.065061354,5966941.034472759,-0.386124995
456,456,1753215.624096186,5966923.467057487,0.6282773
457,457,1753251.220283122,5966914.937989715,0.533259159
458,458,1753502.439175761,5966868.535546624,0.056969068
459,459,1751742.046073754,5966879.050832001,1.087788458
460,460,1752221.872881468,5966876.10661901,0.549965155
461,461,1751732.672440126,5966859.475232793,1.110434756
462,462,1752005.623893656,5966859.526029173,-0.624181825
463,463,1753839.4057408,5966830.484730518,0.181831393
464,464,1751725.082810953,5966849.172416574,1.159090855
465,465,1753825.888170822,5966812.942638583,0.362974999
466,466,1752379.056646933,5966816.58021749,1.017723014
467,467,1752190.086704632,5966804.119790613,0.706204082
468,468,1752276.220213266,5966846.61685693,0.551199124
469,469,1752404.181207214,5966804.013767116,0.740737971
470,470,1752480.171342898,5966797.10739335,0.506178582
471,471,1751683.851326788,5966799.549255732,1.2433333
472,472,1752435.274488356,5966796.182529539,0.684108916
473,473,1752476.9731511,5966823.61136112,0.082804093
474,474,1752588.869625358,5966785.019665536,-0.790861399
475,475,1751675.43828555,5966790.048789128,0.948474565
476,476,1754920.043141632,5966734.319365581,-9999.0
477,477,1751667.034364658,5966780.497172425,0.958769245
478,478,1752470.250572797,5966779.358314438,0.674756219
479,479,1754879.773829787,5966724.085338006,-9999.0
480,480,1752056.433541157,5966766.839774886,0.743542846
481,481,1752123.718719834,5966764.140304177,0.822222202
482,482,1752504.237109493,5966757.68336742,0.725215395
483,483,1752090.872713404,5966761.688095832,0.620298502
484,484,1752519.798099366,5966746.467211831,0.73297435
485,485,1753934.810600211,5966896.83554579,0.217630467
486,486,1754855.56707937,5966704.058559396,-9999.0
487,487,1752112.94794879,5966745.088953371,0.769999997
488,488,1752527.644221445,5966736.314830118,0.776350003
489,489,1752696.704638,5966733.271925353,-0.375481513
490,490,1752716.660908558,5966722.950657494,-0.298416021
491,491,1754838.620793892,5966685.933539312,-9999.0
492,492,1751594.83961329,5966739.360166654,2.025081003
493,493,1752535.773005331,5966716.610055683,0.8601194
494,494,1752736.617133055,5966712.629340012,-0.278375017
495,495,1754822.336436039,5966676.256285245,-9999.0
496,496,1755015.210174212,5966673.91983031,-9999.0
497,497,1751351.344562612,5966727.023110867,0.897136933
498,498,1751504.190247311,5966724.547136817,0.631636361
499,499,1752756.573311082,5966702.307984173,-0.364329055
500,500,1753896.646479062,5966682.08849434,0.840549019
501,501,1754797.986178424,5966665.996532509,-9999.0
502,502,1751322.99119315,5966717.901212602,1.279736842
503,503,1751366.688645142,5966716.785784471,0.462545452
504,504,1751454.819953564,5966735.182951474,1.091017021
505,505,1751842.236248892,5966708.647766833,-0.349636345
506,506,1752542.408562858,5966696.120709147,0.932019993
507,507,1753903.9347898,5966671.989911648,0.85035001
508,508,1754789.767832027,5966656.901688293,-9999.0
509,509,1751294.625625051,5966708.078506229,0.589835389
510,510,1751980.894958232,5966771.875499925,0.42398772
511,511,1752800.511968249,5966681.593958371,-0.687150023
512,512,1754757.77872628,5966646.202178773,2.269090891
513,513,1754929.743256159,5966690.499849895,-9999.0
514,514,1751874.097609978,5966688.150664681,0.802321412
515,515,1753911.721563098,5966656.898028642,0.8516875
516,516,1754829.50351861,5966635.726650825,-9999.0
517,517,1754845.602109484,5966635.035930024,-9999.0
518,518,1751254.114643155,5966688.70308234,5.849999905
519,519,1752816.353486262,5966666.360784511,-0.438504184
520,520,1753923.534745776,5966641.734441819,0.829740971
521,521,1752840.247807341,5966650.985220076,-0.447512841
522,522,1754724.680257036,5966617.377385314,0.867922083
523,523,1751222.237354028,5966668.504052502,-9999.0
