OID,FID_,X,Y,BCE_Ohiwa_
439,439,1956447.15125751,5786569.774301527,1.533162151
440,440,1957218.500858403,5786538.792551588,-0.330591549
441,441,1957263.964678816,5786534.043651449,-0.047675
442,442,1957721.148946636,5786544.769477881,-0.127711814
443,443,1957828.209305416,5786508.588543509,-0.250388889
444,444,1961505.775480087,5786347.406901462,0.339129626
445,445,1957228.014152334,5786525.625532421,-0.153687502
446,446,1961513.535743288,5786336.653957917,0.276074071
447,447,1957201.562278848,5786523.452785163,-0.346417022
448,448,1957246.154563168,5786521.70590381,0.039895455
449,449,1958466.771773542,5786461.093668042,-0.167599997
450,450,1964527.674432859,5786257.299631639,-0.283689868
451,451,1958110.6018587,5786456.957443199,0.128317136
452,452,1964416.18807014,5786177.955519289,-0.55451853
453,453,1957818.162290987,5786459.796201985,0.0498
454,454,1958442.058865097,5786444.279530937,-0.213960633
455,455,1958073.939872994,5786443.902288417,0.023924419
456,456,1958109.694489016,5786436.284438797,0.697960789
457,457,1958413.566121552,5786423.669700435,-0.122318183
458,458,1959128.227726706,5786392.527613303,0.355408445
459,459,1962018.080522467,5786486.178604291,0.446876881
460,460,1962323.895874497,5786251.157952629,0.201396231
461,461,1965346.722836423,5786116.142748815,-0.067670881
462,462,1958046.153254554,5786429.80942723,-0.035637501
463,463,1958125.07251601,5786426.345695845,0.3286625
464,464,1958377.614513264,5786415.256224701,-0.134008549
465,465,1957809.442406402,5786436.302787076,0.222485507
466,466,1958029.932020198,5786420.528821851,-0.050662498
467,467,1958361.392371994,5786405.976732817,-0.128307697
468,468,1959135.02144959,5786376.955566671,0.278512502
469,469,1959150.585836603,5786371.274171892,0.123128206
470,470,1964438.237528853,5786136.789351485,-0.299999997
471,471,1957824.567802505,5786419.928381781,0.146694447
472,472,1958016.6579673,5786408.343020541,-0.048038134
473,473,1958346.307164009,5786390.679697223,-0.07288485
474,474,1958328.510617738,5786377.443787551,-0.059246755
475,475,1962688.070379512,5786226.855029126,0.254317516
476,476,1959140.937817918,5786331.72886127,0.202362501
477,477,1958155.256670874,5786374.958153852,0.163106557
478,478,1957846.709908425,5786374.870124964,0.408715382
479,479,1956421.736855905,5786410.606079494,0.150180179
480,480,1958152.262135384,5786325.228533435,0.305950001
481,481,1957894.942037369,5786353.789851351,0.298892878
482,482,1958348.649927199,5786295.891487845,0.512840006
483,483,1958340.178465049,5786286.79162541,0.478381815
484,484,1965356.098538287,5785976.023401964,0.057092593
485,485,1959644.420488112,5786211.613022179,-0.449954059
486,486,1960176.001608214,5786223.527155896,-0.078579553
487,487,1960158.536191918,5786186.945547258,1.692192286
488,488,1962621.239415324,5786078.436620032,0.415336455
489,489,1962640.376986857,5786077.208606594,0.334581813
490,490,1958356.182676556,5786277.319436166,0.388376472
491,491,1958166.819581412,5786284.240416767,0.671253334
492,492,1958208.38565068,5786252.817938695,0.189628205
493,493,1958351.982178529,5786246.635163791,0.317124996
494,494,1959622.597201074,5786197.313710785,-0.359218882
495,495,1959640.749461502,5786190.603572913,3.855227279
496,496,1959695.987151333,5786187.365586584,-0.318937496
497,497,1960145.820404119,5786167.519986844,0.348
498,498,1960260.633471296,5786187.006630615,-0.010168937
499,499,1961495.766575539,5786117.806863499,0.070483194
500,500,1962609.374596668,5786059.120860409,0.394477711
501,501,1958223.731268947,5786242.151765933,0.187405061
502,502,1959600.813845362,5786180.840024668,-0.405784315
503,503,1959656.884025635,5786180.718512047,3.852400001
504,504,1960121.704710111,5786158.591899208,0.021974361
505,505,1960244.325831569,5786162.331066229,3.862509644
506,506,1956357.25619062,5786329.819286784,0.901819773
507,507,1958183.298648447,5786241.877443235,0.744086333
508,508,1958203.532061602,5786232.317687265,0.375735847
509,509,1958234.555535044,5786231.68409586,0.211326925
510,510,1959671.808591836,5786173.918227744,2.712000007
511,511,1961478.896761805,5786094.108059496,0.036279661
512,512,1956281.011677115,5786302.548267227,0.925000012
513,513,1958211.325570214,5786223.429343734,0.782084514
514,514,1959679.644556809,5786159.609636562,-9999.0
515,515,1960254.984647558,5786132.722162901,2.051999998
516,516,1958226.827587503,5786219.181905898,0.494463414
517,517,1958357.28760489,5786206.269524581,0.44090909
518,518,1960280.195640597,5786131.683779594,0.07567655
519,519,1958249.892705086,5786201.397707082,0.431128567
520,520,1959706.352337729,5786148.019601029,0.296991968
521,521,1956299.761955116,5786276.651750539,0.581814826
522,522,1962301.466749761,5786202.865406292,0.329480849
523,523,1963925.079033094,5785949.271050124,-0.207273901
524,524,1958355.885661417,5786177.512428877,0.38461538
525,525,1959106.115626497,5786151.398135912,0.131774683
526,526,1960103.550296059,5786105.578700817,-0.032417913
527,527,1964674.104075131,5786126.312436634,0.615871553
528,528,1959716.144558408,5786106.53609978,0.186299993
529,529,1960260.519097668,5786082.722603098,0.993000017
