OID,FID_,X,Y,BCE_Whitfo
376,376,1777830.13473452,5912430.030520869,1.131714281
377,377,1777845.616331489,5912435.4823619,1.110808094
378,378,1773623.629601926,5912528.444159717,0.106309047
379,379,1777797.375121733,5912411.234559816,1.504500004
380,380,1777813.247096895,5912418.131029104,1.240229507
381,381,1777869.505051579,5912414.709918613,1.143263605
382,382,1777925.263276682,5912408.757662223,1.094999996
383,383,1772692.57356945,5912505.396217667,0.655121954
384,384,1773595.539750244,5912488.384834738,0.457924518
385,385,1777765.660912478,5912399.862008314,1.175454546
386,386,1777781.176029017,5912402.329489603,1.20714285
387,387,1777893.20045478,5912399.256799671,0.932999988
388,388,1777933.214617019,5912398.418605354,1.102278479
389,389,1772931.10755636,5912491.968077907,1.014000007
390,390,1773515.662972178,5912484.801886218,2.319436611
391,391,1773533.235032454,5912484.427609288,0.518439018
392,392,1774676.781455221,5912500.530514727,-0.024824474
393,393,1777853.271292658,5912396.104594449,1.127605634
394,394,1777909.265289045,5912395.929335121,0.950078108
395,395,1772706.827996956,5912486.560674044,0.03425926
396,396,1772798.291605646,5912499.500256562,0.96727451
397,397,1772875.042880527,5912482.937263741,1.008125017
398,398,1777484.639619482,5912387.86188647,4.021874979
399,399,1777508.208958875,5912391.790152465,1.117909078
400,400,1777740.921838361,5912382.242491391,1.164931505
401,401,1777925.050012208,5912384.100174478,1.005714273
402,402,1772891.553036149,5912474.358537293,1.147692286
403,403,1773523.666853223,5912466.40051803,4.759622655
404,404,1773554.631196199,5912463.527494094,0.491517857
405,405,1777733.684252199,5912372.09071426,1.245370359
406,406,1777933.240565334,5912369.512497117,1.056129053
407,407,1772666.870571551,5912466.866143294,0.894533337
408,408,1772706.414483901,5912466.224832798,-0.231636357
409,409,1772907.116181077,5912463.158706581,1.179843733
410,410,1773531.579771643,5912450.3368432,3.584374975
411,411,1777748.157837151,5912362.609817431,1.207857149
412,412,1772658.891786139,5912456.810281204,0.892031255
413,413,1772722.225411481,5912456.334894834,0.859285728
414,414,1772915.007064941,5912452.673949787,1.645806456
415,415,1773538.681180767,5912439.513145929,0.843291114
416,416,1777477.505413693,5912357.164756726,3.638666677
417,417,1777492.989714521,5912369.393851106,1.083072287
418,418,1777644.174618567,5912359.598519866,0.726687493
419,419,1777725.399659399,5912352.288772618,1.200600009
420,420,1772650.976234251,5912446.716690187,0.835370354
421,421,1773570.309359909,5912429.074793284,0.662407391
422,422,1772643.147366917,5912436.598737492,0.902173904
423,423,1772922.513152049,5912438.004553447,1.280571428
424,424,1777468.16367225,5912337.811569875,2.947183082
425,425,1777657.600810138,5912341.608376863,0.792452825
426,426,1777717.114256806,5912332.482986765,1.848269243
427,427,1777779.334497577,5912322.072361618,1.026851853
428,428,1772673.114482411,5912421.6693809,-0.058715591
429,429,1777558.692245957,5912378.873910913,0.838699566
430,430,1777579.057257158,5912316.291026381,1.208909054
431,431,1777651.081948532,5912314.784779303,1.056250008
432,432,1777795.288663948,5912311.565916541,1.038000001
433,433,1772625.475888164,5912408.075818972,0.985394729
434,434,1772657.190698772,5912407.802768456,0.386666668
435,435,1777451.719293258,5912308.126096465,4.208196812
436,436,1777803.082752477,5912301.431516771,1.060886069
437,437,1774977.933906116,5912350.862233251,0.695799995
438,438,1777612.341841443,5912296.631473268,1.576363634
439,439,1777642.662265386,5912295.018445852,0.705535706
440,440,1772609.462507033,5912388.013717989,1.063538463
441,441,1772640.780191541,5912388.194586447,0.490178574
442,442,1772941.597410679,5912401.31174989,2.26807548
443,443,1774678.801542637,5912383.025714051,-0.193138481
444,444,1777619.362931266,5912286.145773192,1.953548376
445,445,1777810.502429454,5912281.132469637,0.753035705
446,446,1772601.548363183,5912377.919528877,0.874237295
447,447,1772960.972051746,5912371.671852877,5.341875076
448,448,1777435.312424216,5912278.45213622,2.174909051
449,449,1777677.42690687,5912291.612118908,0.970241935
450,450,1772593.721629206,5912367.801254259,0.832708333
451,451,1772624.369758289,5912368.586374896,0.338392868
452,452,1773567.039809002,5912349.352869977,0.931904771
453,453,1777510.142355887,5912267.32380335,-0.069814824
454,454,1777637.317637231,5912272.920542499,1.520607136
455,455,1772969.370359027,5912357.838177396,4.896600089
456,456,1774672.997079666,5912316.528025595,0.184810128
457,457,1777498.520864232,5912257.946033224,0.353600007
458,458,1777658.306793808,5912261.082111716,1.404057969
459,459,1772607.959399013,5912348.978133801,0.744909096
460,460,1777419.439545055,5912249.053794629,2.574444446
461,461,1777674.467389707,5912245.376688914,2.028305126
462,462,1772576.044859476,5912339.281110113,0.990933319
463,463,1773543.634879679,5912319.738227032,1.036727265
464,464,1774995.390271605,5912327.319972944,0.501694911
465,465,1777682.601201862,5912235.086400701,1.863392815
466,466,1772568.010237815,5912329.274624969,0.98194444
467,467,1774640.5679672,5912286.923256204,0.308108105
468,468,1772560.033808734,5912319.217102735,1.062686586
469,469,1774624.161514804,5912277.648191193,0.047750003
470,470,1777695.180280667,5912220.377550296,1.89911111
471,471,1772552.756523518,5912309.058616311,1.011162794
472,472,1772615.151723999,5912308.94841453,1.062407399
473,473,1772982.843715033,5912301.266037588,1.46907409
474,474,1774651.049020092,5912267.12405887,-0.160661767
475,475,1777872.826416388,5912191.014573599,0.776799989
476,476,1772598.741491464,5912289.340158812,1.069090898
477,477,1774606.900347349,5912255.511654889,1.139681157
478,478,1777410.398842972,5912190.050536434,1.573953471
479,479,1772536.304222492,5912279.395541608,0.869111107
480,480,1774639.42103138,5912237.544126646,1.5216883
481,481,1772526.898322109,5912260.1026807,0.156065568
482,482,1774655.407371624,5912217.662930064,0.829420301
483,483,1774671.113024642,5912217.05777857,0.278275864
484,484,1777688.126407567,5912154.023836206,1.669078951
485,485,1777823.633097283,5912152.251404149,0.34818653
486,486,1772988.219640378,5912248.649291571,1.837208148
487,487,1773542.441404108,5912232.763496578,1.350744668
488,488,1772518.007219272,5912240.772966959,-0.377532463
489,489,1774663.347269043,5912203.821396397,0.774344266
490,490,1777935.594559114,5912129.872248943,1.106999962
491,491,1773004.094013289,5912228.995321378,2.638279555
492,492,1773534.269662375,5912215.777760576,2.080399985
493,493,1777423.198458045,5912152.480537774,4.133658157
494,494,1777751.477158194,5912123.230804552,1.408113202
495,495,1773021.405284741,5912212.683311854,1.317317125
496,496,1777681.38952809,5912128.791202661,1.290782112
497,497,1777438.617721099,5912114.615217991,4.051261267
498,498,1777695.07547799,5912109.532083338,1.070194814
499,499,1777703.297284042,5912095.240938782,1.096610157
500,500,1774685.477886899,5912136.994116703,1.400185181
501,501,1777438.012900214,5912079.929854795,0.412545451
502,502,1777454.017930895,5912079.595435394,1.157090909
503,503,1777487.918711092,5912109.859866065,0.958704111
504,504,1777801.641946652,5912171.600209576,1.048571618
505,505,1777895.551208643,5912045.335528346,1.694549996
506,506,1774687.579081217,5912103.145986889,3.083030305
507,507,1777877.597216138,5912010.100731077,1.695000028
508,508,1777869.788409275,5911999.94143071,1.326428584
509,509,1777452.351809573,5911999.860537041,0.950363617
510,510,1777862.131064245,5911989.748490931,1.30733335
511,511,1774701.220435746,5912046.819013186,2.822954584
512,512,1774707.269250507,5912036.634330524,3.199250035
513,513,1774715.081529025,5912027.22963156,1.474629607
514,514,1775170.98130123,5912006.412719562,0.088301895
515,515,1777482.234974887,5911999.020563866,0.87389114
516,516,1777518.605800551,5911970.022820794,1.051548118
517,517,1775162.78854264,5911997.33708016,-0.03962499
518,518,1777442.353468206,5911978.211068184,3.73734419
519,519,1777665.006800498,5911938.788628768,1.382019414
520,520,1777443.54367209,5911929.696667388,5.809999824
521,521,1774780.521105605,5911991.693676322,0.548920079
522,522,1772449.933656188,5912012.543985778,1.123548393
523,523,1777434.910724455,5911909.991391645,4.849342133
524,524,1777427.04144003,5911899.697623572,3.237241317
525,525,1777418.877126455,5911889.840494197,2.648245594
526,526,1772433.367405799,5911982.832974464,1.2630769
527,527,1777410.714423343,5911879.981633622,2.4103448
528,528,1777589.881878524,5911877.261843388,1.231268065
529,529,1777402.553391028,5911870.121007732,2.165166652
530,530,1777549.779673234,5911911.471946613,1.052589106
531,531,1777513.820151142,5911868.748774637,1.143000025
532,532,1777918.168382077,5911972.676151643,1.42872324
533,533,1777394.394106994,5911860.258567451,1.788870927
