OID,FID_,X,Y,BCE_Hokian
419,419,1651726.50474159,6088655.007554647,0.247029413
420,420,1654897.784639247,6088631.24012281,-0.064708332
421,421,1651763.136331761,6088637.115143199,0.279625
422,422,1651811.617335089,6088634.953766593,0.266471764
423,423,1651788.772491754,6088610.548737312,0.045212121
424,424,1653729.358845319,6088575.681239396,0.667718317
425,425,1653292.24025681,6088541.25999283,0.303924815
426,426,1652351.549932175,6088527.588217823,-0.312883433
427,427,1653427.132122983,6088503.884101555,0.521908042
428,428,1652325.064944373,6088501.534118498,-0.28914271
429,429,1652414.860599191,6088437.023611875,-0.337667392
430,430,1654815.293789135,6088392.628598713,0.10309091
431,431,1652157.233292261,6088383.827484336,-0.338580867
432,432,1652455.267897821,6088367.04680069,-0.298370371
433,433,1649610.62631461,6088363.048599931,-0.228551256
434,434,1649630.868005688,6088333.048190347,-0.314749996
435,435,1654594.246330988,6088065.690025995,0.148949153
436,436,1651833.009079047,6088041.872038291,-0.667875029
437,437,1652926.770708956,6088035.504873166,-0.331563643
438,438,1652955.936509379,6088035.709475918,-0.332218788
439,439,1652918.432526352,6088005.664713059,-0.263581826
440,440,1652559.221441068,6087967.713585095,-0.83692499
441,441,1652525.981403251,6087961.155885659,-0.214328396
442,442,1652963.664771554,6087957.842003176,-0.528552138
443,443,1653202.532338427,6087937.979182798,-0.319844853
444,444,1653309.97953467,6087933.407731228,-0.166500002
445,445,1653397.294836011,6087930.011132771,-0.128292345
446,446,1653501.675532288,6087912.343563606,0.113742331
447,447,1649663.484563131,6087875.128333418,-0.203002857
448,448,1652462.105972436,6087875.180452821,0.272824157
449,449,1649665.560427465,6087824.743208069,-0.302666674
450,450,1649660.494282619,6087784.919314262,-0.169514247
451,451,1652491.575799512,6087758.051430263,0.594980393
452,452,1652502.128258553,6087740.757667006,0.483854031
453,453,1652521.844319779,6087720.993672121,0.377221432
454,454,1651405.354048109,6087715.985630871,-0.109554975
455,455,1651590.572263686,6087726.996120336,-0.636141036
456,456,1652544.21513406,6087701.710691108,0.343766127
457,457,1649643.418444502,6087700.327958883,-0.152802089
458,458,1650240.527962008,6087708.120126798,-0.025399988
459,459,1651703.846426915,6087687.407831543,-0.421069677
460,460,1652563.989050509,6087682.475632064,0.397730673
461,461,1653324.709937633,6087664.31713732,0.277125
462,462,1650228.586427634,6087674.590739026,0.416761008
463,463,1651730.029928545,6087674.058896068,-0.538811523
464,464,1652586.71206632,6087668.567923294,0.461396614
465,465,1650284.23023937,6087661.898473337,-0.601459286
466,466,1652626.569327539,6087652.368613853,0.673037572
467,467,1650266.959069643,6087654.799472227,-0.078580533
468,468,1651778.059136672,6087650.983625214,-0.476247892
469,469,1652648.62328034,6087635.751564736,0.725738768
470,470,1651886.678169008,6087616.899568685,-0.717235067
471,471,1653083.576254535,6087605.964514277,0.606352942
472,472,1649629.675387355,6087616.17257658,-0.131810003
473,473,1651921.617374591,6087597.19033883,-0.458666084
474,474,1652707.476664674,6087591.92201278,0.737589925
475,475,1650154.02029523,6087599.093447817,0.495413471
476,476,1652010.341274578,6087552.971488684,-0.795909084
477,477,1652029.015080024,6087535.239053844,-0.541949486
