OID,FID_,X,Y,BCE_Whitia
243,243,1841945.097803655,5912160.254672295,0.126714277
244,244,1842149.062639032,5912159.84721158,-0.819
245,245,1842163.70495237,5912170.956009742,-0.811000049
246,246,1842024.219142324,5912156.041979089,0.580039999
247,247,1841980.326192062,5912144.989272578,0.368288432
248,248,1842124.529501499,5912142.742207491,-0.830500013
249,249,1842089.600399124,5912123.189642368,-0.800910712
250,250,1841980.904330866,5912101.860183044,-0.754000008
251,251,1842054.302239068,5912110.362559165,-0.717355075
252,252,1841972.537311364,5912093.101105676,-0.740984106
253,253,1841762.374593551,5912218.08333428,0.954993272
