OID,FID_,X,Y,BCE_Waihi_
258,258,1906516.400672199,5813842.022572674,0.16300903
259,259,1905832.010498637,5813851.295330614,0.2997375
260,260,1906552.278711939,5813824.495650603,0.717871801
261,261,1906580.204605855,5813835.528421356,0.125558065
262,262,1905883.286631492,5813864.12143697,0.319199579
263,263,1906386.660090299,5813827.321861639,0.323636362
264,264,1906432.996101395,5813813.960156519,0.299475003
265,265,1906570.773529501,5813813.255607587,0.498466664
266,266,1905894.561270987,5813823.799948727,0.329854547
267,267,1906246.621834392,5813810.913317194,0.221397435
268,268,1906147.470537076,5813804.409893543,0.377399992
269,269,1906415.191030102,5813803.309137267,0.248129413
270,270,1906431.668063064,5813773.861889764,0.583072732
271,271,1905955.870495106,5813771.8037516,0.455091667
272,272,1906622.70729124,5813739.981040318,0.11085682
273,273,1905992.248433733,5813760.623821788,0.286751111
274,274,1906025.992666565,5813739.241288226,0.981850003
275,275,1906225.228332922,5813766.964102402,0.232156086
276,276,1906470.430675224,5813723.328191952,0.075000003
277,277,1905542.997145254,5813752.19670534,0.9997125
278,278,1906033.536767967,5813728.975717597,0.735512815
279,279,1905559.56747266,5813771.55139441,0.074355094
280,280,1905938.214046361,5813723.263288434,0.977679259
281,281,1906048.99576122,5813718.415771262,0.907012499
282,282,1906056.53981358,5813708.150176342,0.631679491
283,283,1906071.998739113,5813697.590182335,0.461455696
284,284,1906158.877361484,5813689.365970135,0.252645572
285,285,1906565.895235364,5813701.233721925,0.336791766
286,286,1905754.291797351,5813679.446037844,0.309002532
287,287,1906166.607136402,5813669.680165231,0.27608257
288,288,1905727.414932719,5813667.131473382,0.275794983
289,289,1905753.523666708,5813658.776737224,0.350480002
290,290,1905769.195098415,5813653.930006322,0.619607597
291,291,1906001.017991079,5813812.629817076,0.335351778
292,292,1905789.573405231,5813645.40664458,0.481845494
293,293,1905681.206058781,5813632.236495096,0.297825001
294,294,1905712.502401704,5813631.548553885,1.152294134
295,295,1905808.092608792,5813636.472993112,0.506453607
296,296,1907738.532044605,5813545.775367131,-0.014
297,297,1907756.190931839,5813556.410506586,-0.013456748
298,298,1905656.720720575,5813613.176296871,0.312949999
299,299,1906988.528623456,5813568.643515958,0.097287065
300,300,1905664.265110607,5813602.911083767,0.358050001
301,301,1907017.695088832,5813552.523779266,0.22833333
302,302,1905640.150409542,5813593.821864278,0.715274997
303,303,1906067.548126528,5813577.935530479,0.528769233
304,304,1906534.520335317,5813560.552783519,0.222402596
305,305,1906962.415609296,5813554.072417174,0.10732584
306,306,1905655.032437979,5813583.284105469,0.587148933
307,307,1905528.603212845,5813577.994497452,0.680435899
308,308,1906074.878269248,5813557.484817003,0.273666667
309,309,1907066.67142296,5813562.898578119,0.191014836
310,310,1906042.32034828,5813538.933804585,0.240645567
311,311,1906541.463204018,5813528.11355362,0.288874999
312,312,1907118.726542355,5813498.828100463,-0.014
313,313,1906557.294884195,5813512.481997474,0.059999999
314,314,1905561.699317787,5813605.18583791,0.255238006
315,315,1906184.043599336,5813513.691355564,0.349000004
316,316,1906779.170712957,5813571.796454088,0.258414438
317,317,1906191.587274428,5813503.42561222,0.319171053
318,318,1906262.448566734,5813490.803382094,0.301589747
319,319,1906084.60020875,5813498.149607008,0.576543561
320,320,1906277.906822799,5813480.24295728,0.683324999
321,321,1907068.978130011,5813440.045861979,-0.014
322,322,1906349.868780143,5813569.79017039,0.346351409
323,323,1907065.847796432,5813393.208182761,0.151348637
