OID,FID_,X,Y,BCE_Waimea
305,305,1612131.112753595,5429475.526557862,0.103887498
306,306,1607661.324958713,5429471.586250392,0.912223689
307,307,1608892.890865312,5429470.235623985,0.931066664
308,308,1614317.967001318,5429469.537848654,1.163343766
309,309,1611581.976856684,5429456.477248753,0.100000001
310,310,1607775.403855584,5429455.543919733,0.95605262
311,311,1607851.147678767,5429450.864648946,0.960266672
312,312,1607888.686439262,5429450.722600425,0.774431379
313,313,1611348.780732659,5429446.872592013,0.289725001
314,314,1607873.523446386,5429445.669688708,1.241322879
315,315,1607889.043683648,5429433.04007348,1.388818188
316,316,1607910.164905733,5429443.644381319,0.75298835
317,317,1613075.060630167,5429421.337983192,1.087520003
318,318,1614361.901358994,5429436.68256864,1.911765496
319,319,1607908.727442456,5429422.217638448,1.805716823
320,320,1613010.951339378,5429411.826912677,0.706727268
321,321,1607919.159142135,5429412.326892155,2.600758659
322,322,1613819.663458433,5429402.706779805,0.073093335
323,323,1613133.995295167,5429405.485948158,1.45942728
324,324,1613145.407729695,5429373.574700437,1.145100003
325,325,1614469.889294821,5429391.313636059,1.684015533
326,326,1608829.751758127,5429370.384586682,0.956866679
327,327,1614969.948559907,5429345.665307935,0.984368225
328,328,1613662.77762585,5429451.539580208,1.924610781
329,329,1607466.049281359,5429454.645151486,0.964630056
330,330,1611888.860224232,5429304.600799657,1.984674454
331,331,1612337.678802431,5429305.301410414,2.988534623
332,332,1611808.104627168,5429351.877653357,0.32800088
333,333,1612324.418299633,5429372.616553468,1.083769018
334,334,1608324.776338461,5429290.67881117,0.855846167
335,335,1614735.871574388,5429333.932678762,1.990441325
336,336,1608313.483103471,5429281.446530201,1.225813328
337,337,1611882.561653069,5429276.48968037,0.103125002
338,338,1614908.366280695,5429279.498950813,2.05432271
339,339,1608302.189066862,5429271.487086967,1.189386671
340,340,1614944.071097716,5429261.093164362,1.198236851
341,341,1612764.516955786,5429274.600427474,1.059845086
342,342,1608279.601086455,5429251.5681417,1.069228589
343,343,1608470.10665656,5429275.199729938,0.992383742
344,344,1612912.839337048,5429245.020326422,0.605423078
345,345,1608268.302973837,5429241.611388104,1.494133337
346,346,1612864.479522876,5429235.510237852,0.851138609
347,347,1614961.553234687,5429244.389150076,1.006242021
348,348,1608257.01322979,5429231.64912582,1.386537538
349,349,1611603.628200159,5429227.078353484,0.563490194
350,350,1611905.037150292,5429221.60491243,0.696962501
351,351,1608013.437683659,5429326.181457341,1.037102625
352,352,1608236.48048256,5429209.005525699,1.045326532
353,353,1612995.489332176,5429195.01120431,0.67132692
354,354,1614989.295550819,5429191.388454219,0.90157144
355,355,1608212.352550996,5429161.893242829,1.096769257
356,356,1608576.643412332,5429199.791789453,0.867405949
357,357,1613078.423861515,5429135.02824715,0.624901961
358,358,1609398.819801908,5429510.786207352,1.326795684
359,359,1613492.99972161,5429131.063650236,1.577912223
360,360,1613065.762918826,5429122.81391808,1.547955196
361,361,1608204.226190079,5429112.040655003,1.379375048
362,362,1612117.990232697,5429095.513337864,1.57950495
363,363,1608022.239146654,5429141.182848018,0.610056764
364,364,1608189.149310497,5429082.140592555,1.52222501
365,365,1608801.731249354,5429082.090263032,0.904823533
366,366,1612138.120941572,5429076.824657786,0.951962257
367,367,1608620.799424584,5429105.594490276,0.961407012
368,368,1608178.690489248,5429066.700060803,1.442075576
369,369,1608783.334497322,5429066.488503905,0.98607552
370,370,1608764.512602474,5429051.552686659,0.985219996
371,371,1613536.294926416,5429047.660376171,1.421196703
372,372,1607994.364780803,5429047.920400577,0.6694889
373,373,1608745.696783006,5429041.60298307,1.038708699
374,374,1613542.653494214,5429033.480899083,1.297285722
375,375,1611656.492915563,5429017.574070447,0.517057142
376,376,1608170.28377295,5429027.313884838,1.495359992
377,377,1612206.981014781,5429033.649018185,1.132274826
378,378,1612280.752136009,5429001.587832973,0.858101249
379,379,1607973.177140584,5428998.89853704,0.620789481
