OID,FID_,X,Y,BCE_Tairua
123,123,1853728.15154565,5899307.21710642,-0.699092592
124,124,1853723.553055397,5899267.827383272,-0.701236391
125,125,1853071.375419337,5899272.452003956,0.064362205
126,126,1853721.325183417,5899207.443219438,-0.705972684
127,127,1853740.550638309,5899187.112454596,-0.708000004
128,128,1853012.355731448,5899193.991234061,0.175507195
129,129,1852993.140240556,5899173.339921313,0.137118961
130,130,1853785.977576578,5899296.32729418,-0.699889904
131,131,1853970.729356066,5899120.13684381,-0.407212493
132,132,1853846.665138494,5899104.490041046,-0.705759245
133,133,1852951.994469728,5899133.855290639,0.175318695
134,134,1853866.587978623,5899060.207024156,-0.700972881
135,135,1853285.030141025,5899051.482204373,-0.652999997
136,136,1853831.140068613,5899018.995359973,-0.690009262
137,137,1853880.317933379,5899018.336135487,-0.695020936
138,138,1853741.243814376,5898957.402453139,-0.529840001
139,139,1852920.718540206,5898894.449009608,0.033018265
140,140,1853298.907748996,5898860.905882699,-0.397600005
141,141,1854011.723394335,5899080.124302162,-0.196477191
142,142,1853214.218608227,5898824.115586457,-0.667084107
143,143,1853735.760802188,5898784.434297362,-0.651792423
144,144,1854045.743150759,5898779.950123572,0.11216981
145,145,1853746.356665634,5898754.199536182,-0.651393081
146,146,1854030.909594886,5898746.815366153,0.033964912
147,147,1853422.457610694,5898717.718436141,-0.659145489
148,148,1853470.416369142,5898716.281280349,-0.656982148
149,149,1854012.008437997,5898700.754067085,0.101092403
150,150,1853450.430389896,5898697.308058334,-0.65874074
151,151,1853397.623601137,5898691.998197689,-0.662642849
152,152,1853808.949354812,5898676.65686005,-0.647500005
153,153,1853910.474504214,5898741.603439535,-0.288893332
154,154,1852812.898506432,5898702.516257909,-0.078301372
155,155,1853381.285310705,5898678.638447592,-0.663999975
156,156,1853796.926061765,5898666.175966566,-0.647727278
157,157,1853828.944383617,5898655.640087365,-0.64468425
158,158,1853428.339740754,5898665.80230898,-0.662047904
159,159,1853820.306998897,5898645.518815633,-0.644799995
160,160,1852789.534676118,5898666.019810432,-0.09126154
161,161,1853612.36066721,5898641.980645875,-0.442800008
162,162,1853683.76989432,5898655.384947795,-0.560604902
163,163,1853405.004639141,5898640.387980038,-0.663986255
164,164,1853355.526329295,5898619.946659238,-0.668490945
165,165,1853867.15887912,5898601.661678834,-0.617318682
166,166,1853333.055985748,5898607.695271822,-0.670683258
167,167,1853354.38213538,5898594.270162133,-0.67007341
168,168,1853385.053557227,5898604.587146841,-0.667601948
169,169,1853882.329407467,5898574.0143082,-0.65027499
170,170,1852792.520460146,5898590.558119982,-0.2712279
171,171,1853873.438651131,5898544.347936274,-0.657937493
172,172,1853905.283864214,5898533.615542327,-0.662763627
173,173,1853892.822567052,5898523.810519947,-0.663018742
174,174,1852738.025492142,5898545.455804637,-0.287080281
175,175,1853351.454922581,5898545.023606197,-0.672223655
176,176,1853311.901827798,5898512.882325958,-0.676956777
177,177,1853351.936244578,5898485.153834583,-0.66480531
178,178,1852543.054051585,5898489.330196959,0.09560465
179,179,1852602.057461064,5898487.67465503,-0.268342636
180,180,1853762.392568424,5898442.914339827,-0.013481251
181,181,1852500.416025125,5898426.008997567,-0.107265249
