OID,FID_,X,Y,BCE_Kawhia
391,391,1761467.561311709,5783022.188243662,-9999.0
392,392,1759997.405608595,5783040.858341519,-9999.0
393,393,1759970.216270386,5783031.796866451,-9999.0
394,394,1759941.863238152,5783022.005056683,-9999.0
395,395,1759461.069745418,5783021.462266515,-0.116259257
396,396,1759074.145715833,5783030.065340159,-0.446107843
397,397,1759097.590973668,5782992.890417493,-0.506972957
398,398,1759307.237897829,5782984.961132444,-0.238666669
399,399,1759062.611657174,5782969.79902091,-9999.0
400,400,1758017.44865529,5782974.034447105,-9999.0
401,401,1759226.90666503,5782967.3494355,-0.167858994
402,402,1757889.397153237,5782964.69490609,-9999.0
403,403,1758434.818380376,5782955.952262269,-9999.0
404,404,1759150.228021646,5782994.070589991,-0.221573664
405,405,1757824.902050452,5782953.994107771,-9999.0
406,406,1757978.261622844,5782950.228161112,-9999.0
407,407,1759404.277683585,5782922.436967079,-0.530047587
408,408,1759600.454369555,5783033.560039618,-0.416252832
409,409,1757674.35416472,5782951.651962312,-9999.0
410,410,1757786.515003369,5782956.251349702,-9999.0
411,411,1757851.701898806,5782943.125998979,-9999.0
412,412,1757962.001223238,5782940.987034081,-9999.0
413,413,1758414.935960201,5782937.277812871,-9999.0
414,414,1759452.885658658,5782916.700221559,-0.453877662
415,415,1758376.135657063,5782925.762197326,-9999.0
416,416,1759041.111222143,5782899.102486474,-9999.0
417,417,1759462.619361049,5782891.235276509,-9999.0
418,418,1758358.404663699,5782910.31788106,-9999.0
419,419,1759050.973763908,5782889.664826254,-9999.0
420,420,1762570.356767907,5782820.366928111,0.411907406
421,421,1759036.796768418,5782879.969585291,-9999.0
422,422,1759140.800208189,5782907.690249165,-0.404411988
423,423,1759237.973342101,5782889.048377259,-0.296562495
424,424,1762548.973564065,5782816.716574093,0.428248703
425,425,1757850.73568411,5782893.284343891,-9999.0
426,426,1759252.430819816,5782858.968762648,-0.314460139
427,427,1759416.84915185,5782853.206923294,-9999.0
428,428,1761159.224942415,5782822.708908794,-9999.0
429,429,1759356.54831427,5783053.758029779,-0.228472525
430,430,1762558.731594635,5782788.330965996,0.429747431
431,431,1762581.533290743,5782780.046503334,0.428403973
432,432,1759020.694120428,5782839.720274639,-9999.0
433,433,1759047.640955392,5782829.89701343,-9999.0
434,434,1759567.618842426,5782819.723612045,-9999.0
435,435,1759061.473316618,5782819.123006749,-9999.0
436,436,1759402.550610634,5782812.984605154,-9999.0
437,437,1758892.669524514,5783156.251615268,-9999.0
438,438,1759086.448919781,5782799.222412333,-9999.0
439,439,1760436.28378003,5782782.488624305,-0.454466749
440,440,1755682.450339759,5782898.034469797,0.790051084
441,441,1760409.673723139,5782763.497078027,-0.413924518
442,442,1767697.396973854,5782622.317645743,1.885463136
443,443,1759058.911860483,5782780.400379658,-9999.0
444,444,1759344.230939633,5782812.164285333,-0.515787911
445,445,1760386.629602572,5782759.328483404,-0.264570089
446,446,1759273.33287714,5782778.23668687,-0.551415575
447,447,1759330.249776748,5782764.331090565,-9999.0
448,448,1759251.21340634,5782761.098974552,-0.578474576
449,449,1759306.250396076,5782754.309126214,-0.69599998
450,450,1762725.64762999,5782687.208408852,0.29650909
451,451,1758287.242452514,5782768.417435973,-9999.0
452,452,1759469.624151772,5782732.763754179,-9999.0
453,453,1759175.918648501,5782718.280856392,-9999.0
454,454,1759435.904106667,5782713.194099291,-0.422358492
455,455,1760347.402344445,5782697.865496678,-0.470653849
456,456,1759387.524139732,5782678.654386342,-0.516618264
457,457,1760326.522178632,5782663.12713338,-0.600897955
458,458,1755673.455240805,5782714.45193632,-0.430375005
459,459,1761509.886191964,5782602.13533501,-0.20323214
460,460,1760293.913138232,5782629.041666151,-0.511365334
461,461,1758028.361318848,5782653.534198306,-9999.0
462,462,1760004.992581856,5782616.682432996,0.189385747
463,463,1760209.37857259,5782597.912686191,-0.156851854
464,464,1760262.870900888,5782601.612317099,-0.470137435
465,465,1759960.530407357,5782610.076922666,0.200289244
466,466,1761579.991389657,5782560.439583972,0.015249999
467,467,1758042.47332632,5782620.318622971,-9999.0
468,468,1760240.499240677,5782577.355793967,-0.694333335
469,469,1760519.904837855,5782571.059900776,-9999.0
470,470,1758058.354243835,5782610.038247364,-9999.0
471,471,1758049.956468112,5782599.813670802,-9999.0
472,472,1758589.776182998,5782589.524490864,-9999.0
473,473,1759866.479275472,5782563.880968608,0.316283011
474,474,1758459.43687984,5782582.297884681,-9999.0
475,475,1762886.995731992,5782494.92207825,0.03950909
476,476,1755698.527350543,5782625.968196964,-9999.0
477,477,1757998.951121136,5782581.651498901,-9999.0
478,478,1758123.479412909,5782585.349659955,-9999.0
479,479,1760167.193444883,5782565.438266454,-0.173500996
480,480,1758577.36226009,5782559.122768461,-9999.0
481,481,1758159.484725859,5782558.2138584,-9999.0
482,482,1758646.800679176,5782549.433927096,-9999.0
483,483,1759215.299658723,5782536.700428811,-9999.0
484,484,1759917.075094801,5782565.683347982,0.154336786
485,485,1757867.799604681,5782553.902760388,-9999.0
486,486,1758167.338317869,5782548.608570215,-9999.0
487,487,1761334.252431588,5782548.241488223,-0.398039465
488,488,1755648.65521597,5782635.23040344,-0.762000004
489,489,1759152.866112995,5782675.689322755,-0.505664934
490,490,1760041.67366906,5782510.215596273,-0.099702232
491,491,1760487.67383041,5782493.085918998,-0.522926469
492,492,1755645.749377819,5782566.561343578,-0.364246369
493,493,1757985.391515595,5782521.705527321,-9999.0
494,494,1757953.685647613,5782512.348616515,-9999.0
495,495,1758213.663287002,5782507.300686042,-9999.0
496,496,1760106.9278793,5782503.855574453,-0.451038006
497,497,1761176.149778477,5782448.776574473,-0.300535712
498,498,1755646.657515056,5782547.036076996,-0.399090933
499,499,1755664.666928093,5782558.044731629,-9999.0
500,500,1759189.635059817,5782490.917765341,-9999.0
501,501,1760061.971825222,5782463.763102078,-9999.0
502,502,1758324.298569784,5782484.998004708,-9999.0
503,503,1759868.054332369,5782469.481420726,0.058756369
504,504,1759966.546736442,5782461.130267921,-0.209311821
505,505,1759986.158895549,5782452.303195664,-0.398636374
506,506,1757044.747899267,5782505.910793202,-9999.0
507,507,1759201.090923221,5782469.02515317,-9999.0
508,508,1759304.352461166,5782455.908200537,-9999.0
509,509,1759906.872139103,5782444.304147298,-0.135055558
510,510,1759946.580652456,5782443.524133646,-0.342946426
511,511,1760042.214105625,5782444.733598727,-0.649363637
512,512,1760964.976024134,5782570.659523988,-0.239678321
513,513,1758315.444219078,5782464.498826533,-9999.0
514,514,1759800.242449756,5782441.515537864,0.022840375
515,515,1759978.999863045,5782433.43432467,-0.602205303
516,516,1760021.529753686,5782459.418918075,-0.536379354
517,517,1755684.091453842,5782510.982543854,-9999.0
518,518,1759812.253403315,5782425.802083703,-0.006872728
519,519,1759835.296215066,5782429.972265552,-0.039149535
520,520,1755664.76347309,5782517.896110059,0.013932469
521,521,1755700.693047161,5782492.410632672,-9999.0
522,522,1758354.460948711,5782444.522941872,-9999.0
523,523,1759823.951138488,5782406.420096926,-0.095942858
524,524,1759713.462698164,5782398.616154867,-0.099551401
525,525,1759381.955670519,5782394.205698267,-9999.0
