OID,FID_,X,Y,BCE_Kawhia
278,278,1766169.261552509,5785559.780540094,0.120506252
279,279,1760275.691927842,5785660.362694346,0.355333332
280,280,1760198.409244965,5785639.444439157,0.369368431
281,281,1760249.99564849,5785640.101544187,0.248428919
282,282,1765817.825844148,5785531.850816621,0.405751674
283,283,1760212.197004198,5785620.851223681,0.248344828
284,284,1765801.549944725,5785507.452435991,4.253176444
285,285,1766376.880575875,5785494.98204254,0.713510198
286,286,1766357.416316016,5785486.718303961,0.666876195
287,287,1760158.219540948,5785600.34618978,0.278274998
288,288,1760177.101187894,5785602.745156323,0.27048333
289,289,1765784.016693643,5785503.055829568,0.826477796
290,290,1760152.606311243,5785582.174160608,0.24662839
291,291,1760124.097433687,5785560.521531912,0.189668014
292,292,1760097.642121794,5785526.745116846,0.266169871
293,293,1765976.455647181,5785384.203427547,-0.066355257
294,294,1760033.712519154,5785483.125973881,0.228757963
295,295,1765964.242786638,5785365.23427889,-0.280215689
296,296,1759982.290023155,5785474.163454203,0.718375001
297,297,1760005.737416969,5785463.730945879,0.218563023
298,298,1765918.700503159,5785345.489370687,0.076022727
299,299,1759934.888920111,5785435.505936937,0.736749991
300,300,1759971.479762751,5785444.096577557,0.239418718
301,301,1759942.463633937,5785425.868902722,0.81392308
302,302,1767095.878312859,5785211.737994681,0.62314
303,303,1767088.38246757,5785202.646237146,0.787431364
304,304,1767143.288946643,5785181.055548438,0.710535716
305,305,1767124.994008238,5785171.25038119,0.676055546
306,306,1759923.406152889,5785285.847675237,-9999.0
307,307,1766239.017886146,5785179.277856562,1.043150181
308,308,1766770.932732662,5785108.903669558,0.854145463
309,309,1766864.856686565,5785067.609805468,0.707411778
310,310,1766186.478257922,5785050.828475232,0.148527027
311,311,1767089.260735231,5785032.950646075,0.683027777
312,312,1767030.789369886,5785024.319634336,0.482515924
313,313,1766965.870887301,5785000.94252569,0.697675002
314,314,1766933.931564454,5784975.714223252,0.694850016
315,315,1766898.954377163,5784936.141320854,0.80975223
316,316,1766168.326113466,5784941.707382186,0.57658928
317,317,1766825.934966503,5784933.049485349,0.609746264
318,318,1766862.159719626,5784927.772802214,0.82518916
319,319,1766806.614747952,5784918.485870861,0.63294667
320,320,1766878.045322061,5784919.00027532,0.92502223
321,321,1766813.228012028,5784898.990432397,1.83174576
322,322,1765220.820925989,5784871.22310669,0.443107142
323,323,1766765.681039155,5784844.529087016,0.815815579
324,324,1765196.97696281,5784861.734056409,0.363963634
325,325,1766749.613758731,5784829.898760819,0.883282055
326,326,1766720.117691756,5784816.040696496,0.934270125
327,327,1766682.444096476,5784801.939931768,0.849971698
328,328,1765362.093187862,5784809.730234937,0.862407412
329,329,1765393.303033186,5784789.654913991,0.801137244
330,330,1765424.516770066,5784768.967483608,0.823595743
331,331,1766637.091351779,5784732.682776901,1.298222178
332,332,1765092.307441295,5784754.157953781,0.558166666
333,333,1765455.342987148,5784747.23817928,0.860338037
334,334,1765470.726017177,5784736.601610928,0.87936764
335,335,1765478.892116083,5784728.056745185,0.943704562
336,336,1765494.311344536,5784717.129992476,1.213233327
337,337,1766589.132932947,5784692.838136072,0.769499992
338,338,1765517.461946493,5784707.45182211,1.025088874
339,339,1765533.061379045,5784704.576147687,0.911959993
340,340,1759387.707328073,5784774.613872342,-0.348507243
341,341,1759373.038845526,5784758.134998463,-0.148149995
342,342,1759353.143066875,5784748.552014925,0.156594937
343,343,1766500.47404743,5784605.831945825,0.577094359
344,344,1759339.916303263,5784721.66431608,0.127750001
345,345,1766467.271191705,5784584.110877698,0.467031251
346,346,1759320.842095183,5784709.295152783,0.106150004
347,347,1765696.283229406,5784582.574350564,0.968027792
348,348,1766459.87082715,5784546.773460452,2.442969211
349,349,1759304.594304155,5784684.682196416,0.054422077
