OID,FID_,X,Y,BCE_Whitia
393,393,1839430.800512438,5915286.671842172,0.978088358
394,394,1839498.728882282,5915279.77068581,-0.213347826
395,395,1838814.137250115,5915278.16881082,-0.235770159
396,396,1839445.974572654,5915256.316276487,1.393381159
397,397,1839469.708149191,5915245.321081093,1.101339449
398,398,1841428.678142498,5915234.546135712,0.764553686
399,399,1839481.449344558,5915235.365033545,0.9851875
400,400,1839497.184657268,5915224.945743893,1.185000002
401,401,1838263.25218241,5915254.05845377,0.623074083
402,402,1839516.643151403,5915204.445443311,1.285031428
403,403,1838230.800720218,5915220.616823071,0.592575002
404,404,1839528.093555778,5915184.170686841,1.338775007
405,405,1839543.547889614,5915163.783109793,1.345462486
406,406,1838213.946988175,5915191.161060221,0.617500009
407,407,1838427.563209461,5915269.008299284,0.808621558
408,408,1839786.940335041,5915150.970224677,-0.230933334
409,409,1841815.154515622,5915107.6823816,0.826444785
410,410,1839807.248926085,5915136.397365364,-0.239455698
411,411,1841833.395933583,5915081.187016033,0.944666655
412,412,1838197.372613987,5915171.673427264,0.84158749
413,413,1839563.006118201,5915143.282676443,1.401410595
414,414,1839818.979680404,5915126.090681036,-0.203687497
415,415,1841787.316685854,5915084.61258705,1.000999987
416,416,1838181.233416278,5915161.926511883,0.916831174
417,417,1839614.496020717,5915121.879590327,1.36386254
418,418,1839830.710577615,5915115.783657671,-0.201549995
419,419,1839622.467435386,5915112.076349135,1.140684925
420,420,1839844.15699698,5915102.674423533,-0.165807693
421,421,1841023.330764555,5915062.107723932,0.624587505
422,422,1839636.078736238,5915102.333797272,1.270490374
423,423,1839853.890742096,5915085.201327385,-0.122474994
424,424,1839869.625294601,5915074.781391485,-0.276098757
425,425,1838315.227182567,5915153.835086626,0.856591299
426,426,1839654.235946267,5915082.14852515,1.345981171
427,427,1839664.903222433,5915065.480073744,-9999.0
428,428,1839877.070745474,5915054.619067271,-0.255899997
429,429,1838343.273913609,5915087.42589252,1.196555551
430,430,1839678.094430092,5915053.232156062,1.471249978
431,431,1838149.450124936,5915084.441062783,-0.405882321
432,432,1837990.558771559,5915076.100611201,-0.485428571
433,433,1838039.425420324,5915079.25247927,-0.443657698
434,434,1839687.474676387,5915044.251946302,1.427666704
435,435,1837940.065778485,5915064.66143482,-0.514333328
436,436,1837968.494845112,5915067.502099819,-0.503388678
437,437,1838146.25391789,5915063.369372525,0.3136028
438,438,1839843.914424653,5915015.649890821,0.692425002
439,439,1837917.058375566,5915057.21722402,-0.517456529
440,440,1838226.192454235,5915056.142188266,0.619512499
441,441,1838674.490373352,5915038.581659216,-0.088379741
442,442,1839851.641071643,5915005.455790634,0.400875003
443,443,1837894.089971622,5915049.752572062,-0.511165415
444,444,1837937.472559317,5915048.535443443,0.685472743
445,445,1838257.944371496,5915045.276496113,0.526462498
446,446,1838735.02403758,5915107.357360463,-0.17678211
447,447,1837873.967681206,5915041.666401817,-0.476375998
448,448,1839858.63200545,5914985.463981806,0.243176469
449,449,1837856.857264787,5915031.566565323,-0.456088599
450,450,1838352.755506604,5915017.679130686,0.087446433
451,451,1837840.562877797,5915022.046440023,-0.456612496
452,452,1838663.610760926,5915008.701669471,-0.222203856
453,453,1839890.696260487,5914969.437083242,-0.162125788
454,454,1837847.668456123,5915003.935211143,0.333765968
455,455,1840739.894761564,5914927.438087133,0.913353681
456,456,1839897.860019731,5914939.306538366,-0.173302183
457,457,1838328.523053086,5914958.552703992,0.565637683
458,458,1838338.222840607,5914942.422789887,0.63166668
459,459,1839904.602134846,5914894.223910292,-0.125074069
460,460,1839912.047253036,5914874.061367387,-0.160674999
461,461,1839832.795327901,5914866.168220459,1.098451628
462,462,1838365.50473821,5914905.936028049,0.702227547
463,463,1839919.351807687,5914848.914859967,-0.223831249
464,464,1838353.787518451,5914882.567425248,0.720941189
465,465,1839926.374968882,5914813.800585122,-0.264241674
466,466,1838359.676028147,5914838.212142298,0.768000007
467,467,1840658.512633561,5914773.155065272,-0.211481255
468,468,1839882.906479793,5914795.093914199,0.6200404
469,469,1839933.679229325,5914788.653748482,-0.310049686
470,470,1840510.089034152,5914767.378655986,-0.160949999
471,471,1840710.279877237,5914761.713377265,-0.203499998
472,472,1839901.973072442,5914785.343777878,0.306076926
473,473,1839919.547368068,5914766.992795255,0.225071432
474,474,1840541.273119166,5914736.568206382,-0.196139239
475,475,1840548.998693048,5914726.373414562,-0.205087506
476,476,1838358.162313505,5914777.004076042,1.571833293
477,477,1840556.724247691,5914716.178614656,-0.1792125
