OID,FID_,X,Y,BCE_Waitem
132,132,1742971.985127788,5930365.205342659,0.898113211
133,133,1742939.351544934,5930356.263112316,0.761235978
134,134,1749097.688951842,5930240.489046447,-9999.0
135,135,1749568.550511546,5930260.695689419,0.537995366
136,136,1745826.062099946,5930286.794503341,-0.192750009
137,137,1749405.835893289,5930228.222997469,0.136363636
138,138,1749446.45692305,5930246.161017688,-0.145088631
139,139,1745779.060161732,5930274.325143691,0.34
140,140,1749329.857038744,5930239.778204724,0.063989814
141,141,1749520.01621147,5930213.428085195,-0.110374996
142,142,1749618.604840402,5930211.087120117,0.401410259
143,143,1742784.512444376,5930326.188359808,-0.159574458
144,144,1742861.180766027,5930324.658895265,-0.463218384
145,145,1745797.656602751,5930267.34178674,-0.506500003
146,146,1748834.1233523,5930261.534964658,-0.194405591
147,147,1745751.72170363,5930312.111143664,0.390911709
148,148,1748826.935294249,5930205.68614508,-0.07312904
149,149,1749305.933203564,5930197.061769232,0.333541672
150,150,1749565.193995656,5930192.425418579,-0.358522727
151,151,1742719.603945942,5930300.445464476,-0.0586875
152,152,1742970.237506881,5930315.560883863,0.106888891
153,153,1742697.970235497,5930289.776312048,-0.00825
154,154,1749614.183352771,5930177.007338936,-0.578720929
155,155,1749710.942861222,5930191.164482834,0.493233329
156,156,1742659.326778601,5930280.136191619,-0.183400004
157,157,1749344.668065682,5930167.788000773,-0.020980393
158,158,1749676.047229343,5930154.023238571,-0.053916311
159,159,1742672.939633971,5930262.58709693,-0.080465114
160,160,1742868.91298682,5930262.937575155,0.686666648
161,161,1745774.9647777,5930228.94985324,0.018642335
162,162,1749084.253357089,5930150.800472775,0.159319446
163,163,1749322.122308575,5930166.670949715,0.243042941
164,164,1749785.031696043,5930137.201716608,0.74408162
165,165,1749060.02369402,5930141.253994927,0.0658875
166,166,1749713.539679082,5930129.824806929,0.013950608
167,167,1749793.656775938,5930127.387782966,0.712857137
168,168,1749299.206427925,5930134.861766892,-0.027834103
169,169,1749721.558035512,5930120.970210984,-0.321612882
170,170,1749761.476553223,5930119.015314,-0.562098752
171,171,1749038.252301356,5930129.35810166,-0.206654389
172,172,1749773.473012624,5930108.927256745,-0.673543279
173,173,1749203.360833696,5930109.962056949,-0.411304594
174,174,1749262.329138681,5930111.840407352,0.05188104
175,175,1749815.076376123,5930090.03964909,-0.43172838
176,176,1742913.675915804,5930200.755990528,0.006641221
177,177,1748817.014937383,5930108.223469973,0.49165853
178,178,1749014.032784138,5930101.413072754,0.071293332
179,179,1748995.454183057,5930073.150319879,0.090615383
180,180,1749234.308653977,5930076.397610331,0.158311164
181,181,1745699.36939515,5930123.800180487,-0.822090954
182,182,1748990.475175004,5930062.714283342,0.108617286
183,183,1745780.702522047,5930140.100502401,0.345045647
184,184,1745720.382683799,5930081.054595243,-0.972000003
185,185,1742872.741452779,5930086.362971789,0.021588237
186,186,1743004.326254294,5930089.466568767,0.545506492
187,187,1748769.294935662,5929991.118446502,-0.08915384
188,188,1742966.606023221,5930056.203135021,-0.961600041
189,189,1748963.275846036,5930001.309408977,0.036795274
190,190,1745780.86581215,5929988.497312041,-9999.0
191,191,1748615.574456917,5929939.48965716,-0.057572372
192,192,1748672.899399261,5929948.337647512,0.140928096
193,193,1745796.857022027,5929959.42522572,-9999.0
194,194,1748925.450082434,5929897.02077952,0.21004759
195,195,1742933.198529885,5929977.01172071,-9999.0
196,196,1742964.143356951,5929962.728304258,-0.866403852
197,197,1748632.623872621,5929856.264409757,-0.568090899
198,198,1742849.115426755,5929922.287811997,0.141858739
199,199,1742806.298256561,5929908.552929451,0.086211006
200,200,1743024.771106121,5929962.0272634,1.18985952
201,201,1748902.054159325,5929834.177989109,-0.016454539
202,202,1742843.656112123,5929888.589160502,-0.710042379
203,203,1748641.22203811,5929800.67046083,-0.630477776
204,204,1748880.288291185,5929798.805387681,-0.136051287
205,205,1745878.14456822,5929845.609745694,0.682307688
206,206,1742766.270794481,5929866.850655667,-0.094000003
207,207,1742930.730431405,5929851.677009103,-9999.0
208,208,1742959.502641998,5929861.728947746,-0.930070598
209,209,1742978.038877734,5929814.910492018,-0.930135814
210,210,1743062.690877768,5929845.177909371,0.298747905
211,211,1748808.652445975,5929721.53504824,-0.043875806
212,212,1748566.940435779,5929701.43422308,-0.903589274
213,213,1742714.789200383,5929788.484117839,0.129696968
214,214,1742881.746353252,5929768.3263025,-0.079489535
215,215,1742993.407693455,5929774.777925426,-0.938099971
216,216,1743100.847511877,5929769.949766805,0.095336902
217,217,1742865.479588359,5929759.814349771,-0.010661538
218,218,1745808.98121688,5929774.831544218,-0.734989684
219,219,1742608.694948311,5929749.267056232,0.1434
220,220,1742825.286592799,5929749.333377466,-0.027375003
221,221,1747253.765246898,5929672.835125821,0.206490907
222,222,1748766.552920478,5929680.019067725,0.030836959
223,223,1742580.387574952,5929738.521592968,-0.023
224,224,1742801.06545926,5929739.769311187,-0.07915
225,225,1747235.053961964,5929664.48303335,0.229282052
226,226,1748499.20927436,5929645.873770271,-0.893666674
227,227,1743033.263515521,5929726.116136307,-0.685611096
