OID,FID_,X,Y,BCE_Ohiwa_
154,154,1965002.128710987,5786969.008530078,0.431270203
155,155,1958750.187768598,5787248.500833234,-0.11173016
156,156,1964983.844894289,5786942.215239504,0.585371424
157,157,1964963.191663802,5786918.388308651,0.67986691
158,158,1958158.996790117,5787199.26411678,-0.196437503
159,159,1964934.299912538,5786894.356848472,0.866172156
160,160,1964866.075877752,5786872.603762014,1.323761321
161,161,1958681.584404289,5787151.469209582,-0.136573587
162,162,1958621.816334768,5787113.988196387,-0.036099999
163,163,1964841.623014101,5786844.347463395,1.353834523
164,164,1965512.05345932,5786808.766877018,0.676475556
165,165,1956320.690136468,5787195.388132339,0.691934587
166,166,1956339.995704682,5787200.173213647,0.814975797
167,167,1958621.095081691,5787093.826886305,-0.105981135
168,168,1956269.377870397,5787186.276474223,1.050283792
169,169,1965495.259983668,5786784.04422093,0.027329114
170,170,1965502.212719779,5786768.965432757,1.573079994
171,171,1958161.700406215,5787084.441615887,-0.304703704
172,172,1965486.034528703,5786764.991429217,-0.028654206
173,173,1958141.263104929,5787075.131648109,-0.373612078
174,174,1965493.825219767,5786739.1384876,1.228900013
175,175,1956147.12744639,5787112.130632952,0.944604642
176,176,1956426.245868362,5787156.62799115,0.814911176
177,177,1956154.10381287,5787102.153935254,1.131775022
178,178,1956161.560984368,5787091.836403132,1.005487172
179,179,1956339.409088149,5787078.599664635,0.710000038
180,180,1956500.500211344,5787067.044244198,0.552317594
181,181,1956181.680093526,5787077.219168404,0.967792996
182,182,1956207.46944582,5787069.848449637,0.956153849
183,183,1956444.817549013,5787059.484539513,0.400424366
184,184,1956393.065924493,5787051.40150323,0.511540536
185,185,1956305.652935536,5787045.463302688,0.841180669
186,186,1956570.224793548,5787034.021533161,0.681049997
187,187,1956135.73918091,5787043.73161032,0.693076913
188,188,1956151.492217157,5787042.315506512,0.88692208
189,189,1956841.662215018,5787214.464532861,0.342117826
190,190,1956174.702339528,5787030.581820483,0.672148153
191,191,1956291.061345153,5787028.98904477,0.731614287
192,192,1956202.012473556,5787025.439413542,0.6895078
193,193,1956359.821480539,5787028.660085226,0.530489853
194,194,1956276.464157279,5787006.883963203,0.387192308
195,195,1956331.71068994,5787004.47170269,0.667807685
196,196,1956260.244028318,5786997.60003579,1.193679461
197,197,1956251.916279022,5786987.971523191,0.807550009
198,198,1956315.023260626,5786984.487598756,0.326537037
199,199,1956110.919481696,5787024.013028861,0.983456059
200,200,1956235.664470746,5786977.960347423,0.745693884
201,201,1956227.943997107,5786969.033893157,0.613833331
202,202,1956243.01331373,5786968.570458128,0.598573327
203,203,1956234.247332945,5786958.333981016,0.709505886
204,204,1962079.135568602,5786685.486979587,0.34466666
205,205,1965563.36935855,5786526.161527216,0.146999999
206,206,1962030.458464296,5786673.685576573,0.193412906
207,207,1965554.007661228,5786506.594122396,0.150400002
208,208,1956273.396271748,5786937.672289364,0.76516792
209,209,1962009.932441025,5786661.578782942,0.826277781
210,210,1961985.547490687,5786645.934860772,0.350599995
211,211,1961999.634871865,5786648.79348844,1.109363626
212,212,1965529.436482798,5786487.708096294,0.121307691
213,213,1965504.865419009,5786468.822004193,0.060624999
214,214,1961432.109398026,5786648.683330694,0.038434579
215,215,1961336.779209119,5786634.483909297,0.255800001
216,216,1961396.201310534,5786638.541442341,0.325071163
217,217,1965491.115600188,5786456.113393124,0.033919149
218,218,1961310.168908032,5786621.291615923,0.102867725
219,219,1961296.568093075,5786606.286117767,0.048634615
220,220,1961769.360449705,5786585.382257511,0.713402068
221,221,1961303.443311441,5786595.98887743,0.244961539
222,222,1962237.805481594,5786565.507146356,0.316592598
223,223,1965470.399564293,5786426.888323698,0.006662524
224,224,1961295.109383779,5786586.365101472,0.18805
225,225,1961721.294097894,5786567.482516374,0.191628207
226,226,1961839.678852344,5786562.233386201,0.289564103
227,227,1957419.732618473,5786746.842901817,-0.53579999
228,228,1961286.775758011,5786576.741132182,0.116100001
229,229,1965454.160116324,5786396.142744935,-0.000968358
