OID,FID_,X,Y,BCE_Otago_
289,289,1422520.475328952,4927596.439896902,-9999.0
290,290,1422953.813041311,4927609.147642971,-9999.0
291,291,1423021.460694603,4927581.679298774,-0.119317122
292,292,1421626.456192881,4927486.836427903,0.161647481
293,293,1422698.171222169,4927517.727505448,-9999.0
294,294,1422607.682149174,4927665.585396484,-0.830817396
295,295,1422719.811548503,4927482.611827645,-9999.0
296,296,1422609.255873725,4927455.053091486,-9999.0
297,297,1422635.539071712,4927429.115820733,-9999.0
298,298,1422603.392319655,4927416.38832148,-0.988500041
299,299,1422881.286061716,4927363.514373546,-9999.0
300,300,1422612.779472917,4927340.286501814,-9999.0
301,301,1422648.196491056,4927380.661285603,-9999.0
302,302,1422652.283100662,4927307.037095064,-9999.0
303,303,1422913.917089822,4927304.137134515,-9999.0
304,304,1422837.087084538,4927308.849081072,-9999.0
305,305,1422613.001925571,4927281.741485567,-9999.0
306,306,1422673.453777348,4927287.082703897,-9999.0
307,307,1422851.927748116,4927272.403976911,-9999.0
308,308,1422872.875437801,4927273.001451609,-9999.0
309,309,1422674.655738303,4927257.733666893,-9999.0
310,310,1422790.618117584,4927261.19642095,-9999.0
311,311,1422803.921937999,4927250.647915792,-9999.0
312,312,1422422.505419333,4927209.993093052,-0.645719526
313,313,1422694.002125099,4927218.485039267,-9999.0
314,314,1422707.306035577,4927207.936738375,-9999.0
315,315,1422636.724081225,4927216.326016692,-9999.0
316,316,1423232.729246912,4927211.694468332,-9999.0
317,317,1422422.70732723,4927184.572429699,-0.513683404
318,318,1419532.087583934,4927087.452234254,-0.555557125
319,319,1419586.698873434,4927088.50899692,-0.603040016
320,320,1419611.733740701,4927088.819979211,-0.593731471
321,321,1419646.547948094,4927090.624563633,-0.593166675
322,322,1423254.6928078,4927193.121959695,-9999.0
323,323,1419719.141369808,4927053.066851311,-0.667775392
324,324,1419370.948318853,4927029.950703919,-9999.0
325,325,1422654.002336511,4927111.729339366,-9999.0
326,326,1422693.17995798,4927098.447333531,-9999.0
327,327,1423269.551485956,4927125.709915895,-0.952222274
328,328,1422519.09051129,4927062.899369176,-0.639784617
329,329,1419248.334908709,4926948.816005124,-9999.0
330,330,1422627.925648374,4927046.059612588,-9999.0
331,331,1419215.480839134,4926924.777290656,-9999.0
332,332,1422554.208089952,4927017.317745831,-0.881415417
333,333,1419120.82313632,4926905.525304544,-9999.0
334,334,1419152.2074803,4926911.420763102,-9999.0
335,335,1419187.904804951,4926907.631696544,-9999.0
336,336,1419375.329082293,4926912.351230838,-9999.0
337,337,1421755.10151919,4926982.021615322,-0.367552448
338,338,1419361.515359574,4926901.755823434,-9999.0
339,339,1422573.350293513,4926999.552496381,-0.813511136
340,340,1419180.255460645,4926886.901426503,-9999.0
341,341,1419097.393065187,4926880.836553787,-9999.0
342,342,1419209.998072275,4926893.405624895,-9999.0
343,343,1419295.209544815,4926887.064361438,-9999.0
344,344,1420371.514892804,4926911.86302661,-0.836968431
345,345,1420392.461593971,4926912.468903181,-0.792258073
346,346,1420461.947137697,4926913.548311302,-0.648195879
347,347,1422608.533739568,4926992.532825821,-0.883741247
348,348,1419282.649697634,4926869.033185806,-9999.0
349,349,1420451.731262085,4926904.340540463,-0.690326525
350,350,1419084.129369938,4926849.505090424,-9999.0
351,351,1421515.321186836,4926926.866559685,-0.475568891
352,352,1419104.256428509,4926828.169205348,-9999.0
353,353,1419300.246106227,4926834.682133771,-9999.0
354,354,1419332.614047813,4926831.78060609,-9999.0
355,355,1419751.544615413,4926843.954953523,-9999.0
356,356,1419991.931518537,4926850.550775681,-9999.0
357,357,1421759.671044297,4926902.072133601,-0.450829797
358,358,1420002.4986728,4926840.081516097,-9999.0
359,359,1419322.223409135,4926811.123590861,-9999.0
360,360,1420652.821975217,4926850.073365198,-0.696010508
361,361,1421521.602147428,4926874.727159419,-0.519437515
362,362,1422855.20321622,4926917.702999917,-9999.0
363,363,1423302.487727436,4926915.463763638,-9999.0
