OID,FID_,X,Y,BCE_Manuka
440,440,1760325.591903763,5910116.92027065,0.155999999
441,441,1762870.133380943,5910069.160417163,1.554925339
442,442,1762973.47163942,5910066.685427007,1.576545453
443,443,1756902.058045789,5910177.057593916,1.365530295
444,444,1760029.400519965,5910112.5404562,0.846736404
445,445,1762890.265317645,5910058.709394487,1.595725179
446,446,1762993.87124287,5910056.706316175,1.647363625
447,447,1756926.789861869,5910184.338870556,1.272426323
448,448,1759909.197801018,5910104.109069269,1.418039177
449,449,1762797.827326086,5910049.914848546,1.431199956
450,450,1762909.547325313,5910048.46035692,1.605294149
451,451,1756351.163150832,5910177.433796797,-0.191000828
452,452,1756941.100678652,5910155.25910809,1.513124961
453,453,1759797.377004324,5910097.487347197,2.016285692
454,454,1759925.02390793,5910094.56766542,1.816075938
455,455,1759941.010419434,5910093.539476224,1.724545481
456,456,1759882.78774902,5910124.069273319,1.109949541
457,457,1759956.930087883,5910088.98166507,1.370062501
458,458,1762805.445031461,5910029.828122865,1.454814781
459,459,1762936.006507908,5910038.006690853,1.670924999
460,460,1759996.541028715,5910071.340958805,1.641501343
461,461,1760028.27275877,5910052.741233958,1.646375012
462,462,1756331.639454408,5910116.093667385,-0.255636358
463,463,1756339.887218778,5910091.782897609,0.002777782
464,464,1760050.027469891,5910010.883702043,1.948291134
465,465,1756333.336348178,5910069.869111161,0.001679587
466,466,1760067.15423318,5909992.198518559,1.950499982
467,467,1748646.053139582,5910200.797482816,0.086
468,468,1756289.78181616,5910056.491600677,-0.059273258
469,469,1760371.049683718,5909981.464602176,0.242866243
470,470,1761526.951395558,5909954.556468872,0.141265822
471,471,1748652.246000004,5910180.0980769,0.402327272
472,472,1756272.129909262,5910042.57668472,-0.291452989
473,473,1760082.809263057,5909972.001028608,2.145375007
474,474,1761687.849698923,5909952.478405117,0.260304746
475,475,1761830.760572331,5909938.797967654,0.13625
476,476,1760090.644058569,5909961.911155968,1.995189834
477,477,1760098.483281638,5909951.826722114,1.866233756
478,478,1760370.973794323,5909946.570522244,0.493061226
479,479,1761466.382898765,5909925.798331384,0.217000001
480,480,1761786.901195699,5909926.993656516,0.855462175
481,481,1761434.193383718,5909916.440487402,0.205512817
482,482,1761454.193203624,5909916.060199824,0.2498125
483,483,1761802.291722422,5909909.556995023,2.248311701
484,484,1761466.161042248,5909905.66121905,0.345090918
485,485,1761558.435627534,5909904.690388726,1.127943922
486,486,1761810.000592043,5909899.313119386,2.251125009
487,487,1761863.531956204,5909919.252798286,0.359423869
488,488,1760114.443214919,5909928.335850215,1.634720012
489,489,1760122.509880414,5909912.261411599,1.541525429
490,490,1748678.721075055,5910269.57713656,-0.125836373
491,491,1761341.436002004,5909878.324088371,0.227125
492,492,1761493.867144896,5909876.008763998,1.100555566
493,493,1761904.337856591,5909880.767466601,0.079080116
494,494,1760137.26975439,5909891.169907506,1.321749993
495,495,1761297.24709375,5909869.193866155,0.210500001
496,496,1748665.377698323,5910089.920172772,-0.568650017
497,497,1756413.391668968,5909951.088008348,2.165033134
498,498,1761921.04884389,5909847.343724077,0.284500003
499,499,1760144.887614769,5909871.079044922,1.313875002
500,500,1761268.261419772,5909852.848110364,0.262980936
501,501,1761424.708572569,5909847.031020202,1.135892856
502,502,1748633.609077978,5910069.453050397,-0.486454527
503,503,1761930.929160274,5909829.966903849,0.291809526
504,504,1761284.92251455,5909830.131553548,0.829166662
505,505,1748584.682439957,5910050.747087744,-0.392071431
506,506,1748632.6678804,5910049.888390597,-0.653765954
507,507,1760404.129631275,5909826.301939943,0.244500001
508,508,1748485.195617934,5910044.208624627,-0.017867662
