OID,FID_,X,Y,BCE_Tauran
136,136,1861502.018497353,5849890.705671411,-0.29915619
137,137,1861591.937690451,5849875.644842767,-0.342074074
138,138,1861524.041134669,5849862.79610132,-0.367522941
139,139,1861600.12992951,5849860.782115987,-0.342327279
140,140,1863269.446218959,5849808.362531915,0.028886797
141,141,1860728.075787596,5849892.927482569,-0.064738938
142,142,1860401.744323458,5849909.159728348,0.233456521
143,143,1860505.102301621,5849877.749441473,0.201924444
144,144,1861500.437980871,5849844.748262775,-0.299074769
145,145,1860790.55856306,5849869.146568287,-0.12545131
146,146,1861416.404802396,5849841.813249374,-0.536569601
147,147,1861476.496724478,5849841.654095596,-0.260847828
148,148,1861305.971895047,5849831.03914178,-0.240509431
149,149,1861344.724610884,5849839.074296706,-0.318550282
150,150,1861618.330879541,5849828.288394174,-0.370011497
151,151,1860680.952531815,5849840.513349656,-0.089663635
152,152,1863068.453925084,5849765.026945111,-0.599607152
153,153,1860692.287727503,5849829.386425612,-0.097399996
154,154,1861295.94431208,5849810.87539727,-0.255071426
155,155,1861512.421364852,5849819.473127997,-0.343690707
156,156,1860296.7012826,5849827.304819135,0.205981135
157,157,1860438.910527845,5849821.971891087,0.202373772
158,158,1860399.888865329,5849822.921981376,0.208202733
159,159,1862034.07844342,5849757.7342503,-0.202571423
160,160,1862762.822258878,5849735.632724779,-0.402603961
161,161,1862840.92013045,5849713.272936891,-0.338541222
162,162,1861405.324438717,5849747.564884363,-0.414870378
163,163,1862764.261688423,5849704.778084319,-0.690874987
164,164,1862816.51028548,5849702.244968545,-0.347963311
165,165,1862875.519927503,5849701.265223835,-0.373490912
166,166,1862883.470096068,5849690.61879005,-0.340999994
167,167,1860340.121042574,5849765.771151096,0.167194154
168,168,1860423.840253799,5849758.747429218,0.151944954
169,169,1861345.687305323,5849729.855547577,-0.405926606
170,170,1861026.069233629,5849821.140326836,-0.065288942
171,171,1860308.537539417,5849732.559052959,0.151076432
172,172,1860950.77073109,5849711.514593741,0.042892857
173,173,1861093.828516625,5849707.444371833,0.033854545
174,174,1861195.391281546,5849708.922886549,-0.102438599
175,175,1862023.620805351,5849678.227789252,-0.109854544
176,176,1862044.079503671,5849677.960578019,-0.082738315
177,177,1860232.732287413,5849725.733221521,0.257916668
178,178,1861204.165323376,5849664.065235548,-0.076907408
179,179,1863068.879927933,5849608.407102048,-0.480425538
180,180,1860271.993997542,5849705.422289455,0.204978011
181,181,1861831.325987169,5849634.381553466,-0.421074077
182,182,1862792.902212435,5849604.078574066,-0.228982137
183,183,1863007.470637506,5849592.103805713,-0.402904698
184,184,1860271.015416802,5849663.403133487,0.17558197
185,185,1861140.083526606,5849680.093550004,-0.014563399
186,186,1862236.148981372,5849601.470705678,-0.693071117
187,187,1862688.648348668,5849577.430814099,-0.713999987
188,188,1862712.489020485,5849576.678380803,-0.713999987
189,189,1862975.052999016,5849573.168965319,-0.378081421
190,190,1861237.70167897,5849608.230150755,-0.071479071
191,191,1862060.216773352,5849577.281099476,-0.11043636
192,192,1863009.385376474,5849526.825339912,-0.562513042
193,193,1861888.402530843,5849557.844069582,-0.429915886
194,194,1861339.801395074,5849578.937747864,-0.347229092
195,195,1861143.91256573,5849529.029123049,0.015817205
196,196,1862033.710504902,5849488.092530211,-0.713874988
197,197,1863229.701509099,5849450.354524184,-0.670087487
198,198,1861914.036213885,5849482.087684491,-0.38254546
199,199,1860329.841929603,5849524.874572902,0.106388298
200,200,1862795.971780869,5849444.101138921,-0.713999987
201,201,1862812.037434167,5849443.801776963,-0.713999987
202,202,1861350.492555272,5849468.239449295,-0.336667438
203,203,1861364.462972468,5849449.050426597,-0.354709101
204,204,1861592.479789458,5849410.576084653,-0.36317729
205,205,1861620.5726544,5849390.730220565,-0.37707548
206,206,1860625.317186612,5849646.643099313,0.0936035
207,207,1861343.046178106,5849409.842724558,-0.303208453
208,208,1861566.636025138,5849389.566760019,-0.338919358
209,209,1861648.345772256,5849380.670390748,-0.337285721
210,210,1863308.411867645,5849298.170977969,-0.713999987
211,211,1863323.987643983,5849290.795429468,-0.700073284
212,212,1861376.73056976,5849338.37206779,-0.343471701
213,213,1860263.686438364,5849381.963188101,0.027818868
214,214,1861369.073162744,5849329.360807695,-0.336576917
215,215,1860306.879326569,5849375.323269089,0.078874776
