OID,FID_,X,Y,BCE_Poriru
412,412,1755717.710550903,5446379.718677421,-0.499000013
413,413,1755312.558591345,5446374.784261931,-0.5
414,414,1755685.876192939,5446366.437412929,-0.5
415,415,1754542.653259631,5446361.165041715,-0.5
416,416,1755263.457647781,5446346.27112352,-0.5
417,417,1754395.798494679,5446304.105374536,-0.5
418,418,1754497.645600317,5446409.502212903,-0.5
419,419,1754518.763103229,5446301.804841013,-0.5
420,420,1755623.912926401,5446304.293430611,-0.5
421,421,1754387.151152507,5446283.776489672,-0.5
422,422,1754518.130806998,5446271.885646097,-0.5
423,423,1755562.862320469,5446239.771791766,-0.5
424,424,1755406.787588211,5446193.185682975,-0.5
425,425,1755502.230091618,5446180.97529078,-0.5
426,426,1755194.137863154,5446127.859610399,-0.5
427,427,1755284.637501181,5446125.938022146,-0.5
428,428,1755201.044374143,5446097.780300447,-0.5
429,429,1755182.323666679,5446078.599301547,-0.5
430,430,1754433.989957768,5446048.565936536,-0.5
431,431,1754281.464887751,5446043.999987625,-0.392729727
432,432,1755248.096289548,5446012.075898308,-0.5
433,433,1755278.050542809,5446001.462181767,-0.5
434,434,1755157.582354099,5445979.34874831,-0.5
435,435,1755176.369086184,5445968.387825876,-0.5
436,436,1755202.783315132,5446003.112688038,-0.5
437,437,1754504.055432076,5445962.879940502,-0.5
438,438,1754454.559033698,5445954.415986305,-0.5
439,439,1755187.246613052,5445948.831342394,-0.5
440,440,1755353.225075241,5446063.190747763,-0.499929513
441,441,1754440.868724622,5445940.72629179,-0.5
442,442,1754522.002849579,5445927.683214795,-0.5
443,443,1754540.708563664,5445912.217600458,-0.5
444,444,1754502.790820133,5445903.041521267,-0.5
445,445,1755251.402614236,5445896.240055987,-0.500044742
446,446,1755128.091026006,5445859.867034077,-0.5
447,447,1754474.759172604,5445864.128392952,-0.5
448,448,1754727.765895289,5445838.418216828,-0.5
449,449,1755108.336577997,5445830.821188366,-0.5
450,450,1755097.070438973,5445820.199222113,-0.5
451,451,1754525.093385548,5445823.269588201,-0.5
452,452,1754878.169813932,5445815.278254529,-0.5
453,453,1754437.34951292,5445815.003320765,-0.5
454,454,1754885.288521875,5445795.172331891,-0.5
455,455,1754916.137991124,5445798.779908512,-0.5
456,456,1754351.770006,5445969.565050997,-0.443734904
457,457,1754907.11779106,5445776.144798841,-0.5
458,458,1755035.479697569,5445762.056013217,-0.5
459,459,1755005.201059775,5445742.742968673,-0.5
460,460,1754476.105848893,5445726.608083497,-0.49999998
461,461,1754577.270087976,5445651.145380112,-0.5
462,462,1754747.426998458,5445309.007193015,0.119840003
463,463,1754728.623953135,5445240.134558604,-0.105583333
464,464,1754722.559418224,5445562.483750908,-0.450245411
465,465,1754614.576460512,5445115.074933811,0.156857146
