OID,FID_,X,Y,BCE_Opua_I
429,429,1703003.542438949,6095585.648445028,-0.267322622
430,430,1695906.272719207,6095656.160313189,-0.785000026
431,431,1698802.624760147,6095620.502150005,-9999.0
432,432,1699232.975370256,6095630.879272578,-9999.0
433,433,1698765.313582915,6095610.365894267,-9999.0
434,434,1703351.431316614,6095574.891106369,1.269601057
435,435,1695943.555732346,6095637.414255538,-0.731340451
436,436,1698806.046350856,6095599.229063138,-9999.0
437,437,1699798.705133382,6095589.028639304,0.689829585
438,438,1695840.208040126,6095628.26427855,-0.452224665
439,439,1695953.987994902,6095620.007692257,-0.15777966
440,440,1697427.045917038,6095668.822201852,0.453431001
441,441,1698842.709968206,6095589.589746227,-9999.0
442,442,1698862.972199136,6095589.572059396,-9999.0
443,443,1695832.351262361,6095611.572596082,-0.694999993
444,444,1699798.429584065,6095564.121025715,-0.046680044
445,445,1699042.537685574,6095556.778775757,-9999.0
446,446,1699073.000335692,6095559.92137564,-9999.0
447,447,1699836.385914723,6095583.071385604,0.718544111
448,448,1695727.219004027,6095594.220286824,-0.660553042
449,449,1695655.139572709,6095587.416933766,-0.685000002
450,450,1702163.294519252,6095507.755695872,-9999.0
451,451,1702163.02066946,6095483.574482804,-9999.0
452,452,1699143.438647277,6095482.760600397,-9999.0
453,453,1699136.026879755,6095548.039458465,-0.735483213
454,454,1699890.952628437,6095448.712215451,-9999.0
455,455,1699871.017593564,6095439.344927159,-9999.0
456,456,1699155.610487185,6095436.692262211,-9999.0
457,457,1699174.450767702,6095416.153386946,-9999.0
458,458,1699196.013356654,6095395.664513613,-9999.0
459,459,1699890.180337246,6095378.970865548,-9999.0
460,460,1703414.754157411,6095345.877328083,-9999.0
461,461,1699212.024185715,6095365.595690221,-9999.0
462,462,1699399.664191915,6095354.49660821,-9999.0
463,463,1703369.292472812,6095315.532468111,-9999.0
464,464,1703483.692631007,6095322.550963166,-0.264780643
465,465,1701763.50179519,6095334.719889417,-0.704217435
466,466,1701810.060002691,6095346.113712426,-0.054272773
467,467,1699236.212626463,6095336.163432433,-9999.0
468,468,1699399.497461152,6095324.401336635,-9999.0
469,469,1701870.842432643,6095296.829616396,-9999.0
470,470,1702339.453269113,6095361.765228222,0.224570756
471,471,1699387.588514289,6095313.903369349,-9999.0
472,472,1701776.459469455,6095293.269801899,1.318276889
473,473,1699748.225458138,6095310.344230427,-9999.0
474,474,1699288.881028514,6095296.073906892,-9999.0
475,475,1699353.350034176,6095318.08999955,-9999.0
476,476,1702536.345672318,6095260.122601269,-9999.0
477,477,1703342.517431625,6095276.594799038,-0.132533367
478,478,1699429.549152286,6095294.177356495,-9999.0
479,479,1699689.409369379,6095271.961244782,-9999.0
480,480,1699730.257776642,6095271.509700788,-9999.0
481,481,1702241.70036992,6095266.239116375,-0.188125491
482,482,1697116.250458225,6095308.427005103,0.006710933
483,483,1703279.440768158,6095221.0250904,-9999.0
484,484,1703309.478907145,6095232.51482936,-0.569000065
485,485,1703663.417161778,6095216.620377483,0.179457489
486,486,1703973.866138116,6095213.047302705,3.981649295
487,487,1704039.223781499,6095212.293725097,2.128167503
488,488,1697186.180477316,6095288.249250812,-0.03025377
489,489,1697263.704893589,6095390.175115791,0.062767091
490,490,1701831.811011743,6095270.419793244,0.604687618
491,491,1702225.108161193,6095223.515697832,-9999.0
492,492,1703561.181372987,6095207.830344146,0.012062497
493,493,1699441.989613474,6095254.918918329,-9999.0
494,494,1699651.605664063,6095232.145653355,-9999.0
495,495,1702216.466297972,6095213.822774173,-9999.0
496,496,1704114.477626758,6095195.06530901,1.67587836
497,497,1697072.771054256,6095264.584392097,-0.005160557
498,498,1701828.757014324,6095202.824335164,-0.349805595
499,499,1702199.369283329,6095195.585810232,-9999.0
500,500,1699414.629023091,6095214.627759052,-9999.0
501,501,1701816.50199536,6095187.835353012,-9999.0
502,502,1701932.600410406,6095247.128051043,-0.659470625
503,503,1703450.585390592,6095169.042349737,0.338746986
504,504,1702147.259988391,6095174.131340082,-9999.0
505,505,1702583.696785011,6095208.739329656,-9999.0
506,506,1701791.768178977,6095168.185822472,-9999.0
507,507,1699467.401975527,6095184.15317944,-9999.0
508,508,1701983.69805927,6095161.035657802,-9999.0
509,509,1702106.186209064,6095154.667667928,-9999.0
510,510,1703239.57432136,6095173.72346121,0.122857741
511,511,1703417.79855727,6095139.18392637,0.004971417
512,512,1702852.9978571,6095136.218311111,-9999.0
513,513,1703409.271549216,6095129.670211455,0.030935034
514,514,1697044.817271083,6095192.88997304,-0.794729511
515,515,1699531.206199106,6095169.998241044,-9999.0
516,516,1699666.843215194,6095166.437592956,-9999.0
517,517,1699757.039730437,6095161.230328192,-9999.0
518,518,1703220.516954033,6095122.055581048,0.733499944
519,519,1703853.532801032,6095122.760914453,0.071313581
520,520,1697035.665886378,6095181.081169678,-0.73564829
521,521,1699495.556019636,6095168.073392616,-9999.0
522,522,1699721.472952395,6095163.392828504,-9999.0
523,523,1703855.869133124,6095094.833472384,0.179118281
524,524,1697028.244855102,6095160.900572373,-0.029399994
525,525,1699785.575447147,6095140.781800495,-9999.0
