OID,FID_,X,Y,BCE_Tairua
307,307,1851095.102037201,5895504.332399265,-0.449225
308,308,1851159.021821801,5895502.432894917,-0.541721526
309,309,1851175.001766387,5895501.957835814,-0.569862512
310,310,1851953.708241275,5895479.073718891,-0.542228778
311,311,1851351.78628357,5895487.46323446,-0.313962721
312,312,1851531.954032183,5895482.387022457,-0.255795757
313,313,1851911.745247536,5895470.956002725,-0.523493977
314,314,1851022.5999488,5895486.532207703,-0.530115384
315,315,1851094.509508716,5895484.395357899,-0.492443027
316,316,1851304.826288403,5895478.3432723,-0.221491101
317,317,1851888.055020169,5895464.202629187,-0.512851081
318,318,1851742.700808735,5895455.868739243,-0.397182395
319,319,1851828.839953211,5895455.114865259,-0.48753048
320,320,1850958.088171189,5895468.493463779,-0.628379749
321,321,1850974.06798924,5895468.018968859,-0.607599995
322,322,1851022.007575265,5895466.594732927,-0.543100412
323,323,1851637.330901381,5895452.094870665,-0.276181829
324,324,1851724.99895353,5895441.762728114,-0.53366667
325,325,1851697.284448537,5895448.49461278,-0.312644625
326,326,1851776.887423465,5895446.790217842,-0.50426531
327,327,1851217.557667466,5895460.641846281,-0.441121803
328,328,1850897.188054871,5895364.405148842,-0.620999992
329,329,1850864.065801034,5895345.583696379,-0.600555572
330,330,1850738.218020625,5895335.336717243,-0.534325001
331,331,1850709.662430164,5895316.229031022,-0.515800007
332,332,1850822.178273414,5895323.448130212,-0.574749991
333,333,1850783.74694518,5895307.366224931,-0.551157892
334,334,1850624.882257634,5895288.812197992,-0.536100013
335,335,1850642.193101013,5895287.451801992,-0.524699681
336,336,1850749.046658634,5895284.356110658,-0.528857129
337,337,1850608.459193683,5895274.333152231,-0.550524999
338,338,1850592.036897509,5895259.853976692,-0.563900005
339,339,1850626.329671324,5895262.716476393,-0.542383338
340,340,1850697.948768275,5895258.710649703,-0.505637777
341,341,1850430.469166185,5895204.779822249,-0.60980001
342,342,1850429.878090777,5895184.842456594,-0.604275004
343,343,1850409.312856416,5895165.49706872,-0.591685544
344,344,1850496.200205896,5895154.649807476,-0.113633663
345,345,1850396.737477191,5895145.915049148,-0.58183751
346,346,1850483.950099248,5895144.937913074,-0.240466671
347,347,1850315.069379159,5895088.470311613,-0.561999977
348,348,1850377.686406636,5895079.19007356,-0.564823529
349,349,1850368.050763834,5895070.677212825,-0.563444462
350,350,1850281.929585402,5895049.542500522,-0.558468377
351,351,1850281.338780518,5895029.605268149,-0.556812495
352,352,1850264.769232544,5895010.141133366,-0.554887509
353,353,1850248.495091854,5895000.645655471,-0.55294979
354,354,1850215.060749081,5894951.748848225,-0.547837521
355,355,1850198.196276962,5894922.3158358,-0.548850016
356,356,1850164.762540778,5894873.418714395,-0.561112488
357,357,1850172.681799907,5894848.184910964,-0.563811321
358,358,1850102.481168134,5894795.443319715,-0.571582294
359,359,1850125.055184218,5894821.576674148,-0.573569981
360,360,1850085.606063124,5894783.6378711,-0.566490011
361,361,1850106.211243161,5894778.073032183,-0.568391544
362,362,1850079.320335838,5894748.824247413,-0.557545489
363,363,1850050.401098053,5894744.084163101,-0.552626969
364,364,1850062.007060187,5894730.220418679,-0.551999986
365,365,1850044.694504448,5894711.617049966,-0.545000017
366,366,1849999.074849417,5894678.775469855,-0.519950003
367,367,1850018.774594224,5894705.092356189,-0.533950742
368,368,1849971.505674641,5894650.020973994,-0.511481618
369,369,1849937.663802936,5894621.367235484,-0.530333334
370,370,1849097.580659208,5894206.5416264,-0.617215186
371,371,1849200.256396616,5894163.602923851,-0.643101273
372,372,1849103.720702539,5894139.336533099,-0.074514269
373,373,1849445.690952504,5894303.865650583,-0.608383393
