OID,FID_,X,Y,BCE_Tamaki
468,468,1765744.053925432,5911159.079099572,-0.281696432
469,469,1765709.489765887,5911144.533878244,-0.164642861
470,470,1765654.803779538,5911126.103549344,0.572025052
471,471,1766112.131147838,5911114.104874201,0.096623088
472,472,1766194.083097838,5911045.94135807,-0.121999996
473,473,1767297.708976664,5911257.190310615,1.190349762
474,474,1766209.597370223,5911020.711360806,-0.061624996
475,475,1766217.305888454,5911005.605053131,-0.084250005
476,476,1766225.207479206,5910970.553575133,-0.07433962
477,477,1766213.692695541,5910936.291822891,0.850178567
478,478,1766198.669538036,5910871.368170764,-0.283999999
479,479,1766182.380430097,5910852.262582039,-0.192285007
480,480,1766165.885057356,5910832.127884695,-0.215749999
481,481,1766149.492694129,5910812.5081433,-0.238311699
482,482,1766739.387750449,5910710.3876285,0.412272728
483,483,1765904.2053565,5910734.369760912,0.201260467
484,484,1766833.350008919,5910734.02414644,1.076125311
485,485,1765858.732914843,5910678.607146165,0.13975
486,486,1766671.274357898,5910656.994130329,0.362043014
487,487,1765842.34166747,5910658.986810952,0.10225
488,488,1765377.908060591,5910648.107306915,1.113749997
489,489,1765826.048122736,5910644.349165945,0.1110625
490,490,1765765.16638744,5910600.671481588,0.1995625
491,491,1765728.773922447,5910581.441186389,0.257594935
492,492,1766624.531552968,5910544.620774794,1.092600007
493,493,1766544.064336058,5910525.601273759,0.521176468
494,494,1765689.977093478,5910549.718712576,0.149800443
495,495,1766567.870788606,5910515.163598686,0.762166655
496,496,1766656.519435566,5910530.076080423,1.367919379
497,497,1766701.744876519,5910518.668239529,1.361209199
498,498,1765663.60111595,5910522.890647904,-0.006749998
499,499,1766543.515688203,5910505.872227119,0.531964293
500,500,1766515.182151025,5910481.300407331,0.786527195
501,501,1766430.882513392,5910467.99808229,0.081374998
502,502,1765299.831007348,5911001.766663377,0.781077564
503,503,1765582.233816497,5910454.684762297,0.071
