OID,FID_,X,Y,BCE_Ohiwa_
402,402,1963427.237821964,5785582.299350348,-0.604000001
403,403,1961771.366783457,5785645.915419932,-0.15348077
404,404,1961729.83892476,5785641.144602777,-0.222399986
405,405,1963715.827801795,5785553.873784102,0.136633027
406,406,1959367.392137578,5785732.032001699,0.173027396
407,407,1962267.641191607,5785603.903760613,-0.024275644
408,408,1961823.410235429,5785616.184562928,-0.279165917
409,409,1963013.159477174,5785565.762373088,0.168710972
410,410,1963666.907013563,5785521.651500721,-0.726999998
411,411,1961880.866324262,5785599.056054335,-0.211631256
412,412,1962916.753990876,5785535.284788579,0.2885
413,413,1962956.210993078,5785533.529118287,0.204905664
414,414,1962904.177860108,5785506.242501011,0.186839625
415,415,1963665.20399576,5785476.758180759,-0.724811319
416,416,1963781.206841176,5785482.181308005,0.212833336
417,417,1963164.149161695,5785484.678545114,0.092773585
418,418,1963214.850877923,5785482.043584895,0.0224
419,419,1962992.00688783,5785487.834956627,0.206587392
420,420,1963692.185099992,5785463.354456032,-0.00551604
421,421,1962950.682267347,5785466.894467921,0.256229948
422,422,1963032.140537689,5785459.2616523,0.223176466
423,423,1963791.627209446,5785453.349580946,0.261750001
424,424,1963080.373180575,5785448.578976876,0.198405066
425,425,1963047.289699195,5785444.326410094,0.241046609
426,426,1963764.602995911,5785407.370110073,0.227773588
427,427,1963193.050053309,5785423.433100807,0.137396228
428,428,1963003.506311027,5785450.930733836,0.235929844
429,429,1963322.037788395,5785411.533798521,0.000472728
430,430,1965433.840554874,5785328.063817408,-0.064481362
431,431,1963092.484571009,5785397.553936632,0.282203699
432,432,1963144.03162752,5785432.951781398,0.202189565
433,433,1963238.372503447,5785403.463871877,0.081378713
434,434,1963118.039114355,5785346.242642942,0.261312498
435,435,1963804.354122103,5785310.662540689,-0.021369428
436,436,1963055.332030712,5785364.628753751,0.287115122
437,437,1963089.564208148,5785328.252805586,0.274403847
438,438,1963057.49067213,5785318.230167387,0.347039212
439,439,1962426.006124053,5785342.047523716,-0.073125002
440,440,1964181.993736895,5785258.910144895,0.228666663
441,441,1959417.129211591,5785464.506196937,-0.151210801
442,442,1963296.89424145,5785288.988946937,-0.005785047
443,443,1962014.403295393,5785335.552977603,-0.114407412
444,444,1961075.514013313,5785376.963982932,-0.612705881
445,445,1961106.857704427,5785370.579918549,-0.154288463
446,446,1963280.867544838,5785274.036527175,0.042012658
447,447,1965357.498855174,5785182.203922629,-0.065169015
