OID,FID_,X,Y,BCE_Mouter
489,489,1602647.719026752,5443602.885307838,-0.001097182
490,490,1602886.760971458,5443598.540145726,-9999.0
491,491,1603216.122586349,5443595.837031282,0.248603774
492,492,1603404.691452812,5443602.195113561,-9999.0
493,493,1603508.005243487,5443619.949397579,-0.724314303
494,494,1601626.015966169,5443586.123843668,1.468746849
495,495,1602786.535410861,5443586.041444118,-0.382730769
496,496,1602975.104995793,5443595.734685651,-0.288967401
497,497,1601633.594784113,5443576.942447596,0.562395838
498,498,1603235.50483425,5443576.260790833,0.369869998
499,499,1603253.796271347,5443575.467104095,0.232403844
500,500,1601656.068723859,5443566.027523669,1.558389606
501,501,1601754.024641969,5443566.418155777,0.968423086
502,502,1603264.407503315,5443634.691165713,-0.38660033
503,503,1603378.238233018,5443578.886488847,-0.434112867
504,504,1601445.17743908,5443556.309177967,0.722749998
505,505,1601606.814818317,5443555.694345552,0.516990096
506,506,1601667.275326804,5443556.111909902,1.173801363
507,507,1602836.060990314,5443556.482587867,-0.745061749
508,508,1602925.674833586,5443556.531640677,-0.1831613
509,509,1603005.234783928,5443555.833885118,-9999.0
510,510,1603277.09864565,5443555.716962424,0.248978261
511,511,1603498.377354245,5443563.259608519,-9999.0
512,512,1603517.717398256,5443555.605038848,-9999.0
513,513,1602956.472213414,5443554.288136486,-0.581780842
514,514,1601678.805775301,5443541.301047723,0.961356258
515,515,1602376.327418882,5443536.702405226,0.846435635
516,516,1603291.613138294,5443535.766199336,0.372652176
517,517,1603537.042056133,5443542.823958475,-9999.0
518,518,1601763.483443654,5443529.753251383,1.260400021
519,519,1601799.385985025,5443526.314162762,1.121528545
520,520,1603027.831908871,5443525.908208092,0.269724996
521,521,1602313.060766169,5443516.932673993,0.829649002
522,522,1603333.45241929,5443516.384054229,0.415267324
523,523,1603555.385380262,5443527.757317032,-9999.0
524,524,1602726.213312782,5443506.287294465,0.676735851
525,525,1602272.928806596,5443497.174712871,0.908019219
