OID,FID_,X,Y,BCE_Te_Pun
496,496,1689540.406388761,6109303.106873992,-0.106024924
497,497,1695182.660604326,6109229.805437465,0.153349997
498,498,1695256.30043408,6109229.031721902,-0.031886072
499,499,1695604.17298606,6109235.388325211,2.550422097
500,500,1695632.674815713,6109224.341133712,2.346555391
501,501,1697367.43025846,6109228.114582837,1.75518912
502,502,1689351.413424585,6109285.689771564,0.722027937
503,503,1695272.649380645,6109225.35352733,0.300058313
504,504,1695305.357153623,6109218.666158056,-0.344323553
505,505,1695640.902559903,6109217.292061577,4.888517777
506,506,1697384.673825805,6109198.031254057,4.223938598
507,507,1695321.920527563,6109211.420703148,-0.56810346
508,508,1689528.521855978,6109262.519196969,-0.125191035
509,509,1695339.450466105,6109200.869549832,-0.701518522
510,510,1697403.798038771,6109185.581117641,2.821198824
511,511,1697727.306689164,6109173.110618025,3.294279944
512,512,1689413.824452934,6109248.706057797,0.614199992
513,513,1695354.334226732,6109188.452525028,-0.722712322
514,514,1697734.489328518,6109162.78754784,1.214962935
515,515,1689511.911556948,6109237.774024853,0.186924982
516,516,1694643.27731776,6109185.100785961,-0.644156814
517,517,1689225.907445573,6109230.034268864,0.726916666
518,518,1689421.809960643,6109228.699866221,0.548274987
519,519,1693664.072643709,6109196.102245946,0.426631538
520,520,1694658.374556933,6109175.513791146,-9999.0
521,521,1695368.039660069,6109175.286543207,-0.413947375
522,522,1689218.289186198,6109220.237401432,0.725527255
523,523,1689377.218835812,6109227.008856184,0.674411569
524,524,1693631.41142174,6109176.219010975,0.269780446
525,525,1694650.170970441,6109165.727170038,-0.788270847
526,526,1695378.323832114,6109160.689400149,1.814057018
527,527,1689347.808755956,6109209.706725066,0.757827584
528,528,1689429.795431553,6109208.693666317,0.540999995
529,529,1693610.853215909,6109166.467534325,-9999.0
530,530,1697341.981545734,6109127.06446714,0.277721515
