OID,FID_,X,Y,BCE_Akaroa
450,450,1593718.599088668,5150525.911704051,1.414173914
451,451,1595804.121240271,5150533.052806375,0.108015023
452,452,1593486.884151641,5150519.401693759,-9999.0
453,453,1593750.550952222,5150530.723102981,-0.285067113
454,454,1595780.952273534,5150517.551221573,0.018817182
455,455,1596864.029389598,5150507.45480977,-0.941500038
456,456,1596887.71677632,5150508.050496717,-9999.0
457,457,1596907.698138016,5150523.27308546,-0.411393819
458,458,1596996.110765449,5150508.10027242,-9999.0
459,459,1596948.933131138,5150503.934933374,-9999.0
460,460,1596783.152962677,5150471.834611516,-0.820127552
461,461,1596829.146256076,5150487.786934149,-0.894046513
462,462,1595770.361072593,5150449.654621409,-0.838062465
463,463,1593459.746133577,5150440.628434082,-0.501847829
464,464,1595785.37471214,5150437.022434774,-0.767249964
465,465,1596779.80377747,5150437.577544258,-9999.0
466,466,1597338.70646724,5150437.392016081,1.308202902
467,467,1595803.833459384,5150417.665209285,-0.946333369
468,468,1593487.47566674,5150405.24144734,-9999.0
469,469,1596782.762998307,5150412.765319488,-0.902411778
470,470,1596117.808513914,5150387.340904138,-0.038914292
471,471,1597374.514085294,5150386.689070039,0.94231817
472,472,1593489.357067199,5150381.924382101,-0.625639466
473,473,1597158.23459932,5150368.120575052,-9999.0
474,474,1597172.691063119,5150358.150003795,-9999.0
475,475,1593552.74687847,5150368.897570091,-0.472038017
476,476,1595812.033886575,5150370.228191245,-0.726210459
477,477,1596789.851131539,5150362.75698787,-9999.0
478,478,1593520.0613325,5150335.436104905,-0.88436111
479,479,1595850.326618195,5150337.503806997,-9999.0
480,480,1596773.443117461,5150337.555911711,-0.880499969
481,481,1595872.01748995,5150317.148136592,-0.962000012
482,482,1596761.301937965,5150307.553676397,-9999.0
483,483,1595929.837907312,5150297.645970427,-9999.0
484,484,1597223.29874577,5150298.310946575,-9999.0
485,485,1596037.716648862,5150304.144752181,-0.20287049
486,486,1596746.922253311,5150267.412779414,-9999.0
487,487,1593517.229842727,5150246.1931389,-9999.0
488,488,1593524.674784256,5150226.599126449,-9999.0
489,489,1596724.879946677,5150233.027891515,-0.650181799
490,490,1593536.03593461,5150216.39939553,-9999.0
491,491,1596609.400926854,5150217.892361701,2.108680864
492,492,1596334.545474361,5150208.090490145,-9999.0
493,493,1597172.758838166,5150198.522414213,-9999.0
494,494,1593561.357604572,5150194.894999675,-0.949000061
495,495,1593611.68302487,5150162.096571138,-0.876199949
496,496,1593652.970350758,5150141.89100819,-0.965200031
497,497,1593711.759768102,5150116.131727259,-9999.0
498,498,1593726.220854386,5150106.168638013,-0.548249994
499,499,1593737.068987015,5150096.202111172,-0.297031716
500,500,1597256.428985715,5150089.190126777,-9999.0
501,501,1593747.399573637,5150076.258348242,-0.191173859
502,502,1593733.488938709,5150061.280165456,-0.830466636
503,503,1593713.132599648,5150044.02696377,-0.831928584
504,504,1597360.854066733,5150008.833928738,0.307342858
505,505,1593703.894875764,5149968.484881373,-0.75180004
506,506,1597050.046214041,5149909.144015372,-9999.0
507,507,1593673.519156248,5149913.245975206,-0.924999997
508,508,1593673.298313835,5149872.090563264,-0.626884615
509,509,1593647.800869888,5149850.610292184,-0.693045835
510,510,1596992.272834796,5149839.281038435,-9999.0
511,511,1593626.991655604,5149824.636339145,0.03608996
512,512,1593603.674027507,5149801.761510812,-0.375540957
513,513,1593556.771020934,5149736.86745593,-0.360199994
514,514,1597024.674346897,5149724.667074816,-9999.0
515,515,1596917.023748901,5149640.088642794,-9999.0
516,516,1597227.712681522,5149640.225265565,-9999.0
517,517,1597213.270385614,5149620.265763369,-9999.0
518,518,1596897.954439365,5149568.008253757,-9999.0
519,519,1597250.806633545,5150262.826782479,-0.505187996
520,520,1596729.209437944,5149550.208383519,-9999.0
521,521,1597247.127726948,5149535.040368057,-0.488539204
522,522,1593571.0309304,5149661.249558025,-0.678759909
