OID,FID_,X,Y,BCE_Raglan
447,447,1767722.727420838,5818596.408007054,0.7569074
448,448,1767264.355301761,5818596.113913278,0.942270259
449,449,1767279.94732443,5818594.712241366,0.891549022
450,450,1767295.566200935,5818591.196624398,1.24449366
451,451,1767311.253193192,5818579.817641533,0.958619555
452,452,1767463.246677659,5818612.354224479,1.012692892
453,453,1767516.95272577,5818570.67886654,0.665750005
454,454,1767333.518703521,5818575.812666553,0.765990542
455,455,1767531.784025955,5818561.427012101,5.865999937
456,456,1767714.782366401,5818566.653432288,0.833147689
457,457,1767984.44596882,5818557.846868186,1.314612883
458,458,1767342.613051094,5818559.418064998,1.03713246
459,459,1767393.003529726,5818564.767802121,0.628468299
460,460,1767991.587088247,5818541.407530838,1.596971411
461,461,1767358.311478786,5818549.499725333,1.493052967
462,462,1767513.842014435,5818547.473886268,1.040500011
463,463,1767455.736993638,5818540.765408906,0.538007051
464,464,1767706.158836959,5818531.926239744,0.873887494
465,465,1767397.335958129,5818528.168094056,1.754899997
466,466,1767444.384173126,5818511.765016449,2.251603771
467,467,1768143.17510373,5818438.929632783,0.610148135
468,468,1768127.579916564,5818428.600619311,0.693777791
469,469,1768067.451531663,5818419.855541456,0.992211555
470,470,1768083.699174363,5818419.731765057,0.86314548
471,471,1768171.327332355,5818418.991463339,0.818508196
472,472,1768190.673772576,5818416.989832178,1.061408708
473,473,1768059.9120918,5818410.037231291,1.019924974
474,474,1768211.344365966,5818408.168815031,1.569999995
475,475,1772499.148404113,5818318.266663867,0.660912502
476,476,1768218.909755194,5818397.894196782,1.537909098
477,477,1772261.323110294,5818302.571824904,0.95296296
478,478,1772244.518355301,5818283.705468467,0.944814796
479,479,1767639.405022652,5818363.759338746,0.801897442
480,480,1767686.360744681,5818337.146231933,0.938673074
481,481,1768020.561712993,5818329.111970298,1.267234919
482,482,1772029.621626855,5818208.625088914,2.610499992
483,483,1767644.175907812,5818312.596482275,1.109690975
484,484,1772045.031173205,5818188.358410814,0.79278182
485,485,1768173.301311982,5818147.719909169,0.330403841
486,486,1768059.079155633,5817981.251990916,3.099698406
487,487,1768035.501564734,5817961.061540456,4.645000011
488,488,1768028.4153762,5817950.929066406,5.124800014
