OID,FID_,X,Y,BCE_Whitfo
155,155,1775033.17394175,5912330.069940085,0.764009222
156,156,1774679.255382976,5912328.86291383,0.01371069
157,157,1777509.941363053,5912257.707340206,1.000624998
158,158,1775020.165895829,5912306.611076515,0.667682394
159,159,1777796.149062288,5912346.979043099,1.069435051
160,160,1777809.379347156,5912210.691383743,1.020129302
161,161,1777904.612949096,5912179.650461867,0.99549998
162,162,1774642.287524326,5912269.990628105,0.200328425
163,163,1777871.301509567,5912181.557208559,0.775283842
164,164,1777832.171921362,5912161.225150023,0.776306527
165,165,1777698.257826483,5912157.547748296,1.033862444
166,166,1773573.825590891,5912451.150734571,0.81653377
167,167,1777935.788157227,5912139.112368728,1.09774996
168,168,1773542.181786389,5912220.058439204,1.381624959
169,169,1777687.60370772,5912139.323058831,1.152608691
170,170,1777863.398828349,5912130.858753457,0.241851856
171,171,1777700.107994489,5912122.937524827,1.024876334
172,172,1777846.703878003,5912110.956708443,2.116250003
173,173,1777884.709922011,5912121.464911824,0.985879824
174,174,1777719.049746539,5912103.966995992,0.898421049
175,175,1777760.152590146,5912135.923947599,0.787499996
176,176,1777738.617425389,5912093.424476582,1.040645163
177,177,1777888.448721618,5912072.026746079,1.435036619
178,178,1777929.378053804,5912096.647256552,1.246297588
179,179,1777941.962764951,5912059.414267629,1.060000007
180,180,1777493.146256198,5912028.720411783,1.036000014
181,181,1777981.263835584,5912008.887574951,1.464090873
182,182,1774698.249820618,5912098.553034807,1.519550552
183,183,1774715.271630166,5912036.469696982,1.411153874
184,184,1777524.322727466,5911988.183879041,0.940541654
185,185,1777887.229148279,5912008.92127498,1.265480932
186,186,1775170.79079719,5911997.172512281,0.206000004
187,187,1774715.563623946,5912015.660941484,2.238211361
188,188,1777874.772759572,5911940.196251282,1.238349519
189,189,1777563.779872186,5911937.545092829,0.882677059
190,190,1774759.580606788,5912004.961235298,0.552222858
191,191,1777637.400732067,5911929.394352965,0.943795839
192,192,1774721.398078372,5911970.967184077,0.915454531
