OID,FID_,X,Y,BCE_Waimea
482,482,1607499.121854917,5431127.418298997,0.125686278
483,483,1609011.380514472,5431125.702303826,0.527470589
484,484,1609060.833473598,5431126.017436908,0.319572814
485,485,1608693.68283324,5431118.947244852,-0.03778598
486,486,1609372.504080194,5431115.273706648,-0.373819999
487,487,1608762.551080186,5431114.17711283,0.189515924
488,488,1608782.433401059,5431106.414196919,0.522392164
489,489,1609541.925041224,5431104.876630641,1.174960001
490,490,1608897.071736974,5431102.733288141,-0.873309755
491,491,1609395.20733835,5431100.081419157,-0.289220722
492,492,1607768.263424378,5431093.862360917,-0.61680374
493,493,1608642.67304521,5431086.260368687,-9999.0
494,494,1608913.675457805,5431085.728863207,-0.932347821
495,495,1609089.850236628,5431086.513926999,0.494525295
496,496,1608735.170199703,5431082.093864692,-0.611792214
497,497,1608770.714395483,5431075.93029613,-0.248928564
498,498,1608790.613244175,5431084.069286727,0.248325905
499,499,1608853.322657141,5431076.034744348,0.599235292
500,500,1608921.186862683,5431075.74733106,-0.94654837
501,501,1609365.080647733,5431075.189451052,-0.84847691
502,502,1609440.165304852,5431075.296916871,-0.148471698
503,503,1607762.386627413,5431067.308241763,-0.643499996
504,504,1608902.763065154,5431066.378641198,-0.361208334
505,505,1609262.932824562,5431164.072048847,-0.845762971
506,506,1609543.567494914,5431064.985163777,1.778975642
507,507,1608758.542866769,5431056.000300887,-9999.0
508,508,1609154.900695659,5431061.06657309,0.077460785
509,509,1609556.90684897,5431054.99532758,1.426453355
510,510,1609451.988523514,5431051.879704199,-0.183144509
511,511,1607762.354706058,5431037.391312086,-0.621423077
512,512,1608803.378915749,5431036.35890709,-0.975999991
513,513,1608872.63212331,5431036.498475802,0.524145627
514,514,1609011.560676646,5431025.978826644,0.083339623
515,515,1608876.124212588,5431016.173008183,0.33690566
516,516,1609592.30257832,5431029.208664013,1.182043492
517,517,1607716.29336393,5431027.623577963,-0.274963382
518,518,1609034.106625121,5431006.006210712,0.132596158
519,519,1608918.172778134,5431012.481872501,-0.155975824
520,520,1608967.487555333,5431027.895317478,-0.840640077
521,521,1609214.658711144,5430995.398406927,-0.328754719
522,522,1609040.257235843,5430985.115757642,-0.544862064
523,523,1606504.588692989,5430977.692567325,0.868663143
524,524,1608635.334923036,5431038.077488446,-0.924142869
525,525,1607660.546766462,5430972.783013537,-0.141660099
526,526,1609094.245171044,5430966.041971882,0.303230776
527,527,1609026.217522396,5430956.154368628,-0.473250012
