OID,FID_,X,Y,BCE_Mouter
221,221,1603783.655070817,5441181.612461062,3.42000006
222,222,1604426.731061387,5441171.067026749,-9999.0
223,223,1603765.116304381,5441166.08006974,1.132576211
224,224,1604554.60013634,5441158.168865766,1.093571437
225,225,1603780.240711727,5441132.973938341,1.117638266
226,226,1604676.410224066,5441088.5155296,1.399000049
227,227,1603801.272386058,5441098.977321114,1.63815259
228,228,1604578.748479446,5440997.634879222,1.07248935
229,229,1604088.902709587,5440714.930275158,1.34058823
230,230,1604261.650937315,5440531.360730869,1.113711799
231,231,1604376.654059721,5440626.490822258,1.446711429
232,232,1604232.036113374,5440487.737461018,1.163022758
