OID,FID_,X,Y,BCE_Pareng
1860,1860,1595774.088709031,6177289.342965124,-0.745000005
1861,1861,1587693.609291858,6177278.841532678,0.421655978
1862,1862,1589715.427595594,6177277.126974137,-0.011888887
1863,1863,1595807.06235064,6177279.396703132,-0.745000005
1864,1864,1595897.727377675,6177279.437266447,-0.745000005
1865,1865,1589573.710131717,6177247.689415548,-0.343362928
1866,1866,1596032.491666927,6177253.473450616,-0.745000005
1867,1867,1591822.495013956,6177240.349513617,-0.354233797
1868,1868,1594595.476887886,6177228.963362115,-0.595000029
1869,1869,1595815.327108397,6177229.594264604,-0.745000005
1870,1870,1591839.058214389,6177217.362310327,-0.654999971
1871,1871,1590551.170871589,6177789.760522803,-0.591387114
1872,1872,1595078.25216835,6177219.647956623,-0.133017849
1873,1873,1594610.353344535,6177209.716699272,-0.595000029
1874,1874,1594760.332778238,6177209.135531806,-0.595000029
1875,1875,1591793.598833211,6177201.548706268,-0.359334701
1876,1876,1596029.637909912,6177199.804823521,-0.745000005
1877,1877,1594776.828430695,6177189.222366341,-0.595000029
1878,1878,1595065.474039243,6177189.904184217,-0.345383542
1879,1879,1596009.636177319,6177190.211948705,-0.745000005
1880,1880,1595080.09663118,6177189.8288504,-0.233292975
1881,1881,1596148.975045442,6177175.055838493,-0.745000005
1882,1882,1589573.193591332,6177165.152928664,-0.652684182
1883,1883,1589672.321610999,6177160.076587395,-0.654999971
1884,1884,1591824.118867136,6177171.475662809,-0.567692284
1885,1885,1592009.982977656,6177177.774808937,-0.08887547
1886,1886,1595813.46265821,6177169.621733249,-0.745000005
1887,1887,1596000.974352708,6177164.723885774,-0.745000005
1888,1888,1596099.415570318,6177150.48952523,-0.745000005
1889,1889,1596227.809137336,6177150.081404326,-0.745000005
1890,1890,1589633.752616249,6177135.091640352,-0.50206777
1891,1891,1591855.801327169,6177142.894495624,-0.362436601
1892,1892,1595832.569189556,6177145.29632079,-0.745000005
1893,1893,1596087.35873817,6177139.653386196,-0.745000005
1894,1894,1596148.987459783,6177145.17213719,-0.745000005
1895,1895,1592061.733193616,6177131.363328191,-0.104306642
1896,1896,1594717.54754171,6177130.088499464,-0.595000029
1897,1897,1596172.037594662,6177146.412923952,-0.745000005
1898,1898,1589653.399609001,6177122.275010266,-0.654999971
1899,1899,1596201.443957007,6177122.447380888,-0.745000005
1900,1900,1596252.6727413,6177123.470321126,-0.745000005
1901,1901,1589611.923306465,6177104.958842314,-0.334567084
1902,1902,1595017.381035499,6177100.232989603,-0.595000029
1903,1903,1595856.117852337,6177114.319987201,-0.745000005
1904,1904,1596111.058333323,6177107.382219477,-0.745000005
1905,1905,1596211.011189246,6177090.307137751,-0.745000005
1906,1906,1594783.534774838,6177118.032668766,-0.595000029
1907,1907,1595877.377196295,6177084.979863424,-0.745000005
1908,1908,1596263.341472491,6177086.638309613,-0.745000005
1909,1909,1592134.860820491,6177071.461075282,-0.045749712
1910,1910,1596153.324708991,6177070.360906173,-0.745000005
1911,1911,1594711.133890835,6177059.484737777,-0.595000029
1912,1912,1595889.582274061,6177060.286472875,-0.745000005
1913,1913,1591991.424406235,6177047.777080821,-0.162280698
1914,1914,1596162.291869353,6177055.787558775,-0.745000005
1915,1915,1596297.736343619,6177055.273569758,-0.745000005
1916,1916,1594224.69463152,6177039.067673456,0.218964286
1917,1917,1595140.334853765,6177039.797201918,-0.576280455
1918,1918,1595922.726284375,6177045.154974588,-0.745000005
1919,1919,1596310.105114857,6177041.064607103,-0.745000005
1920,1920,1591941.320878905,6177088.425788179,-0.257233291
1921,1921,1595930.974910048,6177030.216740018,-0.745000005
1922,1922,1594883.686462777,6177024.148167763,-0.595000029
1923,1923,1592001.761418623,6177012.736523718,-0.138155533
1924,1924,1594175.260773616,6177009.561586807,0.281937137
1925,1925,1596334.84055093,6177017.686427527,-0.745000005
1926,1926,1595939.227872641,6177005.317261465,-0.745000005
1927,1927,1596250.22553625,6177011.196255512,-0.745000005
1928,1928,1592020.149977575,6176992.810716151,-0.116675854
1929,1929,1594175.611343933,6176989.639324509,0.254471772
1930,1930,1595963.962641449,6176985.405593202,-0.745000005
1931,1931,1596120.393874073,6176980.696044915,-0.745000005
1932,1932,1592041.262058537,6176973.315684626,-0.083933561
1933,1933,1595955.727146833,6176970.460143469,-0.745000005
1934,1934,1595972.211147625,6176970.467320725,-0.745000005
1935,1935,1596158.936578842,6176973.815914047,-0.745000005
1936,1936,1596357.523680533,6176973.117043788,-0.745000005
1937,1937,1595963.973484433,6176960.502499032,-0.745000005
1938,1938,1595980.457467504,6176960.509661641,-0.745000005
1939,1939,1592077.882462733,6176948.03462226,-0.104520836
1940,1940,1592179.545503625,6176992.087797045,-0.012114491
1941,1941,1594191.951906498,6176948.872365821,0.204790848
1942,1942,1595972.219804325,6176950.544847128,-0.745000005
1943,1943,1596311.45141399,6176951.419671284,-0.745000005
1944,1944,1596334.697932966,6176950.899546236,-0.745000005
1945,1945,1595984.587093414,6176940.588971084,-0.745000005
1946,1946,1596136.894498365,6176940.857982486,-0.745000005
1947,1947,1594204.678107509,6176934.358380228,0.1608202
1948,1948,1594865.214480421,6177472.553091635,-0.552801019
1949,1949,1595180.402198362,6176944.021589623,-0.354168608
1950,1950,1596376.081916073,6176938.012739329,-0.745000005
1951,1951,1592128.64508502,6176914.59016249,-0.052426581
1952,1952,1595197.491479088,6176915.311498193,-0.295705566
1953,1953,1596221.118254382,6176915.203268249,-0.745000005
1954,1954,1596375.923424731,6176911.07080154,-0.745000005
1955,1955,1595172.768216705,6176910.318040024,-0.595000029
1956,1956,1595205.741159301,6176900.373905092,-0.285675003
1957,1957,1596000.493992544,6176913.558211082,-0.745000005
1958,1958,1595185.14148667,6176890.401984054,-0.595039055
1959,1959,1595459.985919735,6176915.633515577,-0.724414889
1960,1960,1596392.415073009,6176891.154756712,-0.745000005
1961,1961,1595172.619836916,6176870.677274136,-0.595000029
1962,1962,1595197.514703544,6176870.48592352,-0.595004519
1963,1963,1596240.546935728,6176871.548875674,-0.745000005
