OID,FID_,X,Y,BCE_Mahura
237,237,1752311.376883101,5965404.255507291,1.913818175
238,238,1753099.09957743,5965347.721627759,0.43172043
239,239,1753186.553208874,5965313.455106138,-0.013504431
240,240,1751954.413362489,5965290.914744671,3.251000009
241,241,1751970.516476972,5965290.631561312,5.659999847
242,242,1751994.495859644,5965280.241060849,2.952168624
243,243,1751884.8201654,5965279.561163381,0.918221566
244,244,1751931.025067216,5965262.159602721,0.885652159
245,245,1753098.200716366,5966008.833598603,0.691361489
246,246,1751953.878421555,5965251.250341657,0.904642842
247,247,1752058.382155411,5965249.210834352,0.96687501
248,248,1752074.485198437,5965248.927454691,0.659638551
249,249,1751974.100779597,5965241.308870465,0.836666656
250,250,1752106.515864336,5965238.394933689,0.643734948
251,251,1752122.618890107,5965238.111463661,0.703624988
252,252,1752000.588018797,5965225.789232391,0.605063838
253,253,1752021.449012455,5965209.985644572,0.648060609
254,254,1753140.606324844,5965190.223891469,-0.775174814
255,255,1752037.376636149,5965199.736660418,0.480186334
256,256,1752052.869358362,5965188.91119003,0.71477064
257,257,1752106.050412975,5965178.590565539,0.79632652
258,258,1752129.617699409,5965178.175675009,0.576049388
259,259,1752322.325681346,5965144.874470564,0.284499998
260,260,1752869.659871405,5965125.96675103,0.13096154
261,261,1752892.634168692,5965139.087722827,-0.011629299
262,262,1752354.179983781,5965124.375330104,0.482
263,263,1752555.306423222,5965121.027937947,0.521818182
264,264,1752643.678862022,5965099.328476422,3.214999964
265,265,1752756.251649264,5965089.031737834,0.133702931
266,266,1755088.44741594,5964896.291299045,-9999.0
267,267,1755127.113533108,5964816.046841222,-9999.0
268,268,1752666.928325642,5964819.791433012,0.412562509
269,269,1752691.08174492,5964819.364612778,0.253899373
270,270,1755131.77959574,5964767.539103429,-9999.0
271,271,1752384.305741129,5965040.559244587,0.618738758
272,272,1752729.184301991,5964801.064478231,0.125439674
273,273,1753033.312805633,5964783.40324184,0.375357144
274,274,1752758.811638962,5964778.292158199,0.221464436
275,275,1752980.210828791,5964774.02436163,1.243275865
276,276,1752959.912832662,5964764.765392809,0.647374994
277,277,1753072.041144875,5964762.779535756,0.34659574
278,278,1752939.608679875,5964755.15601806,0.287345681
279,279,1753089.276488116,5964739.252326842,0.032987016
280,280,1752806.236976236,5964727.609483046,0.032500001
281,281,1752909.936679915,5964735.772333325,0.304305086
282,282,1752821.399482806,5964707.403678464,0.225192308
283,283,1752862.282572303,5964710.799926284,0.291493462
284,284,1753123.559125108,5964689.052791285,-0.296090531
285,285,1753142.734554974,5964661.83849032,-0.107296298
286,286,1753168.589997131,5964652.151180165,0.036212499
287,287,1753271.696108937,5964634.052962624,0.466230784
288,288,1755203.000717528,5964515.414344306,-9999.0
289,289,1755192.343482223,5964435.854189645,-9999.0
290,290,1755182.155465539,5964408.900694862,-9999.0
291,291,1755161.770495189,5964387.418578187,-9999.0
292,292,1755147.350376455,5964376.973782562,-9999.0
293,293,1755123.239282972,5964366.962214575,-9999.0
294,294,1753267.760248943,5964424.895208081,-0.633910104
295,295,1755127.320239061,5964347.443536475,-9999.0
296,296,1753202.427746822,5964361.715145064,-0.503863522
297,297,1755107.559456009,5964261.09709113,-9999.0
298,298,1755784.560821691,5964195.908382403,-9999.0
299,299,1753166.193682399,5964287.474027546,-0.347462726
300,300,1752941.628506943,5964186.897527832,0.582000007
301,301,1753094.602007707,5964184.91462146,-0.336999996
302,302,1752334.663697411,5964008.416862986,2.151249969
303,303,1752358.648794903,5964007.792633642,1.898625007
304,304,1752430.574555789,5963976.617248483,1.249024377
305,305,1752446.675249008,5963976.333098117,1.027624997
306,306,1755054.406441088,5963929.914714088,-9999.0
