OID,FID_,X,Y,BCE_Coroma
59,59,1822925.041728226,5928424.572585243,1.577192564
60,60,1822957.153868522,5928402.200910386,1.561362548
61,61,1822980.301902191,5928366.686044237,1.544068288
62,62,1822901.259803437,5928368.082386681,1.035927303
63,63,1822978.380809053,5928346.010123553,1.130729648
64,64,1822973.520301417,5928308.215372215,1.038023642
65,65,1819952.524103457,5928270.134424627,-0.899999976
66,66,1822598.838428774,5928415.032884546,0.809832381
67,67,1819935.762419334,5928240.973043297,-0.675381794
68,68,1822832.944347743,5928112.769827013,0.529661335
69,69,1819643.354792725,5928022.082541361,0.238275955
70,70,1819601.139076308,5928010.637374647,0.359729176
71,71,1819928.195764958,5927936.617665848,-0.303412528
72,72,1819987.873032965,5927940.852263315,-0.47810668
73,73,1819895.05667297,5927913.075524285,-0.885574976
74,74,1819864.565347256,5927886.236760106,-0.889492513
75,75,1819570.745572021,5927867.752268115,-0.808555336
76,76,1819571.98667254,5927831.623081694,-0.899999976
77,77,1819555.435783415,5927812.100483792,-0.178530858
78,78,1819562.942067311,5927791.959172719,-0.899999976
79,79,1819489.746450502,5927753.944460531,1.347250008
80,80,1819457.542667704,5927749.78544634,0.292571431
81,81,1823021.351250734,5927502.826351994,0.949769238
82,82,1819375.874178493,5927569.358213927,-0.621507517
83,83,1822879.482140278,5927378.209854425,1.061361267
84,84,1822754.743568098,5927379.014375065,0.460864584
85,85,1822793.710835838,5927362.283759787,1.318812508
86,86,1822666.651940575,5927352.974813185,0.629698103
87,87,1822692.714976459,5927369.303320738,0.62646429
88,88,1822816.430919949,5927351.208474571,1.086636363
89,89,1822950.238265587,5927731.006110627,0.946927814
90,90,1822638.37949613,5927324.525654827,0.265030513
91,91,1819297.734014903,5927436.151044579,-0.392781889
92,92,1822613.467253771,5927279.451732368,0.296356008
93,93,1822587.226866667,5927248.888898336,0.452999999
94,94,1822566.696346799,5927236.64916321,0.660298696
95,95,1822520.982956438,5927216.652116265,0.747547165
96,96,1822546.050817793,5927224.426520184,0.790116968
97,97,1822388.417359729,5927210.132558034,-0.253987653
98,98,1822443.962382293,5927208.685231118,0.030686274
99,99,1822500.673143241,5927207.208687954,0.540004162
100,100,1822396.176187459,5927199.956025972,0.186675002
101,101,1822471.487953508,5927198.336901989,0.395373335
102,102,1822372.834524759,5927189.103368692,-0.206942852
103,103,1822328.929177103,5927167.005992799,-0.278606064
104,104,1822276.768781079,5927132.598126606,-0.452489795
105,105,1819242.123266737,5927172.848563963,-0.854739999
106,106,1819347.207265642,5927155.863621768,-0.673992168
107,107,1819361.619354412,5927139.569494818,-0.658037041
108,108,1822196.991614574,5927070.106745185,-0.470999986
109,109,1822141.0989818,5927040.373769657,-0.300066657
110,110,1822107.87206808,5927011.661530128,-0.53899999
111,111,1819359.551509703,5927059.10196567,-0.495962956
112,112,1822083.918139879,5926991.764593754,-0.472299995
113,113,1819343.002703724,5927039.579029525,-0.645000003
114,114,1821812.041707676,5926975.77130303,-0.348553172
115,115,1821844.699509461,5926974.922528745,-0.216425009
116,116,1821936.909787354,5926972.525308147,-0.716603769
117,117,1822029.120085486,5926970.127093505,0.196937497
118,118,1822059.964269324,5926971.86765277,-0.084266673
119,119,1821780.294406019,5926966.621856651,-0.635574978
120,120,1821804.349060384,5926965.996880388,0.762024995
121,121,1821860.644038309,5926964.73504697,-0.693259235
122,122,1822004.805958199,5926960.785200441,0.050825005
123,123,1821919.813707896,5926963.200344408,-0.162946653
124,124,1821885.132308921,5926951.82733583,-0.102418457
125,125,1819289.859577731,5927001.048079737,-0.9600125
126,126,1819231.102011148,5926957.155294347,-0.837588743
127,127,1819211.737952394,5926933.437628039,-0.612454545
128,128,1819198.670199288,5926907.821629986,-0.155205743
129,129,1822273.854970898,5926816.111171809,-0.11195934
130,130,1819210.021903109,5926851.848083961,-0.896593024
131,131,1821767.198400865,5926777.651159523,-0.382745452
132,132,1821766.181717956,5926758.71664472,-0.141000009
