OID,FID_,X,Y,BCE_Opua_I
191,191,1697423.995197114,6097020.139625129,0.338868625
192,192,1696206.710681638,6097023.233348265,0.45275862
193,193,1696843.625011987,6097006.45747625,0.231571426
194,194,1696401.082021453,6097018.697586733,3.518422095
195,195,1697298.227480959,6097005.56655847,0.41781059
196,196,1697330.303726715,6096991.634272193,0.324690302
197,197,1696851.798625519,6096991.2192245,0.28729197
198,198,1695904.745273978,6096985.198957245,0.948657646
199,199,1696424.61111084,6096988.140428594,3.991880239
200,200,1697325.403381949,6096971.382558974,0.298714281
201,201,1698600.476754887,6096957.515107361,2.607065554
202,202,1696435.646914234,6096972.134278795,4.077734762
203,203,1697309.223745491,6096971.352686338,0.782025006
204,204,1696451.099393652,6096960.712074972,2.106463657
205,205,1695888.060319367,6096955.915888902,0.774690925
206,206,1696459.243395799,6096950.738282681,2.647409598
207,207,1698610.18158922,6097005.82930348,0.685810385
208,208,1696148.49343148,6096943.93648582,3.380143788
209,209,1697284.561679663,6096921.327715175,0.347911773
210,210,1698640.636214517,6096912.060203013,-9999.0
211,211,1696143.32519052,6096975.698371711,0.6366402
212,212,1696503.720691464,6096919.869787803,0.890034194
213,213,1697276.082050364,6096911.662552384,0.336799999
214,214,1697447.82930473,6096915.054297122,0.573387491
215,215,1696123.49631995,6096914.514757833,0.073410704
216,216,1696516.039908258,6096909.916641026,0.777250021
217,217,1697267.616249126,6096902.052116768,0.454317079
218,218,1697455.559631665,6096900.751138846,0.627555549
219,219,1696131.434039357,6096904.575180744,2.894300469
220,220,1696478.592986237,6096919.365646726,3.065187226
221,221,1696873.061175277,6096927.652886412,0.07270212
222,222,1697259.337771732,6096892.177180872,1.325437
223,223,1702497.62123063,6096833.739551554,0.001999999
224,224,1696903.787963438,6096886.037602582,0.298754169
225,225,1702491.099467665,6096823.117190763,0.1045625
226,226,1696075.803480685,6096902.214274395,0.456197284
227,227,1696514.553323148,6096889.207198008,1.056390357
228,228,1697472.167009354,6096869.952751029,0.524409361
229,229,1696548.930749304,6096871.126566167,0.836264146
230,230,1696557.284345077,6096861.450977215,0.864711103
231,231,1695903.175957079,6096857.804700879,0.901033348
232,232,1697223.435832845,6096846.988475155,0.31041856
233,233,1696719.611450016,6096852.08352416,0.34723834
234,234,1696929.788673179,6096851.336836915,0.165476079
235,235,1697185.15426959,6096833.19129565,0.152274998
236,236,1697479.149130972,6096830.225032345,0.360631585
237,237,1702662.350984898,6096810.83544811,0.159505942
238,238,1696956.257917354,6096825.689232918,-0.607000031
239,239,1696968.407528372,6096815.594582941,-0.707745568
240,240,1697095.058368133,6096814.232698011,-9999.0
241,241,1697205.367138196,6096813.045408504,0.421373743
242,242,1696048.940225494,6096815.613942082,5.590164199
