FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
383,1750114.161038830177858,5910573.062053615227342,-0.723090895000000
384,1750556.499019770417362,5910605.372945377603173,-0.551949295000000
385,1751866.210056299809366,5910541.893934246152639,
386,1752689.682487986050546,5910538.591585662215948,
387,1753744.065540919778869,5910527.673441017046571,
388,1759536.834515860071406,5910402.185661101713777,0.783266664000000
389,1759578.643913796404377,5910400.189814626239240,0.634416655000000
390,1760482.525194274494424,5910383.348136777989566,-0.908727290000000
391,1762292.216939062811434,5910356.544221641495824,0.414935735000000
392,1750160.320967250270769,5910568.745835182256997,-0.712833330000000
393,1751802.029925438575447,5910533.072427898645401,
394,1753334.665202077478170,5910505.905312309041619,
395,1754047.265955537324771,5910497.992540831677616,-0.202590213000000
396,1754201.808974049985409,5910494.031242820434272,
397,1760494.061978763202205,5910372.374427539296448,-0.902592622000000
398,1750346.519782909657806,5910553.268057323060930,-0.639272756000000
399,1752614.464328138623387,5910508.916179775260389,
400,1752699.318497507134452,5910507.545755278319120,
401,1752768.312502594431862,5910506.440494337119162,
402,1753947.300899393623695,5910520.700757113285363,-0.062279182000000
403,1755961.685738432453945,5910451.905118827708066,-0.060648147000000
404,1756313.990055951057002,5910441.204945805482566,-0.850357155000000
405,1756626.000879241619259,5910435.452833962626755,-0.346181800000000
406,1750193.880581983830780,5910564.280450990423560,-0.709772170000000
407,1750239.986933323787525,5910548.198772703297436,-0.721353125000000
408,1750518.231804728973657,5910536.380219713784754,-0.729719636000000
409,1751841.674451863160357,5910512.424026278778911,
410,1752413.847350234165788,5910501.967303147539496,
411,1753331.183201634790748,5910527.794877845793962,
412,1753812.348039993084967,5910492.945953440852463,
413,1753985.306642401730642,5910484.500324876978993,-0.335446651000000
414,1755098.198283196659759,5910468.293034690432250,-0.796945607000000
415,1750398.923017251072451,5910531.219260381534696,-0.753924744000000
416,1750456.881472628330812,5910533.651516659185290,-0.778393443000000
417,1752118.093230139696971,5910497.887672645039856,
418,1752401.502996213035658,5910492.018098709173501,
