OID,FID_,X,Y,BCE_Waitem
329,329,1749320.801601496,5930146.669332702,0.053499995
330,330,1749823.887134333,5930145.07780376,0.736525814
331,331,1742673.40654896,5930250.111376554,0.108148148
332,332,1745655.555914656,5930199.984076708,0.351764713
333,333,1745832.383402701,5930196.765919789,0.551754387
334,334,1745977.166206244,5930200.446687832,3.362650582
335,335,1748807.686055775,5930145.868741152,-9999.0
336,336,1748831.493706527,5930145.239361235,-0.596686251
337,337,1749072.05139634,5930141.044674475,0.39975463
338,338,1749116.586487181,5930140.851824658,1.224152957
339,339,1749495.726590285,5930134.549419113,0.889447853
340,340,1743143.848812286,5930238.017822189,5.236428624
341,341,1743174.031650507,5930233.655778864,-9999.0
342,342,1745792.913035834,5930193.220957624,0.513394502
343,343,1745993.032024882,5930190.194928803,1.246597232
344,344,1749180.796558612,5930139.517943491,-0.229719995
345,345,1749474.116598095,5930123.141116326,1.364444431
346,346,1743009.533328917,5930224.955632857,0.817636366
347,347,1746012.404050916,5930183.930838104,2.132278478
348,348,1748818.275842193,5930128.300575952,1.333849458
349,349,1749144.518394639,5930120.99836438,-9999.0
350,350,1749284.195618685,5930117.401778908,0.234408805
351,351,1749525.231679221,5930120.365781285,1.070774206
352,352,1745783.342434528,5930167.897300852,0.469803919
353,353,1745799.805761434,5930167.817512522,0.503750004
354,354,1746024.901096296,5930164.637108496,-9999.0
355,355,1749191.895004625,5930114.029620869,0.001037501
356,356,1749569.281346162,5930104.561850518,2.367142848
357,357,1746040.765066353,5930154.386293438,5.759166638
358,358,1749167.669445774,5930099.601432974,1.199756431
359,359,1749592.565687462,5930092.0735083,0.891500013
360,360,1749905.285688754,5930086.586454047,0.610999979
361,361,1742640.895081145,5930206.863669335,0.118740739
362,362,1742857.384773731,5930201.852560217,0.889363633
363,363,1746056.271828006,5930145.134519177,-9999.0
364,364,1742663.575351954,5930206.435037024,0.427473684
365,365,1742696.164398504,5930190.283141654,-9999.0
366,366,1742850.531314042,5930187.576104391,0.914489784
367,367,1749207.322796474,5930078.868071036,-0.172100001
368,368,1749326.551901274,5930082.879467837,0.566249988
369,369,1749414.931797404,5930089.114550122,0.781219515
370,370,1749601.183607983,5930072.938044363,1.126037738
371,371,1745687.109965832,5930134.647736812,-0.279626073
372,372,1749183.096167482,5930069.325992267,2.475675007
373,373,1749351.770018972,5930066.838622599,0.73942027
374,374,1749612.768318684,5930062.094802024,0.836986285
375,375,1742856.141824017,5930172.492627708,0.833565203
376,376,1742872.218795497,5930167.440535148,0.636545436
377,377,1749031.939410172,5930091.74482611,0.706125288
378,378,1749367.525500719,5930061.409973401,0.76006453
379,379,1750057.621517707,5930041.148228063,0.47636364
380,380,1742679.722671968,5930165.836489511,5.4519508
381,381,1745696.963844525,5930112.309109109,-0.33472841
382,382,1749190.763485732,5930049.250063847,0.644024999
383,383,1749623.890105005,5930041.823083952,0.710759494
384,384,1750117.017310315,5930030.518259535,0.416375006
385,385,1748990.214094469,5930047.765633262,0.449974999
386,386,1749795.923831879,5930085.738474074,0.511107935
387,387,1749825.21467779,5930036.388508607,0.809649678
388,388,1750076.634261269,5930023.762436406,0.494624994
389,389,1742655.873734993,5930167.466681863,0.778067568
390,390,1749639.450967375,5930021.46320987,0.546455692
391,391,1749861.186291014,5930023.871514063,0.761406249
392,392,1749959.70561879,5930038.149329518,0.101943685
393,393,1748981.847778831,5930027.973528338,0.513499999
394,394,1749880.126604542,5930013.738307722,0.717910447
395,395,1745713.535102092,5930083.501460906,-0.48625473
396,396,1749647.120261172,5930001.39047905,0.499249997
397,397,1749896.224999932,5929998.794021034,0.705800009
398,398,1745725.927234098,5930059.218369309,-0.371961048
399,399,1748788.970286258,5930006.412437174,-9999.0
400,400,1748973.481618228,5930008.181141018,0.49783851
401,401,1749912.138112476,5929987.991781446,0.630819662
