OID,FID_,X,Y,BCE_Kawhia
313,313,1766583.907515476,5785611.608668508,1.112817126
314,314,1760339.894569914,5785716.16716031,0.449559727
315,315,1765881.396543558,5785590.65162229,4.978684181
316,316,1765865.60029387,5785580.353807967,0.295440368
317,317,1760316.228640678,5785693.995671601,0.41545614
318,318,1766197.7715692,5785611.563152019,0.330481424
319,319,1760288.350279766,5785669.255169961,0.365055433
320,320,1766086.438471736,5785548.496705212,0.513090194
321,321,1760251.937895509,5785654.479579359,0.324185021
322,322,1766408.041631048,5785536.806425101,1.56609678
323,323,1765833.494361754,5785526.729525664,0.451486489
324,324,1760211.898499232,5785633.191898953,0.305760792
325,325,1765809.647731305,5785517.242184758,1.877878518
326,326,1766392.706640905,5785505.566443059,0.727018865
327,327,1766046.165257231,5785508.066517853,0.487661292
328,328,1760181.836697981,5785615.255808643,0.272040878
329,329,1766376.691907119,5785485.740483269,0.866000007
330,330,1760163.604250228,5785606.888487608,0.302143457
331,331,1765791.422708552,5785497.030914769,2.497495562
332,332,1760146.491569814,5785594.205537856,0.301036557
333,333,1765776.695250696,5785466.074562129,0.745392446
334,334,1765760.738104081,5785438.456824252,0.50848102
335,335,1760111.585116524,5785563.500056122,0.268257473
336,336,1765752.654170389,5785428.64870874,0.215500003
337,337,1766023.490019969,5785448.222796614,0.227740881
338,338,1766297.030181912,5785417.558388117,0.782340411
339,339,1765744.570255685,5785418.840585714,-0.039315794
340,340,1765737.061241655,5785409.020543234,-0.276520842
341,341,1765993.919045936,5785407.922180425,0.16250303
342,342,1765976.658871505,5785394.171834772,0.131171976
343,343,1760058.303427112,5785508.640551439,0.253313069
344,344,1765964.532476464,5785379.460113409,0.026602644
345,345,1765948.899129314,5785360.404647241,-0.129240737
346,346,1765906.488902444,5785345.737990055,0.003708334
347,347,1759993.438956769,5785468.489105998,0.370675907
348,348,1765884.653104923,5785336.417721285,-0.003092592
349,349,1759950.753580254,5785444.865985932,0.150319999
350,350,1766233.711166942,5785272.495067562,1.038495346
351,351,1767084.631456444,5785211.968606638,0.725275635
352,352,1766244.782375227,5785208.779883888,1.373691963
353,353,1767065.680322417,5785192.5975651,0.922139596
354,354,1767135.040193759,5785171.044340988,0.829950008
355,355,1759928.6341114,5785295.139117948,-9999.0
356,356,1766253.643618748,5785163.793880342,2.457979421
357,357,1766649.768888282,5785131.70429539,0.929650936
358,358,1766679.187800908,5785136.495931236,0.913073072
359,359,1766618.041393247,5785122.380495331,0.95436794
360,360,1766243.052708313,5785118.755289707,0.604039203
361,361,1766594.194873712,5785112.89545753,0.979168216
362,362,1766825.690861921,5785087.837568942,1.010792452
363,363,1766986.763863026,5785126.173268515,0.870369206
364,364,1766880.807680886,5785076.528577142,0.760984771
365,365,1766218.387621767,5785080.211912903,0.867681511
366,366,1766194.359080887,5785050.667673725,0.199632913
367,367,1766572.921732404,5785048.550243318,0.945344249
368,368,1766178.968797364,5785041.008805103,0.01924
369,369,1766154.126992167,5785010.870719566,0.211708335
370,370,1766973.743985613,5784994.843741849,1.126174998
371,371,1766146.632410896,5785001.778133011,0.613784311
372,372,1766532.803148896,5784997.512040735,0.894639501
373,373,1759683.269059591,5785101.085965371,-9999.0
374,374,1766927.222146843,5784955.359541266,1.037728611
375,375,1766491.4149322,5784939.890831194,0.864813103
376,376,1766901.387533991,5784926.517776201,1.020907915
377,377,1766809.850336708,5784905.483862069,0.877001818
378,378,1766142.39300186,5784882.038297548,0.988500001
379,379,1766781.45748475,5784850.786351809,1.390880202
380,380,1766749.409678312,5784819.930621536,1.01538962
381,381,1766733.444451958,5784810.284727029,1.077399994
382,382,1765181.290953805,5784831.992333133,1.454239976
383,383,1766709.54377247,5784800.825101586,1.471362073
384,384,1766472.822414867,5784795.876205109,0.439199996
385,385,1765156.563622282,5784812.690772928,1.271285716
386,386,1766661.752466407,5784782.04141471,0.879636346
387,387,1766445.385787042,5784781.609336605,0.644675483
388,388,1765132.769333003,5784786.627035809,0.985348632
389,389,1766637.499103888,5784752.619654404,0.923763626
390,390,1766409.551183545,5784752.655767853,0.708247689
391,391,1765122.090447102,5784769.785713582,0.697734812
392,392,1766235.184412449,5784740.892737299,0.353886784
393,393,1766392.387790814,5784717.738639729,0.6622143
394,394,1766612.838215601,5784703.260948898,0.991872704
395,395,1759415.58086627,5784827.107734319,-0.511249987
396,396,1766376.016095949,5784688.155194581,0.53592727
397,397,1766588.944093253,5784683.596425356,0.920037498
398,398,1766358.71826374,5784669.264414605,0.502271608
399,399,1766572.760533409,5784663.255091914,1.350239997
400,400,1766340.530768172,5784658.078981268,0.493542053
401,401,1766564.691185531,5784654.174392172,1.119299981
402,402,1766300.919969501,5784650.174561781,0.590037722
403,403,1766557.181428613,5784644.355518435,0.968629601
404,404,1759374.440664182,5784782.732933389,-0.147761231
405,405,1759343.122901475,5784738.502840022,0.2396
406,406,1766483.886031954,5784586.0179616,0.699159995
407,407,1759327.322750218,5784718.41298705,0.25794898
408,408,1765010.271949193,5784596.259735354,0.605909089
409,409,1759312.766947875,5784699.480576448,0.039696969
410,410,1764986.227176723,5784576.801684487,0.507722224
411,411,1766459.152070436,5784557.330973834,1.260537418
412,412,1759296.519115576,5784674.868266338,0.02703247
413,413,1764978.658677767,5784556.822121977,1.07800002
414,414,1766421.414114594,5784513.66799987,0.794591622
415,415,1759247.67890672,5784596.045956007,-0.011133336
416,416,1759232.006103013,5784571.421945452,-0.172244896
417,417,1768016.153024008,5784375.019929393,0.90125455
418,418,1759215.184394466,5784546.819954686,-0.336278481
419,419,1765815.888230284,5784411.392042277,1.623714281
420,420,1764794.085583279,5784411.246591896,0.941454527
421,421,1767941.752691113,5784336.697466731,0.240425001
422,422,1767994.028849083,5784351.813424705,0.811088379
423,423,1767921.846741409,5784327.135104284,0.234074998
424,424,1767905.880925394,5784317.491485157,0.555164567
425,425,1767898.369903438,5784307.673588322,0.411074073
426,426,1767968.716757007,5784306.223453977,1.202975014
427,427,1767960.62160998,5784296.430160307,1.296858966
428,428,1759179.60872505,5784474.385840126,-9999.0
429,429,1765895.628755279,5784318.785564263,1.236884135
430,430,1759165.858599578,5784443.076785705,-9999.0
431,431,1767878.568948812,5784272.195842502,0.464686276
432,432,1765865.884302465,5784307.557496652,1.502379595
433,433,1765831.648392536,5784280.317267667,1.823815819
434,434,1767858.157964716,5784251.240590458,0.765223481
435,435,1767829.917951635,5784227.307986815,0.516340856
436,436,1766672.777141745,5784218.408753915,1.72952944
437,437,1767816.377846698,5784198.701939234,0.098039371
438,438,1764632.207449288,5784244.310939969,1.394142868
439,439,1766657.805399813,5784203.71054063,1.187321414
440,440,1766649.51752501,5784183.934854914,0.986254536
