OID,FID_,X,Y,BCE_Whitia
302,302,1840201.523861555,5917589.959241927,-0.574317755
303,303,1840800.967538227,5917586.49427051,-0.321693571
304,304,1840330.251487679,5917579.5847192,-0.646087211
305,305,1840768.490799151,5917546.479098913,-0.294816001
306,306,1840331.743381112,5917526.04250122,-0.647867929
307,307,1840319.714168326,5917515.542280403,-0.648238536
308,308,1840503.274869541,5917503.458632316,-0.381072666
309,309,1840742.93694039,5917476.456431202,-0.303543265
310,310,1840725.680792698,5917429.908533684,-0.297928344
311,311,1839911.504900862,5917418.187805436,-0.480833337
312,312,1839694.670219079,5917404.346494943,-0.365654545
313,313,1839894.922602925,5917398.703130255,-0.471140337
314,314,1840699.32317363,5917371.544661134,-0.28668989
315,315,1840654.895530741,5917336.409758992,-0.340245292
316,316,1840678.76068754,5917350.155320466,-0.268183963
317,317,1840664.040761723,5917329.476824872,-0.243999999
318,318,1839876.430104126,5917361.458866294,-0.461785164
319,319,1840589.649135287,5917339.353226637,-0.236324137
320,320,1840628.881771599,5917322.205153372,-0.336079305
321,321,1840572.282673341,5917299.370131738,-0.291920169
322,322,1839812.012215965,5917301.279318877,-0.416285709
323,323,1839858.490084266,5917291.567155955,-0.431983828
324,324,1839746.808723194,5917263.212435273,-0.356491219
325,325,1839767.428480225,5917263.014602819,-0.368364478
326,326,1840475.877217785,5917242.436927979,-0.342746842
327,327,1839853.464767057,5917228.584733462,-0.410098757
328,328,1840467.022081321,5917212.758743559,-0.326241668
329,329,1840473.455443247,5917188.311518528,-0.163317456
330,330,1840096.944132548,5917191.631740913,-0.542281446
331,331,1839839.512464817,5917191.161538325,-0.393945091
332,332,1840176.814514952,5917161.300188196,-0.581690916
