OID,FID_,X,Y,BCE_Coroma
242,242,1822619.267982263,5924201.148335629,-0.70636363
243,243,1821235.587331418,5924217.145094217,-0.899999976
244,244,1822594.43617146,5924177.857204139,-0.76604047
245,245,1821218.011537065,5924201.239118058,-0.899999976
246,246,1821170.188235545,5924169.697192193,-0.899999976
247,247,1822540.704559535,5924134.241507459,-0.886109114
248,248,1822416.856604613,5924153.334373348,-0.899999976
249,249,1822472.996299383,5924130.280740316,-0.899999976
250,250,1822512.984170287,5924125.373582706,-0.899999976
251,251,1822589.053574343,5924131.347800076,-0.697056675
252,252,1821311.031030424,5924136.523662679,-0.899999976
253,253,1821321.45016598,5924125.875223274,-0.899999976
254,254,1821155.438080526,5924132.659121754,-0.899999976
255,255,1822546.639051677,5924054.291026465,-0.702803571
256,256,1822676.568398185,5924562.332692791,-0.554464944
257,257,1821163.528931862,5924063.38098214,-0.726101672
258,258,1820565.665603913,5924055.689416855,-0.899999976
259,259,1820589.712056586,5924055.06736875,-0.899999976
260,260,1821158.553306527,5924030.358295636,-0.899999976
261,261,1820613.242734062,5924034.510036248,-0.899999976
262,262,1822456.78504652,5923985.885936209,-0.481081632
263,263,1820547.53313961,5924038.248876285,-0.893467577
264,264,1820604.715332352,5924025.025991462,-0.899999976
265,265,1821148.656348377,5924010.51512127,-0.883445002
266,266,1820527.874545716,5924017.55816804,-0.899999976
