OID,FID_,X,Y,BCE_Kaipar
359,359,1713381.855348245,6001912.078803441,0.469019592
360,360,1713390.040220497,6001932.082436132,1.487370067
361,361,1713517.30468546,6001917.692983128,0.030988751
362,362,1713552.059494993,6001910.071637065,1.480421106
363,363,1713727.886892632,6001920.235709438,1.676062969
364,364,1713845.204601173,6001902.024707288,-0.348222237
365,365,1714250.969061629,6001904.834290266,1.023979054
366,366,1722986.771427425,6001782.478719567,-0.066163652
367,367,1723193.105875849,6001803.259619354,-0.042382053
368,368,1709865.718299121,6001952.864072109,1.524353737
369,369,1712671.859698504,6001976.600825382,0.340051831
370,370,1713819.018380157,6001893.817874526,-0.883452386
371,371,1714231.030545003,6001891.26309143,1.482678594
372,372,1709892.484649583,6001944.487127536,1.555029281
373,373,1713109.452709225,6001912.28413175,1.490839566
374,374,1713382.347024003,6001891.938792887,-0.591468759
375,375,1713755.663676372,6001891.334259314,1.589767523
376,376,1714206.807356715,6001881.412034706,1.524699983
377,377,1707838.743930762,6002008.860012581,1.399826429
378,378,1713044.007870492,6001886.679212412,0.490836368
379,379,1714222.84625488,6001871.236281595,2.608700022
380,380,1709469.887048814,6001921.237455003,1.080275876
381,381,1712718.999728077,6001880.782548409,1.03885001
382,382,1713514.061091737,6001877.14294967,1.848747939
383,383,1713527.449024915,6001870.324994048,1.635488083
384,384,1712739.909451978,6001953.646824398,1.058960815
385,385,1713543.55333248,6001865.132795593,1.089620497
386,386,1713569.470915501,6001881.477928982,1.51036219
387,387,1707707.469638966,6001980.045086926,2.049319637
388,388,1712525.241473111,6001859.42817725,1.396333371
389,389,1713050.335024056,6001866.539433049,-0.838107691
390,390,1713074.299070406,6001856.464514357,1.449196449
391,391,1713462.514485095,6001851.235201681,1.560325548
392,392,1713551.443749759,6001850.080961751,1.721964287
393,393,1713591.386669749,6001853.980868399,1.557309126
394,394,1723122.915430466,6001735.400376843,0.007563065
395,395,1709598.365409596,6001895.532536901,1.36962385
396,396,1712500.82030325,6001850.634041265,1.386615345
397,397,1713559.398835595,6001840.011410414,2.204123476
398,398,1713603.863421689,6001839.43390668,1.539535007
399,399,1713753.591918241,6001837.688731163,-0.509418161
400,400,1723123.228238429,6001710.791847394,1.204563624
401,401,1713575.503069704,6001834.819151084,0.391344804
402,402,1713619.902900022,6001829.259273756,1.513899992
403,403,1713741.16983035,6001827.682895754,-0.211462512
404,404,1709605.853406338,6001870.523468519,1.665363623
405,405,1712545.926349021,6001845.119270951,1.27768631
406,406,1712717.877638841,6001835.384527173,1.028401799
407,407,1713057.904218968,6001826.576637181,-9999.0
408,408,1713583.393403128,6001819.767285739,0.757887514
409,409,1713728.913548996,6001817.876033982,-0.133475007
410,410,1712339.755700996,6001826.010983008,2.031102526
411,411,1713436.602149019,6001812.482696072,1.456264165
412,412,1713602.213978387,6001816.200735286,0.677723825
413,413,1713963.232876624,6001804.859340466,1.858524993
414,414,1712599.297222784,6001831.196118322,0.378233196
415,415,1712693.877611223,6001826.407989727,0.865494686
416,416,1713672.029553239,6001812.370966072,0.996341009
417,417,1713810.812198747,6001804.705656421,1.395731961
418,418,1723074.812143823,6001680.930918896,0.991058512
419,419,1709371.460682834,6001842.994947744,1.23669235
420,420,1712352.235925527,6001813.197782716,2.069399017
421,421,1712413.833659866,6001824.353792561,1.749683267
422,422,1713404.98727263,6001792.385026275,1.45967855
423,423,1713744.693636718,6001787.772009626,1.751775013
424,424,1709457.594657869,6001836.013242343,0.293599998
425,425,1709616.875713478,6001844.619610282,1.454664568
426,426,1712373.737848279,6001804.757754008,1.787477868
427,427,1713642.602386115,6001794.288916123,0.753401708
428,428,1723602.991657984,6001648.860852815,1.33769911
429,429,1706622.693661076,6001857.573296512,0.934196088
430,430,1706719.116192172,6001856.397161316,0.978549973
431,431,1709354.830882883,6001823.555695239,1.354186668
432,432,1712572.785810556,6001783.003644857,0.585039993
433,433,1713783.393790933,6001785.485694061,1.55910824
434,434,1713879.728982354,6001774.102385902,1.689386416
435,435,1706648.624777839,6001848.091848493,0.340060511
436,436,1706686.657290525,6001846.827232703,1.385950015
437,437,1713089.30828167,6001766.574307841,1.562035111
438,438,1723033.336675558,6001632.122422351,0.799999999
439,439,1706702.835996773,6001843.616553876,1.85367937
440,440,1709338.263321402,6001804.024936813,1.372772175
441,441,1712733.466685596,6001761.202556448,1.172563631
