OID,FID_,X,Y,BCE_Croisi
334,334,1661953.204303015,5454858.052386368,-0.229939385
335,335,1662676.987454658,5454840.54552758,-0.204282606
336,336,1661902.470042526,5454834.038557519,-0.260288159
337,337,1662654.32420062,5454830.194865393,-0.308212117
338,338,1662023.385428311,5454821.919009333,-9999.0
339,339,1662533.923334212,5454817.376835216,-9999.0
340,340,1662485.314259218,5454811.568887644,-0.773142878
341,341,1650482.868687391,5454901.618340444,-0.678466657
342,342,1662419.029394387,5454795.616118279,-0.52923077
343,343,1662555.920652111,5454794.547462439,-0.923000038
344,344,1662581.861889901,5454786.320585955,-9999.0
345,345,1650500.566082462,5454875.252414175,-0.711314994
346,346,1662622.527277118,5454774.741313846,-0.911333382
347,347,1661824.612252156,5454808.070352723,-0.21107664
348,348,1662034.352400456,5454761.785111376,-0.938714266
349,349,1662068.320276427,5454761.497545088,-9999.0
350,350,1662369.185189853,5454767.613778802,-0.982999951
351,351,1662663.70406954,5454764.237594306,-0.183072724
352,352,1650515.456744083,5454845.232362383,-0.655180884
353,353,1662121.228763732,5454751.281112207,-9999.0
354,354,1662641.590860918,5454755.715475088,-0.795624287
355,355,1650526.676211871,5454830.196309157,-0.802642847
356,356,1650541.69916336,5454819.391471491,-0.876945924
357,357,1662117.13146829,5454731.165784489,-0.897666663
358,358,1662363.004444911,5454729.078027268,-0.925999969
359,359,1661778.244266141,5454734.337018824,-0.406825467
360,360,1662128.369525148,5454721.097775884,-9999.0
361,361,1661735.769997764,5454714.442175143,-9999.0
362,362,1661765.714340756,5454714.804421865,0.05770591
363,363,1662141.274731714,5454708.262714557,-0.918222235
364,364,1662349.814574152,5454704.47518118,-0.212702889
365,365,1662324.311257037,5454689.604921708,-0.492510623
366,366,1662173.321443563,5454680.825556385,-0.672937512
367,367,1661705.24074505,5454674.808222438,-9999.0
368,368,1662241.171784777,5454670.276942652,-9999.0
369,369,1650595.131656809,5454761.229542192,-0.750443686
370,370,1661726.485274665,5454683.081315847,-0.153785604
371,371,1662180.74288545,5454665.803453522,-0.906499945
372,372,1662272.588555643,5454666.825607353,-0.555161587
373,373,1661693.681694387,5454655.006347275,-0.032875029
374,374,1662207.03505777,5454650.621202681,-0.781126758
375,375,1650627.924841626,5454734.759075216,-0.548953023
376,376,1661682.344019821,5454645.082675254,-0.267642866
377,377,1661674.711818897,5454635.174143783,-0.521528293
378,378,1650681.748799491,5454705.733806822,-0.662847248
379,379,1661667.378336246,5454595.34482363,-0.621772762
380,380,1650736.926083182,5454669.184198418,-0.958999991
381,381,1650748.144824424,5454654.147796372,-0.805760581
382,382,1650766.911691863,5454639.059091261,-0.804360882
383,383,1661643.984973738,5454566.733736611,-0.47359856
384,384,1650785.678481974,5454623.970353429,-0.835420147
385,385,1661002.084804455,5454541.075595627,-9999.0
386,386,1661604.650352613,5454532.379107873,-0.386086493
387,387,1650811.874068487,5454591.624912089,-0.840499952
388,388,1660922.355177502,5454525.874829815,-0.215155469
389,389,1661103.777373377,5454515.29667575,-0.014381
390,390,1661182.991355781,5454509.649478372,-9999.0
391,391,1661262.243990914,5454508.638505745,-9999.0
392,392,1660873.475907056,5454507.240291267,-0.626307642
393,393,1661213.100663065,5454499.425331486,-9999.0
394,394,1661284.807970409,5454498.826094703,-9999.0
395,395,1660844.137080602,5454497.59569989,-0.204188529
396,396,1661126.635738966,5454496.124430569,-0.635675685
397,397,1661303.594907528,5454488.696250536,-9999.0
398,398,1661333.787417651,5454488.443655414,-9999.0
399,399,1661487.211771702,5454497.714672525,-0.412436778
400,400,1661526.306532681,5454491.816463231,-9999.0
401,401,1650826.461535216,5454562.1931904,-0.844187494
402,402,1660810.155835449,5454487.504518818,-0.103643654
403,403,1661564.441699817,5454476.288285779,-0.615203292
404,404,1661443.03799421,5454467.406395362,-0.012213924
405,405,1650845.371969055,5454523.831556796,-0.849479735
406,406,1661365.309605211,5454455.311757984,-0.712956522
407,407,1650856.555664466,5454503.808975829,-0.88294283
408,408,1661370.988169324,5454423.316917194,-0.769199955
409,409,1661415.248355545,5454437.389924229,-0.275541041
410,410,1650863.82688285,5454463.868532596,-0.681911368
411,411,1660764.047487092,5454371.994865881,0.208176481
412,412,1660758.429308989,5454353.865846831,0.656537309
413,413,1660751.341779207,5454343.703523077,0.723871438
414,414,1650847.592462956,5454379.214947574,1.340185184
415,415,1650876.905651925,5454407.14046526,-0.794204465
416,416,1660718.40491374,5454363.74535288,-0.295650263
417,417,1650862.273045152,5454319.278089635,-9999.0
418,418,1650843.122913294,5454308.441224812,-0.055003312
419,419,1660629.392371478,5454238.409479612,-0.142319436
420,420,1660610.632185236,5454215.223002419,0.390619044
421,421,1660602.919424419,5454195.341318137,1.83801429
422,422,1650839.730234739,5454254.613274427,-0.719999999
423,423,1660568.41038054,5454156.218226357,0.540546882
424,424,1650814.663381476,5454229.089026545,0.49225526
425,425,1650831.905793373,5454214.777549161,-0.82480915
426,426,1650822.042358494,5454179.942183406,-0.623090941
427,427,1650801.721892072,5454184.074448712,1.222817499
428,428,1650823.982751339,5454160.71251427,-0.832444428
