OID,FID_,X,Y,BCE_Patter
1489,1489,1232624.624355424,4788261.934824724,-9999.0
1490,1490,1214319.957810487,4787077.899735115,-9999.0
1491,1491,1214385.022861642,4787083.364036074,-9999.0
1492,1492,1216205.145489784,4787195.580665342,-9999.0
1493,1493,1228642.748457381,4788006.095905302,-9999.0
1494,1494,1230660.598068397,4788110.181464961,-9999.0
1495,1495,1232574.492231738,4788229.454141941,-9999.0
1496,1496,1216269.954453134,4787189.29288263,-9999.0
1497,1497,1230225.643398997,4788071.866711012,-9999.0
1498,1498,1230681.294142865,4788102.588340192,-9999.0
1499,1499,1230701.391612384,4788107.406623235,-9999.0
1500,1500,1232588.090537644,4788220.784311324,-9999.0
1501,1501,1214352.527559712,4787058.977339697,-9999.0
1502,1502,1215830.016821191,4787150.674489322,-9999.0
1503,1503,1216250.395966919,4787178.884855845,-9999.0
1504,1504,1216336.907568521,4787228.682109592,-9999.0
1505,1505,1227729.885205139,4787907.200263372,-9999.0
1506,1506,1227767.467647488,4787909.551638186,-9999.0
1507,1507,1228588.612042947,4787960.462201706,-9999.0
1508,1508,1229341.305448934,4788015.10323748,-9999.0
1509,1509,1214229.188438345,4787053.086592372,-9999.0
1510,1510,1227788.591508631,4787900.85403097,-9999.0
1511,1511,1230724.682395276,4788091.324855139,-9999.0
1512,1512,1232620.019250873,4788208.494916911,-9999.0
1513,1513,1214223.792000114,4787026.363380529,-9999.0
1514,1514,1215794.413072442,4787128.592119125,-9999.0
1515,1515,1226794.805669996,4787834.182198582,-9999.0
1516,1516,1228628.313544087,4787954.92304916,-9999.0
1517,1517,1227909.42011433,4787888.373524282,-9999.0
1518,1518,1228582.173045235,4787935.418290189,-9999.0
1519,1519,1215613.938526527,4787096.629967987,-9999.0
1520,1520,1215694.911123462,4787103.193084108,-9999.0
1521,1521,1226811.262120643,4787815.365177129,-9999.0
1522,1522,1227608.344221687,4787860.01151744,-9999.0
1523,1523,1215566.75242302,4787083.559167795,-9999.0
1524,1524,1227582.701160973,4787847.194158712,-9999.0
1525,1525,1227951.845906803,4787871.069248587,-9999.0
1526,1526,1229430.016014955,4787990.740410103,-9999.0
1527,1527,1215651.922879531,4787096.372770158,-9999.0
1528,1528,1227555.759500734,4787837.438999081,-9999.0
1529,1529,1229514.69244808,4787959.518582361,-9999.0
1530,1530,1230504.855395072,4788029.672125855,-9999.0
1531,1531,1215526.910094021,4787061.043228449,-9999.0
1532,1532,1226825.606400637,4787780.213849698,-9999.0
1533,1533,1228597.055902036,4787912.335845821,-9999.0
1534,1534,1229536.480079784,4787947.900463674,-9999.0
1535,1535,1214302.319359013,4786961.622393635,-9999.0
1536,1536,1215469.664023988,4787037.363969355,-9999.0
1537,1537,1227458.935969056,4787801.312031428,-9999.0
1538,1538,1228019.374345809,4787835.459934482,-9999.0
1539,1539,1228039.576804961,4787836.397485608,-9999.0
1540,1540,1214214.858133537,4786954.163323489,-9999.0
1541,1541,1215361.115217871,4787022.39045824,-9999.0
1542,1542,1226820.500760891,4787750.037835211,-9999.0
1543,1543,1229558.209243547,4787929.491703635,-9999.0
1544,1544,1226829.837098558,4787740.604114056,-9999.0
1545,1545,1215178.374579131,4786988.295749766,-9999.0
1546,1546,1215229.97546297,4787005.96919401,-9999.0
1547,1547,1232463.656524322,4788154.913466982,-9999.0
1548,1548,1232397.891977318,4788066.722871264,-9999.0
1549,1549,1226966.831257903,4787735.410157772,-9999.0
1550,1550,1228193.022811956,4787795.893409638,-9999.0
1551,1551,1214197.457912714,4786914.999583168,-9999.0
1552,1552,1228259.352800508,4787781.285044058,-9999.0
1553,1553,1214269.739665299,4786879.922245993,-9999.0
1554,1554,1215155.527727001,4786950.816230323,-9999.0
1555,1555,1228406.53888962,4787784.540887162,-9999.0
1556,1556,1228444.297692521,4787781.534115393,-9999.0
1557,1557,1229442.069671172,4787841.140816261,-9999.0
1558,1558,1214042.912339629,4786854.009860671,-9999.0
1559,1559,1229476.700258468,4787835.900572104,-9999.0
1560,1560,1213974.493684446,4786828.696054189,-9999.0
1561,1561,1232424.243036342,4788026.351778124,-9999.0
1562,1562,1215123.236378985,4786907.960769171,-9999.0
1563,1563,1229241.589904679,4787815.062839909,-9999.0
1564,1564,1214217.724081141,4786837.92174699,-9999.0
1565,1565,1226987.802796233,4787669.767476394,-9999.0
1566,1566,1229888.977198396,4787812.184207388,-9999.0
1567,1567,1215163.953503354,4786879.397653168,-9999.0
1568,1568,1229624.541938291,4787774.974475275,-9999.0
1569,1569,1227097.26213557,4787608.741469959,-9999.0
1570,1570,1229249.359410498,4787752.617311291,-9999.0
1571,1571,1215156.528818612,4786832.414295764,-9999.0
1572,1572,1229247.181850007,4787721.413744999,-9999.0
1573,1573,1230098.646898141,4787764.72240583,-9999.0
1574,1574,1230116.417296393,4787755.651485202,-9999.0
1575,1575,1215117.072205305,4786809.325172808,-9999.0
1576,1576,1230141.535327275,4787737.418483471,-9999.0
1577,1577,1215005.326387814,4786746.599131336,-9999.0
1578,1578,1230283.906545671,4787705.780576906,-9999.0
1579,1579,1229265.265756943,4787618.34459704,-9999.0
1580,1580,1232521.794318561,4787808.03101504,-9999.0
1581,1581,1215012.92737939,4786673.509799068,-9999.0
1582,1582,1215005.361002892,4786656.074722164,-9999.0
1583,1583,1229226.988203587,4787584.840944875,-9999.0
1584,1584,1214995.672081853,4786626.095732227,-9999.0
1585,1585,1214989.511962383,4786612.318974535,-9999.0
1586,1586,1230356.569301351,4787585.062711122,-9999.0
1587,1587,1230364.332091318,4787570.517077356,-9999.0
1588,1588,1230358.617796931,4787560.143377602,-9999.0
1589,1589,1230365.572298197,4787550.556849976,-9999.0
1590,1590,1213833.103387503,4786500.588677922,-9999.0
1591,1591,1230339.45580399,4787549.897724492,-9999.0
1592,1592,1230359.359817535,4787540.152195813,-9999.0
1593,1593,1213854.610478061,4786477.752185544,-9999.0
1594,1594,1229209.207552956,4787457.554894359,-9999.0
1595,1595,1230340.10236576,4787518.918292506,-9999.0
1596,1596,1229326.611252976,4787448.033834943,-9999.0
1597,1597,1229098.77633671,4787418.21373001,-9999.0
1598,1598,1229118.896038441,4787413.581800965,-9999.0
1599,1599,1232716.133898238,4787625.46390225,-9999.0
1600,1600,1213877.055976809,4786434.520916914,-9999.0
1601,1601,1229108.398014239,4787392.158952517,-9999.0
