OID,FID_,X,Y,BCE_Raglan
65,65,1773002.986957165,5815715.433803012,-0.924000025
66,66,1773057.931871453,5815713.694288701,-0.226925006
67,67,1766788.095429809,5815832.562003534,0.589761908
68,68,1773073.333861789,5815693.425362396,-0.253789803
69,69,1773061.094322464,5815683.502469392,-0.260709101
70,70,1772980.12238909,5815682.919421072,-0.924000025
71,71,1773041.481859505,5815684.122631789,-0.425186444
72,72,1769459.138780832,5815638.750314851,1.667542848
73,73,1764254.12319898,5815714.148617015,-9999.0
74,74,1772923.481172342,5815537.222941509,0.542777783
75,75,1764023.077507931,5815679.33275375,0.115021276
76,76,1764042.475737772,5815679.168239521,-0.358000001
77,77,1773072.734742445,5815476.782309928,-0.482212762
78,78,1773033.492389762,5815464.895162048,-0.561764712
79,79,1764141.959068587,5815624.933719878,-0.940499991
80,80,1773052.701739948,5815445.130511443,-0.624523357
81,81,1773071.88420151,5815443.935014918,-0.416666664
82,82,1763959.279494403,5815625.759119719,-0.072597476
83,83,1764053.166529675,5815618.862865848,-0.756566679
84,84,1764122.191401941,5815615.932482723,-9999.0
85,85,1773102.604756956,5815440.735310142,-0.068899771
86,86,1769438.621354589,5815399.972945249,2.925466661
87,87,1769453.474898477,5815349.848850645,3.147634628
88,88,1770109.458451298,5815306.466468946,1.698289844
89,89,1770125.087658891,5815296.898178593,0.631230761
90,90,1763911.865980475,5815387.248362885,-0.803559964
91,91,1763899.040399072,5815372.407325785,-0.828591823
92,92,1763888.148563714,5815362.138797668,-0.676307659
93,93,1765452.727524247,5815322.73256659,-0.640037739
94,94,1765271.059118167,5815315.90089088,-0.527409535
95,95,1763779.401516743,5815335.169744848,-0.634461537
96,96,1765557.923130324,5815317.527659727,-9999.0
97,97,1764938.440313772,5815302.630725477,-9999.0
98,98,1764978.637103525,5815304.700524267,-9999.0
99,99,1765120.040577182,5815303.390367232,-0.755817037
100,100,1765395.046006731,5815317.489466311,-0.458358806
101,101,1765420.900737788,5815292.570321366,0.162500001
102,102,1765085.5892678,5815283.55330469,-0.590930692
103,103,1769410.699342093,5815191.242189158,-9999.0
104,104,1764836.965103773,5815263.840391709,-0.808779274
105,105,1763707.582667333,5815262.978690091,0.132563495
106,106,1764826.303205238,5815235.07379421,-0.416721143
107,107,1764596.717013333,5815229.697501621,-0.850030916
108,108,1764663.366690611,5815227.98747337,-0.848743555
109,109,1764976.337831476,5815244.83381092,-0.160073941
110,110,1763711.837381976,5815243.682177058,-0.442992596
111,111,1764692.512912401,5815219.639520241,-0.545013566
112,112,1764472.931890354,5815201.880256541,-0.876999974
113,113,1764902.73445925,5815218.827685681,-0.110550048
114,114,1763706.252372884,5815196.440188033,-0.739857119
115,115,1764520.068348849,5815207.213471535,-0.746384034
116,116,1764504.284404903,5815170.922117738,-0.658836357
117,117,1764472.871447452,5815169.571598108,-0.775212642
118,118,1764392.230931248,5815156.70997139,-9999.0
119,119,1764965.206233701,5815127.449403133,0.93702155
120,120,1764400.051592796,5815110.641638848,-0.697000017
121,121,1764360.159280731,5815094.234378241,-0.846534214
