OID,FID_,X,Y,BCE_Aotea_
147,147,1762152.292496459,5795902.311574889,0.253654546
148,148,1762339.594609112,5795900.950790414,0.186419086
149,149,1760254.853629691,5795930.12238524,0.364028037
150,150,1762373.047669446,5795887.958830895,0.214296297
151,151,1762235.529655617,5795900.866155551,0.163384859
152,152,1762319.034689056,5795879.57843375,0.21116981
153,153,1763248.022937422,5795869.83668864,-0.570660969
154,154,1762202.713543636,5795871.862592748,0.292546297
155,155,1762119.360001832,5795876.203409642,0.295635073
156,156,1762279.631850782,5795876.170520207,0.199610748
157,157,1762190.561730482,5795856.98961737,0.318433967
158,158,1762103.561594909,5795848.742684318,0.343345794
159,159,1762297.138819846,5795846.22398326,0.275289326
160,160,1762376.450886718,5795852.92284993,0.250263231
161,161,1762461.125876432,5795859.54272861,0.099851286
162,162,1760252.024809965,5795876.253646477,0.312654969
163,163,1761208.50418697,5795851.544602902,-0.006462267
164,164,1763232.77329339,5795825.142645275,-0.540619996
165,165,1761661.462835502,5795832.253257606,0.120327275
166,166,1762316.678399792,5795824.05128154,0.293656052
167,167,1762404.01598741,5795822.888420195,0.261093459
168,168,1762076.269574958,5795821.704518297,0.42829
169,169,1764541.94853245,5795769.375743323,0.62885841
170,170,1761611.883834847,5795858.372736261,0.152577549
171,171,1761668.959758259,5795812.1608281,0.175400002
172,172,1762402.830531831,5795797.61802092,0.29642593
173,173,1762470.487655426,5795796.650520267,0.248731479
174,174,1763199.830932903,5795781.74954672,-9999.0
175,175,1762268.484227659,5795790.313090887,0.377037038
176,176,1762295.673454162,5795797.64211471,0.351661714
177,177,1762364.523449163,5795803.129827501,0.28029656
178,178,1762378.761357698,5795778.15173624,0.311163647
179,179,1760319.000333928,5795808.824228501,0.361870368
180,180,1761118.778478589,5795813.349984736,-0.142828604
181,181,1761165.316673327,5795797.934848698,-0.005465385
182,182,1762040.77758334,5795782.597334484,0.476399418
183,183,1763198.953241225,5795756.057480818,-9999.0
184,184,1760638.974222249,5795792.948848818,0.223000001
185,185,1761285.376601083,5795784.937501154,0.198278299
186,186,1763317.711232886,5795739.091573888,0.128600001
187,187,1762188.78256491,5795752.005840054,0.435285723
188,188,1762298.029589194,5795755.551330113,0.381669172
189,189,1762331.139771664,5795749.180858451,0.357185185
190,190,1762425.51372935,5795747.306704665,0.329074074
191,191,1760382.965005246,5795778.173145066,0.354234181
192,192,1760650.154803165,5795772.408563555,0.180771925
