OID,FID_,X,Y,BCE_Tamaki
260,260,1767669.682546992,5915505.819196474,0.695708157
261,261,1767682.690505356,5915498.430983774,1.166075949
262,262,1767818.656548881,5915497.783309307,0.402799998
263,263,1768011.385727388,5915494.654607086,0.472777767
264,264,1768811.266561152,5915487.023331935,1.133627439
265,265,1767939.688180232,5915529.992881853,0.272581446
266,266,1768174.176403029,5915490.686236206,0.94559945
267,267,1768401.93154869,5915492.418404614,0.526955819
268,268,1768810.900267796,5915456.363928163,0.974909063
269,269,1768837.232048803,5915460.690218294,0.940243914
270,270,1766456.900594027,5915487.622532899,0.334396553
271,271,1768254.485444078,5915457.222301621,1.069740556
272,272,1768852.776617105,5915435.343785221,-9999.0
273,273,1768282.109731188,5915436.734454121,1.227750002
274,274,1768298.111636389,5915431.805000575,1.224934232
275,275,1768401.992808245,5915424.390041751,0.753500016
276,276,1768786.250138059,5915416.769786186,1.12124998
277,277,1768344.526266248,5915437.723697382,0.884294451
278,278,1768417.806081451,5915414.106227954,0.683124999
279,279,1768554.31904913,5915430.057359726,0.864836379
280,280,1768585.819617144,5915405.790861455,0.787062502
281,281,1768472.864786003,5915393.074180147,0.093272724
282,282,1768425.416523286,5915394.014341205,0.944750006
283,283,1768444.850583395,5915417.299654717,0.179690987
284,284,1768729.435775765,5915378.742266497,0.799215685
285,285,1768432.443205859,5915373.933994019,0.750784308
286,286,1768604.015802769,5915378.443736144,0.741909712
287,287,1768977.239295269,5915355.572909331,2.279999971
288,288,1768616.96586099,5915361.032596447,0.635416669
289,289,1768504.778396361,5915357.544650081,0.826980129
290,290,1768600.387936664,5915340.894448683,0.600909091
291,291,1768620.992464734,5915340.868768598,0.414299063
292,292,1768725.061203664,5915338.803948317,0.730092585
293,293,1768416.226518482,5915334.37302125,1.059499985
294,294,1768428.595395404,5915350.899767535,0.893091396
295,295,1768549.345740921,5915338.935750279,0.809419081
296,296,1768687.10013542,5915329.911257653,0.654390241
297,297,1768760.255553967,5915317.579990607,0.864124992
298,298,1768415.831623589,5915314.439718232,1.085063288
299,299,1768651.869295982,5915320.422132931,0.718722628
300,300,1768767.479245671,5915307.466000343,0.873461528
301,301,1768422.619984804,5915304.862065188,1.375094351
302,302,1768407.547931804,5915300.18003931,1.670322573
303,303,1768614.591142463,5915308.245204519,0.853834804
304,304,1768760.042358576,5915292.657757221,1.194358983
305,305,1768767.469377113,5915277.554438912,0.949358963
306,306,1768775.276737213,5915267.428853128,0.950759502
307,307,1766437.65926002,5915308.531770946,0.238734179
308,308,1768783.084078226,5915257.303259373,0.96112499
309,309,1768811.678681524,5915263.453942133,1.024043724
310,310,1768922.177915317,5915311.8010752,1.540890579
311,311,1768790.891400149,5915247.177657647,1.229500017
312,312,1768826.481073231,5915245.886718394,1.078703718
313,313,1768798.698702987,5915237.05204795,1.134125002
314,314,1768806.684738144,5915227.206620553,1.135333331
315,315,1768822.513811975,5915222.849063383,1.24739439
316,316,1767530.553798186,5915230.565747957,0.302727287
317,317,1766429.244854993,5915234.116897239,2.191052623
318,318,1766437.417735247,5915253.167496297,0.506105074
