OID,FID_,X,Y,BCE_Lyttel
225,225,1573163.311870297,5169061.42695819,-0.237557204
226,226,1579373.448164732,5169096.821734625,-0.633557207
227,227,1573127.869623261,5169050.986636571,-0.492632984
228,228,1575035.055966094,5169043.03949891,0.11617204
229,229,1580258.938532012,5169045.701679133,-0.502285715
230,230,1579375.55959024,5169036.328298645,0.092274213
231,231,1580246.29572252,5169022.929507089,-0.52511938
232,232,1571976.450551325,5168961.10595248,-0.033245451
233,233,1576886.14141766,5168964.882634112,-0.225274297
234,234,1576925.996123816,5168965.020047725,-0.317972929
235,235,1576933.276790225,5168955.068570954,0.236514347
236,236,1575056.577263735,5168970.520450291,0.045257133
237,237,1576860.848260236,5168944.842200086,-0.4915111
238,238,1576953.059208175,5168942.406169489,-0.219989059
239,239,1580244.177019241,5168939.328560883,1.923286951
240,240,1576824.720371837,5168914.787631536,-0.451513471
241,241,1576995.044249239,5168905.400012593,-0.337311462
242,242,1573236.065183638,5168884.001004231,0.046860959
243,243,1575076.95445447,5168896.03324792,-0.237402309
244,244,1571875.652301481,5168865.905644794,-0.022271433
245,245,1572967.11385373,5168878.309380768,0.390681448
246,246,1573231.177610112,5168862.094981642,-0.652865388
247,247,1575095.673981226,5168876.584718429,0.041048315
248,248,1576767.027161065,5168834.775313095,-0.30256408
249,249,1579385.670075251,5168921.879372628,1.421694573
250,250,1577443.196085125,5168811.526129059,1.030839571
251,251,1572853.85414522,5168781.965383888,-0.172195136
252,252,1573239.946679818,5168786.6623064,-0.464749952
253,253,1577411.070344169,5168797.649534049,1.388521272
254,254,1577047.071327874,5168819.113937045,0.662633068
255,255,1577377.652869841,5168791.76248582,0.367387769
256,256,1573239.382826946,5168761.423532353,-0.55694113
257,257,1577079.349077896,5168769.484830067,0.742440442
258,258,1572798.096651444,5168730.814070737,0.979936848
259,259,1579413.30044592,5168759.835337232,-0.017879992
260,260,1572784.389133587,5168722.23723225,0.924618427
261,261,1579419.533474652,5168738.942167896,-0.274083998
262,262,1571571.867223999,5168711.667541067,1.48061317
263,263,1579441.23116144,5168723.799071472,-9999.0
264,264,1579434.2412095,5168714.15451664,-0.330086933
265,265,1573224.434008014,5168691.1217576,-0.47149378
266,266,1579463.455154864,5168684.57029799,-0.51399997
267,267,1579485.06657514,5168664.343822911,-0.753090862
268,268,1571521.658830106,5168624.905247128,0.877942025
269,269,1579504.569829544,5168644.91479475,-0.629433341
270,270,1572672.854185716,5168617.145594578,0.280053762
271,271,1580288.765005976,5168642.64918851,-0.529367326
272,272,1579521.892435073,5168625.635205536,0.288816341
273,273,1572654.05288725,5168597.23334133,0.126357893
274,274,1572635.189224447,5168578.032632424,0.249355995
275,275,1571554.657067889,5168520.356656754,0.996313323
276,276,1579587.221472353,5168545.351027614,-9999.0
277,277,1571565.73886258,5168505.230929848,0.817640016
278,278,1571576.136542335,5168485.782789976,0.812592594
279,279,1572622.52546651,5168497.658474785,0.574190677
280,280,1574499.915359001,5168468.6479498,0.060387098
281,281,1576963.865517601,5168481.375307983,0.249286401
282,282,1571594.831439441,5168444.579766509,1.555825127
283,283,1574370.431133334,5168438.719278105,0.389459997
284,284,1576942.27478158,5168446.295125781,1.490300022
285,285,1579631.008298876,5168455.528923117,-0.802333275
286,286,1576935.063391822,5168436.293731923,0.914762476
287,287,1571588.914448926,5168409.600631543,0.851081362
288,288,1574630.251902551,5168437.340844799,0.274953595
289,289,1574653.187671179,5168398.746713039,-0.283368412
290,290,1574665.167571367,5168389.127170327,-0.14427883
291,291,1579652.336252466,5168405.194721566,-0.380117608
292,292,1580215.302427623,5168400.122844584,-0.277999986
293,293,1571610.488437077,5168338.345406595,0.945509932
294,294,1572580.699842195,5168320.229225837,0.475072451
295,295,1574751.403169878,5168328.990368316,-0.420907562
296,296,1580058.104545098,5168349.282613249,0.53202857
297,297,1574762.040664076,5168319.291191425,-0.364887093
298,298,1574780.688027033,5168309.33610706,-0.307321423
299,299,1579989.648752894,5168337.744526356,-0.009509177
300,300,1572548.471724374,5168296.437751437,0.34584854
301,301,1574790.843106481,5168298.911574936,0.092289873
302,302,1571624.325340685,5168297.877312277,0.977577932
303,303,1579673.422680685,5168318.497651904,-0.003376077
304,304,1579929.520148422,5168316.033850325,-0.137783683
305,305,1572499.337029933,5168268.950199949,1.112683088
306,306,1579880.926991871,5168299.137133788,-0.016316664
307,307,1572460.704918001,5168251.665644454,0.480765958
308,308,1579682.33286096,5168282.000603034,-0.069324072
309,309,1579831.42868627,5168276.872140747,0.260322576
310,310,1571646.538457472,5168244.51347944,1.177740028
311,311,1572421.069301965,5168230.783957418,0.641653843
312,312,1574832.662733459,5168246.741712818,-0.313437083
313,313,1574842.711477773,5168231.119830399,-0.150882333
314,314,1579726.741370222,5168253.912998807,0.124819443
315,315,1572402.237151347,5168210.3285353,0.329236844
316,316,1574857.873258679,5168210.333190099,-0.196083302
317,317,1572378.481096718,5168179.611743673,0.297700004
318,318,1571704.839117884,5168097.194074221,1.375639997
319,319,1574893.47592112,5168121.653878363,-0.077545428
