OID,FID_,X,Y,BCE_Tauran
189,189,1862372.139423899,5845824.924937055,-0.34001923
190,190,1860480.750063701,5845874.421817218,-0.116012656
191,191,1862379.21207526,5845815.44967252,-0.354018182
192,192,1860472.494479988,5845864.701577213,-0.107538462
193,193,1860464.818093264,5845854.962714111,-0.107519999
194,194,1859907.902451138,5845862.412852514,0.255087501
195,195,1859887.732756497,5845853.064390867,0.1091125
196,196,1860455.671215456,5845835.29014471,0.028303794
197,197,1860447.415551639,5845825.569274532,0.05473684
198,198,1860439.159967154,5845815.848675689,0.099262501
199,199,1859860.875978115,5845833.279695795,-0.028863979
200,200,1860009.757652056,5845819.518795875,-0.162836361
201,201,1860420.861413343,5845808.063243028,0.090997374
202,202,1861009.411822756,5845982.012670605,0.952787193
203,203,1860408.665733529,5845787.884605891,0.16637168
204,204,1860390.15399255,5845777.61239693,0.126947368
205,205,1860040.282903056,5845778.64671542,-0.128909089
206,206,1859826.475763532,5845794.875688969,-0.038313253
207,207,1859796.044113403,5845761.047635593,0.042849315
208,208,1860332.397009971,5845742.796009574,0.128111112
209,209,1860355.954783086,5845760.137025202,0.091838346
210,210,1860063.024138243,5845737.810019851,-0.014425
211,211,1859775.038052195,5845740.041989106,0.101888888
212,212,1860072.670775801,5845721.430419346,0.010264706
213,213,1859745.655520204,5845722.140940242,0.031714634
214,214,1860085.76130582,5845702.171114844,0.03128481
215,215,1860223.493130607,5845699.523855261,0.11239749
216,216,1859431.78288383,5845707.637051583,0.071595743
217,217,1859719.913798492,5845698.640195177,0.03605
218,218,1860093.236688366,5845686.968107546,0.060725
219,219,1860212.382318061,5845683.239218099,0.285025644
220,220,1862395.886202834,5845638.183056771,-0.103792878
221,221,1859476.717720142,5845676.296648473,0.102012577
222,222,1859686.308531123,5845672.37289018,0.138944736
223,223,1859530.971223514,5845666.848584499,0.072031789
224,224,1859559.496768242,5845653.754080377,0.074948717
225,225,1859662.755531341,5845650.529310727,0.136835442
226,226,1862394.992584532,5845564.942791219,0.066166668
227,227,1859646.558173348,5845641.055948082,0.125076924
228,228,1860131.079834576,5845625.908084132,0.150587498
229,229,1859590.645971462,5845632.822624297,0.096683546
230,230,1859626.389372234,5845631.706592198,0.121923566
231,231,1859602.249142527,5845622.481217721,0.120283021
232,232,1859330.266157464,5845922.225319349,0.913577994
233,233,1860167.643284417,5845625.097427161,0.39899351
234,234,1862424.563301355,5845488.954627736,-0.110215192
235,235,1862447.228523431,5845423.748144591,-0.024002874
236,236,1864213.930930002,5845256.372251636,0.121875
237,237,1862534.007429103,5845302.948962626,-0.095125604
238,238,1864292.334828793,5845233.441813653,0.046313732
239,239,1862521.05206381,5845271.34680632,0.087074999
240,240,1862528.679943548,5845261.126297378,0.005000001
241,241,1862535.993076731,5845240.936130092,-0.0078
242,242,1862582.389512059,5845199.552145838,-0.148042374
243,243,1862631.989719186,5845117.939023022,-0.20541803
244,244,1862595.440096081,5845109.323464797,0.04074359
245,245,1862602.488570512,5845099.121169366,0.034019608
246,246,1862634.679235641,5845098.3119481,-0.119127272
247,247,1862617.377863169,5845048.75271624,0.203202528
248,248,1862633.038945771,5845009.372924823,0.128076481
249,249,1862690.988305158,5844997.035405189,0.061512698
250,250,1862734.625296596,5844985.169478848,-0.037179489
251,251,1862663.237219784,5844984.295411822,0.159860464
252,252,1862702.540158866,5844976.204084517,0.079679489
253,253,1864719.621380117,5844902.222401672,0.643278481
254,254,1862725.107021244,5844935.57228893,0.151379743
255,255,1862760.690678951,5844929.457325361,0.051847619
256,256,1862738.397308669,5844922.417743835,0.146173914
257,257,1862747.988832483,5844904.9100725,0.155950001
258,258,1862817.527661948,5844822.874058832,-0.009215686
259,259,1862828.54684227,5844812.546105184,-0.011135484
260,260,1862855.737266038,5844792.454690242,-0.024377359
