OID,FID_,X,Y,BCE_Peloro
409,409,1679199.475684812,5464910.542878161,-0.440269495
410,410,1677681.854854384,5464940.143496308,-0.759606919
411,411,1678830.212970994,5464915.601919825,-9999.0
412,412,1678887.827705515,5464901.417708882,-9999.0
413,413,1679238.903540815,5464898.308670683,-9999.0
414,414,1680338.804682889,5464888.446745799,-9999.0
415,415,1678741.106694137,5464894.417937396,-9999.0
416,416,1679206.925543538,5464889.553335859,-9999.0
417,417,1679231.788209079,5464888.412213768,-9999.0
418,418,1679261.473277181,5464888.092309873,-0.991999984
419,419,1680342.31054598,5464866.390015146,-0.961000025
420,420,1679026.777664552,5464870.876511246,-9999.0
421,421,1679230.86738328,5464868.271364611,-9999.0
422,422,1679242.478982331,5464876.251795714,-9999.0
423,423,1678659.621239096,5464876.502784239,-9999.0
424,424,1679045.450545461,5464865.793144047,-9999.0
425,425,1678973.645798512,5464851.092022989,-9999.0
426,426,1679306.247124342,5464847.921617885,-9999.0
427,427,1679518.062179112,5464845.82896764,-9999.0
428,428,1677703.324843935,5464859.272997353,-9999.0
429,429,1678705.753455666,5464844.776677807,-9999.0
430,430,1678996.22012911,5464841.28549275,-9999.0
431,431,1679253.226499975,5464838.520111161,-9999.0
432,432,1679064.144008021,5464830.58239008,-9999.0
433,433,1679225.338346093,5464832.925049047,-9999.0
434,434,1679570.747444568,5464824.913528332,0.001358975
435,435,1680361.235888872,5464830.968889321,-9999.0
436,436,1678902.548535856,5464871.77367292,-9999.0
437,437,1678950.651942084,5464821.828641161,-9999.0
438,438,1679041.359821263,5464820.854208688,-9999.0
439,439,1679238.194281445,5464818.326804942,-9999.0
440,440,1680372.342490634,5464807.51159237,-9999.0
441,441,1685436.275617553,5464749.336038265,-9999.0
442,442,1678851.590740932,5464819.490850559,-9999.0
443,443,1678933.009104369,5464815.114448545,-9999.0
444,444,1680385.867974297,5464797.943707141,-9999.0
445,445,1677684.122609786,5464820.210867937,-0.727040018
446,446,1679098.842431877,5464838.155852393,-9999.0
447,447,1680395.92628021,5464789.545642827,-9999.0
448,448,1679575.713343496,5464800.024469224,-0.517770839
449,449,1680411.005981359,5464779.453336935,-9999.0
