OID,FID_,X,Y,BCE_Peloro
450,450,1678700.474068015,5464788.830238393,-9999.0
451,451,1679063.607924371,5464780.722566703,-9999.0
452,452,1679231.263858941,5464779.448830282,-9999.0
453,453,1680426.085673802,5464769.361017254,-9999.0
454,454,1680447.04640868,5464765.513338809,-9999.0
455,455,1679569.919457793,5464765.349180127,-0.898545471
456,456,1680440.970426807,5464758.635962369,-9999.0
457,457,1679308.264862817,5464767.702877499,-9999.0
458,458,1679554.866371369,5464754.544582765,-9999.0
459,459,1680459.412902359,5464746.0872092,-9999.0
460,460,1677649.919406846,5464765.662706705,-9999.0
461,461,1677663.025397404,5464782.465354119,-0.522887945
462,462,1679166.571611286,5464824.446240184,-0.676135802
463,463,1679353.506541207,5464763.681687529,-9999.0
464,464,1679547.20745118,5464745.383135793,-0.797199953
465,465,1680469.602176632,5464735.604181103,-9999.0
466,466,1677642.255203187,5464755.770563788,-9999.0
467,467,1679213.243926891,5464746.426818538,-9999.0
468,468,1679278.398150957,5464752.754767266,-9999.0
469,469,1677619.699934151,5464745.72676201,-0.984999955
470,470,1679308.618687389,5464733.308975852,-9999.0
471,471,1679339.526860323,5464728.261694826,-9999.0
472,472,1685284.755790418,5464661.130338543,-9999.0
473,473,1685311.334079999,5464682.046270718,-9999.0
474,474,1677200.49780523,5464739.100064747,-0.229048089
475,475,1679106.241839793,5464740.585824444,-9999.0
476,476,1679319.565994652,5464717.922795162,-9999.0
477,477,1676790.287255546,5464730.099633717,-0.397999972
478,478,1677188.416938212,5464730.615998507,-0.862888939
479,479,1677621.271454991,5464728.556678353,-9999.0
480,480,1679306.132008211,5464707.185551221,-9999.0
481,481,1679516.540437188,5464705.822283398,-0.839599955
482,482,1676776.947666201,5464723.695123053,-0.502673071
483,483,1676795.241689391,5464724.772945045,-0.796242407
484,484,1679232.841730394,5464708.46097706,-9999.0
485,485,1679259.280735587,5464698.831114208,-9999.0
486,486,1680490.786880289,5464700.054416196,0.348666645
487,487,1685349.112019095,5464654.186573037,-0.528173865
488,488,1676757.841909774,5464713.827683809,-0.313313699
489,489,1679334.76182768,5464688.04400639,-9999.0
490,490,1685374.468632133,5464620.221364138,-9999.0
491,491,1676747.169457667,5464704.561842803,-0.697080487
492,492,1676768.58111205,5464705.454233274,-9999.0
493,493,1678835.770355616,5464683.437606163,-9999.0
494,494,1678964.571455891,5464681.646520072,-9999.0
495,495,1679191.341249208,5464679.616855881,-9999.0
496,496,1679207.470718359,5464693.340718562,-9999.0
497,497,1679281.742306699,5464678.642718803,-9999.0
498,498,1679390.198700924,5464703.632169249,-9999.0
499,499,1680498.922007033,5464670.200543927,-9999.0
500,500,1678744.957419204,5464674.437561592,-9999.0
