OID,FID_,X,Y,BCE_Aotea_
238,238,1759800.883745565,5794362.848788698,1.537719955
239,239,1763864.427373318,5794272.412876397,0.847986673
240,240,1763848.431785707,5794262.752967633,0.87492683
241,241,1761073.979668747,5794053.652561298,0.8889375
242,242,1761065.697296394,5794033.871802758,1.018777078
243,243,1763890.335106968,5793793.224206598,2.549404417
244,244,1761093.324491873,5793833.885277619,1.148102545
245,245,1763415.774906362,5793744.746033492,3.514357192
246,246,1761081.662643101,5793799.209810257,1.712517135
247,247,1763482.832148451,5793735.774306346,0.625553732
248,248,1761064.337100054,5793764.651987707,1.497903523
249,249,1761040.50961387,5793730.474432885,1.39330841
250,250,1763371.939628461,5793709.961180136,0.885095571
251,251,1763338.89139255,5793654.8900431,-0.007981819
252,252,1763748.877745623,5793626.531606653,0.635037968
253,253,1764067.984546787,5793626.446542115,0.605515384
254,254,1764103.594457165,5793627.325203154,1.182888414
255,255,1763330.404580855,5793625.142950675,0.08535849
256,256,1763685.502593261,5793618.666309673,3.146913044
257,257,1763703.296755878,5793624.881538983,1.999859486
258,258,1764103.684057282,5793609.441556885,2.939810327
259,259,1763787.923301928,5793605.804423846,0.319150001
260,260,1764033.9311339,5793607.517691778,0.526340563
261,261,1761002.421740783,5793675.096386319,1.335621373
262,262,1763645.721235909,5793598.681734241,0.790424997
263,263,1764102.482855533,5793549.631902287,1.012133342
264,264,1764118.060577971,5793539.346728476,1.460724989
265,265,1764129.693785632,5793529.140756566,1.001522008
266,266,1764145.271435723,5793518.855529136,0.959399989
267,267,1760947.206727834,5793596.65293146,1.521351224
268,268,1763827.26913898,5793488.854536108,0.143042551
269,269,1763997.97048254,5793462.18738208,0.917925925
270,270,1763264.260593459,5793466.701194076,1.946528736
271,271,1760920.724265173,5793493.456661362,1.999660402
272,272,1763997.090086046,5793436.49516222,0.8908889
273,273,1764013.434231764,5793441.413323283,4.133051629
274,274,1760898.22252848,5793497.587893206,1.870643033
275,275,1760872.467019446,5793439.352690214,0.88195454
276,276,1763262.667103876,5793386.954557911,0.306499997
277,277,1763837.556283986,5793391.736145427,0.179518034
278,278,1764012.279823893,5793366.955301881,3.180680573
279,279,1763246.336128049,5793367.544643445,0.854962966
280,280,1763230.359587293,5793357.891288701,0.368425925
281,281,1760842.726594319,5793395.701098477,0.471319421
282,282,1760808.095969558,5793376.528414992,0.494566032
283,283,1760744.579834043,5793357.106987623,0.561973691
284,284,1760694.502800381,5793352.368765003,0.789514971
285,285,1763834.645422962,5793315.955284988,0.680066735
286,286,1760653.040520517,5793338.378981183,1.293429887
287,287,1760627.682887245,5793331.982797702,1.98203846
288,288,1760594.067730416,5793315.247324442,2.585885714
289,289,1760522.705403697,5793300.419527681,3.331905594
290,290,1760538.298982909,5793301.33037496,2.692774963
291,291,1760570.008590063,5793300.499485288,2.455400044
292,292,1760551.331382559,5793295.350990216,2.261042933
293,293,1763853.095113638,5793234.796106144,0.720038728
294,294,1760467.027644237,5793282.567427586,3.088840014
295,295,1760510.724617706,5793282.512301862,2.556990631
296,296,1760478.119473152,5793272.012130617,2.730074773
297,297,1760458.474565597,5793263.217962897,2.383018516
298,298,1760367.976107033,5793244.446938196,2.796058371
299,299,1760401.966227152,5793245.516900812,2.694079311
300,300,1760348.674416749,5793226.004809005,3.166139247
301,301,1760247.856386812,5793224.021166543,2.55742065
302,302,1760150.914011592,5793212.623185034,1.399833873
303,303,1760079.33347419,5793207.1652244,1.250024259
304,304,1760046.76382811,5793186.32341966,1.171137499
305,305,1763264.577635413,5793116.713340564,3.658604648
306,306,1760030.83556773,5793178.909698232,1.185031225
307,307,1760057.876192334,5793170.563346251,1.138934565
308,308,1763245.49182895,5793105.919145629,0.825768237
309,309,1759972.422410963,5793122.010546546,2.227264165
310,310,1763176.611683344,5793029.673436774,0.407256403
311,311,1763192.292239914,5793036.062439073,0.827199996
312,312,1763160.635791386,5793020.020174306,0.37508861
313,313,1763129.06004566,5792990.734118069,0.227936169
314,314,1760051.039591119,5793001.756450949,2.289962506
315,315,1763095.835757421,5792944.764705718,0.094685922
316,316,1760042.5652696,5792972.006673139,1.206763188
317,317,1763079.562655485,5792911.944083523,0.443426668
318,318,1760026.398163709,5792952.379290496,1.278641033
319,319,1760010.231133689,5792932.751877774,1.428500015
320,320,1759990.120249915,5792913.201510486,1.939612508
321,321,1759970.206062387,5792899.703815368,1.881473313
322,322,1759946.149296097,5792884.146592455,0.984500005
323,323,1764292.205605389,5792788.131102484,0.74950943
324,324,1764170.699933016,5792789.627272463,0.857481005
325,325,1764181.524556529,5792770.203987582,0.949175665
326,326,1764268.294997488,5792768.459561724,1.046126603
327,327,1764189.212419425,5792760.077153029,1.167887508
328,328,1764256.262223638,5792758.729200827,1.298712483
329,329,1764218.530735368,5792743.144918874,1.971425398
330,330,1763059.806256643,5792712.893950135,0.2141
331,331,1763072.377389582,5792700.667451327,0.417531395
332,332,1762928.151592174,5792591.94056371,0.844917259
333,333,1763139.607307403,5792362.271770732,1.432536784
334,334,1763167.214587562,5792361.720308901,1.160737493
335,335,1763036.867011973,5792354.350992331,0.88903749
336,336,1762649.195076957,5792332.163521178,0.655653069
337,337,1762671.948680287,5792322.647071032,0.726925944
338,338,1762850.311608863,5792298.23931137,0.797415113
339,339,1762820.167424597,5792286.900247577,1.560284731
340,340,1757966.567687488,5792124.912004828,-9999.0
341,341,1760068.404776257,5791874.573964154,-0.165605253
342,342,1759941.428226667,5791837.173601478,-0.931250006
