OID,FID_,X,Y,BCE_Rangau
455,455,1621585.187762587,6133782.429626963,0.530418297
456,456,1620553.202500168,6133764.437184884,0.802464293
457,457,1620551.462811064,6133744.965621176,1.472627448
458,458,1620584.338495719,6133749.303469186,0.652178572
459,459,1630453.538653622,6133698.128785205,0.785249998
460,460,1620545.174705653,6133720.019897599,2.006663415
461,461,1621586.082203132,6133682.986438097,1.171354677
462,462,1621593.108675526,6133662.867397026,0.724489776
463,463,1620564.999441929,6133681.613699611,1.908549907
464,464,1624907.300072357,6133648.882840902,-9999.0
465,465,1624924.133519902,6133604.577052648,-9999.0
466,466,1624866.461244482,6133575.052591521,-9999.0
467,467,1621536.185066386,6133513.199339751,1.018333343
468,468,1621515.471502709,6133493.64147012,1.01717366
469,469,1621552.460606675,6133493.814338807,1.065827596
470,470,1624821.21311966,6133465.389460956,-9999.0
471,471,1621479.604373041,6133453.28142086,1.80891834
472,472,1621471.734089128,6133384.2378826,1.73536
473,473,1621477.582583273,6133374.242836121,1.767909054
474,474,1621486.374785594,6133339.519751024,1.759806455
475,475,1624758.684731609,6133316.129273771,-9999.0
476,476,1621494.424154115,6133304.46948201,1.257548635
477,477,1621502.389086397,6133274.769131497,0.852952388
478,478,1621494.592511459,6133254.751936677,0.931707334
479,479,1621528.029856405,6133383.683689771,1.01908785
480,480,1624700.940107603,6133196.741691553,-9999.0
481,481,1621501.380512585,6133206.414382029,0.946593847
482,482,1621502.154586606,6133175.150022997,0.544749989
483,483,1621465.31559288,6133135.184501127,1.09147844
484,484,1621445.063466985,6133124.90904338,1.441459479
485,485,1621436.677702744,6133115.177967165,1.371574706
486,486,1621420.598359829,6133094.972648632,1.546728591
487,487,1621413.477646053,6133084.501014067,1.517575043
488,488,1621436.297515057,6133075.685142382,1.370962964
489,489,1621404.251790764,6133065.070378605,1.420764688
490,490,1622008.17762341,6132988.337014401,-0.275212139
491,491,1621362.767406813,6132925.824341719,1.534294155
492,492,1621354.456692188,6132905.957391486,1.44099997
493,493,1621346.150595003,6132886.09088888,1.314824315
494,494,1621337.848917478,6132866.224312898,1.502547901
495,495,1621329.635764941,6132846.327254236,1.521633813
496,496,1621322.081847499,6132826.242708284,1.355749965
497,497,1621313.109937735,6132796.558446078,1.255413328
498,498,1621305.553395945,6132776.472524757,1.269046159
499,499,1621297.719743777,6132726.936573685,1.379083348
500,500,1621948.98783048,6132679.911328923,-0.234767081
501,501,1621911.105601758,6132606.141372458,-0.183475003
502,502,1621281.126219917,6132507.384032341,0.983684214
503,503,1621263.472908107,6132477.193042406,1.010754094
504,504,1621254.960162172,6132467.721177636,0.976875009
505,505,1621238.150633148,6132448.324093734,0.936749989
506,506,1621201.366862943,6132418.412732917,0.961594776
507,507,1621172.404557797,6132398.682343236,0.923840885
508,508,1621155.977055922,6132388.758439812,0.931749991
509,509,1621196.98806906,6132388.663337431,0.851149998
510,510,1621140.496913209,6132377.606502125,0.968140332
511,511,1621180.560558117,6132378.739470674,0.886026654
512,512,1630871.964681503,6132361.395424467,0.787068179
513,513,1621132.589718733,6132367.853171702,0.947454538
514,514,1621156.894177824,6132364.15383577,0.903536739
515,515,1621172.849287192,6132354.421535429,0.831769924
516,516,1621362.682154326,6132736.435341008,1.003092316
517,517,1621115.534231764,6132338.388628179,1.23406156
518,518,1621155.693926162,6132339.153512431,0.911719289
519,519,1621108.156068105,6132327.981041066,1.015166634
520,520,1621139.458141218,6132339.330553379,0.967011105
521,521,1621660.24715992,6132317.842339005,-0.173674997
522,522,1630920.477850871,6132291.182003242,0.923494104
523,523,1621099.006159242,6132308.686383866,0.869249988
524,524,1630932.730482407,6132276.197407379,0.92187499
525,525,1621083.704028824,6132278.432324556,0.954883732
526,526,1630924.460856401,6132256.301276282,0.846999989
527,527,1621075.009002339,6132258.700752858,0.953035699
528,528,1621106.296775122,6132259.572003948,0.913275859
529,529,1621344.325015811,6132258.814434855,0.519724996
530,530,1621066.305568541,6132238.917980439,0.964253975
531,531,1620310.773604984,6132221.323909433,1.213349997
532,532,1620334.024403609,6132217.304878956,1.18635042
