OID,FID_,X,Y,BCE_Queen_
424,424,1705942.836582468,5440215.595942306,-0.400284064
425,425,1705857.077149326,5440211.885583201,-0.175856378
426,426,1696459.298160908,5440313.252728391,-0.668166632
427,427,1697788.016461766,5440275.965929041,-0.327117601
428,428,1698285.546884942,5440261.829640397,-9999.0
429,429,1696486.187783732,5440280.581908235,-0.398564494
430,430,1698299.744660383,5440241.780782396,0.152800049
431,431,1696582.280690602,5440246.615054931,-0.701904721
432,432,1698317.295585453,5440208.842539135,1.510691806
433,433,1698308.069641658,5440190.630682467,3.657235293
434,434,1698291.56438183,5440171.029526357,5.102199936
435,435,1698261.569825514,5440151.197634377,-9999.0
436,436,1698253.351433052,5440103.097208046,-9999.0
437,437,1698260.053805117,5440092.693291645,-9999.0
438,438,1696633.554568036,5440028.564352415,-9999.0
439,439,1696665.860614548,5439999.451310747,-0.195870928
440,440,1705425.902582493,5439856.73049219,0.40882847
441,441,1696704.748868839,5439957.082833615,1.531385749
442,442,1696721.531454665,5439934.700847561,-0.634499952
443,443,1696728.932919525,5439924.628594791,-0.609486441
444,444,1696738.64974583,5439907.736077985,-0.389999956
445,445,1696746.051199228,5439897.663858207,-9999.0
446,446,1705203.045750185,5439777.318618358,-0.450456491
447,447,1705297.840318029,5439778.515583674,0.274644867
448,448,1696765.879303523,5439874.701866366,-9999.0
449,449,1696803.878633545,5439833.560649776,-0.675999969
450,450,1699693.442221182,5439615.938674101,-0.607428522
451,451,1699700.230775976,5439584.830567529,-0.646999955
452,452,1699715.043657059,5439560.819666385,-0.385039958
453,453,1699729.537570588,5439534.400173373,-0.610799956
454,454,1696708.523878243,5439515.091153794,-0.361742811
455,455,1704910.717135652,5439384.858664509,-0.555575723
456,456,1696699.625916857,5439475.192749293,0.119966716
457,457,1696539.362177444,5439307.958939809,-9999.0
458,458,1696559.415967649,5439285.63739969,-9999.0
459,459,1696576.83330981,5439268.489741425,-0.815999925
460,460,1694503.839300146,5439254.018731209,0.311967743
461,461,1696606.696143535,5439228.861121361,-9999.0
462,462,1696635.952639843,5439206.970672436,-0.597809478
463,463,1694328.861077542,5439229.602950245,-0.528954498
464,464,1696651.015276332,5439197.900439401,-0.564999955
465,465,1696675.819480127,5439187.521250026,-0.681999958
466,466,1694315.521129562,5439206.901953202,3.536129612
467,467,1696688.893679347,5439179.60080891,-9999.0
468,468,1696711.631550335,5439169.606648271,-9999.0
469,469,1696727.985627006,5439159.853376708,-9999.0
470,470,1696769.507503193,5439137.427298191,-9999.0
471,471,1696885.829247638,5439077.272375206,-0.32288884
472,472,1694149.849427089,5439079.598371735,-9999.0
473,473,1694155.651463408,5439055.885667861,-0.995999932
474,474,1696867.108215901,5439003.602803041,-0.357323485
475,475,1694162.828691725,5439029.99882304,-0.456347782
476,476,1696836.05763717,5438953.398178277,-0.057694219
477,477,1696825.570049929,5438802.41848803,-0.210361856
478,478,1706102.388094021,5438680.82855803,0.748688481
